,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kerman.Cement,20010327,8249.0,8045.0,8249.0,150444375,18675,3,D,0.0,8249.0
1,Kerman.Cement,20010407,8247.0,8247.0,8247.0,2193702,266,2,D,8249.0,8247.0
2,Kerman.Cement,20010408,8247.0,8247.0,8247.0,4123500,500,1,D,8247.0,8247.0
3,Kerman.Cement,20010409,8246.0,8246.0,8246.0,2350110,285,1,D,8247.0,8246.0
4,Kerman.Cement,20010410,8246.0,8246.0,8246.0,288610,35,1,D,8246.0,8246.0
5,Kerman.Cement,20010414,8044.0,8044.0,8044.0,16088000,2000,4,D,8246.0,8044.0
6,Kerman.Cement,20010415,8044.0,8044.0,8044.0,2928016,364,1,D,8044.0,8044.0
7,Kerman.Cement,20010416,8044.0,8043.0,8044.0,179379520,22300,27,D,8044.0,8044.0
8,Kerman.Cement,20010417,8150.0,8045.0,8150.0,130027440,16087,13,D,8044.0,8150.0
9,Kerman.Cement,20010418,8231.0,8151.0,8231.0,81200399,9898,12,D,8150.0,8231.0
10,Kerman.Cement,20010421,8250.0,8247.0,8250.0,17995644,2182,7,D,8231.0,8250.0
11,Kerman.Cement,20010422,8263.0,8250.0,8263.0,9333568,1131,6,D,8250.0,8263.0
12,Kerman.Cement,20010423,8270.0,8201.0,8211.0,31896615,3865,12,D,8263.0,8211.0
13,Kerman.Cement,20010424,8232.0,8211.0,8232.0,48126906,5857,15,D,8211.0,8232.0
14,Kerman.Cement,20010425,8310.0,8233.0,8310.0,33791917,4070,9,D,8232.0,8310.0
15,Kerman.Cement,20010428,8393.0,8393.0,8393.0,8393000,1000,2,D,8310.0,8393.0
16,Kerman.Cement,20010508,8900.0,8500.0,8900.0,158746904,17986,9,D,8393.0,8900.0
17,Kerman.Cement,20010509,8989.0,8989.0,8989.0,35371715,3935,7,D,8900.0,8989.0
18,Kerman.Cement,20010512,9078.0,9078.0,9078.0,66115074,7283,5,D,8989.0,9078.0
19,Kerman.Cement,20010513,9168.0,9168.0,9168.0,51744192,5644,6,D,9078.0,9168.0
20,Kerman.Cement,20010515,9259.0,9259.0,9259.0,95108448,10272,7,D,9168.0,9259.0
21,Kerman.Cement,20010516,9351.0,9351.0,9351.0,205469523,21973,27,D,9259.0,9351.0
22,Kerman.Cement,20010520,9444.0,9444.0,9444.0,58137264,6156,5,D,9351.0,9444.0
