,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Salemin.Factory,20020216,7020.0,7000.0,7000.0,2240550000,320000,248,D,7020.0,7000.0
1,Salemin.Factory,20020217,7350.0,7100.0,7100.0,245729670,33735,30,D,7000.0,7100.0
2,Salemin.Factory,20020218,7203.0,7100.0,7203.0,156506270,22000,162,D,7100.0,7203.0
3,Salemin.Factory,20020219,7300.0,7206.0,7300.0,143563835,19757,21,D,7203.0,7300.0
4,Salemin.Factory,20020220,7250.0,7200.0,7200.0,83045250,11510,15,D,7300.0,7200.0
5,Salemin.Factory,20020224,7200.0,7198.0,7199.0,178238390,24760,196,D,7200.0,7199.0
6,Salemin.Factory,20020225,7192.0,7160.0,7160.0,157932250,22000,189,D,7199.0,7160.0
7,Salemin.Factory,20020226,7136.0,7100.0,7100.0,93016750,13050,103,D,7160.0,7100.0
8,Salemin.Factory,20020302,7098.0,7070.0,7070.0,17731000,2500,2,D,7100.0,7070.0
9,Salemin.Factory,20020304,7080.0,7000.0,7074.0,187196310,26500,232,D,7070.0,7074.0
10,Salemin.Factory,20020317,7050.0,6721.0,7050.0,111922466,16000,20,D,7074.0,7050.0
11,Salemin.Factory,20020318,7049.0,7045.0,7045.0,88019258,12488,21,D,7050.0,7045.0
12,Salemin.Factory,20020406,7000.0,7000.0,7000.0,5250000,750,6,D,7045.0,7000.0
13,Salemin.Factory,20020407,7050.0,7000.0,7050.0,129946078,18500,23,D,7000.0,7050.0
14,Salemin.Factory,20020409,7000.0,7000.0,7000.0,12845000,1835,3,D,7050.0,7000.0
15,Salemin.Factory,20020410,7000.0,6999.0,7000.0,32198850,4600,5,D,7000.0,7000.0
16,Salemin.Factory,20020413,6999.0,6999.0,6999.0,699900,100,1,D,7000.0,6999.0
17,Salemin.Factory,20020421,7000.0,6965.0,7000.0,230740620,33000,31,D,6999.0,7000.0
18,Salemin.Factory,20020422,7050.0,6999.0,7050.0,132935896,18922,21,D,7000.0,7050.0
19,Salemin.Factory,20020423,7058.0,7052.0,7056.0,128380835,18197,16,D,7050.0,7056.0
20,Salemin.Factory,20020424,7100.0,7100.0,7100.0,8520000,1200,3,D,7056.0,7100.0
21,Salemin.Factory,20020427,7200.0,7200.0,7200.0,7200000,1000,1,D,7100.0,7200.0
