,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mazandaran.Cem.,20010421,29080.0,29080.0,29080.0,29080000,1000,2,D,29080.0,29080.0
1,Mazandaran.Cem.,20010424,29080.0,29080.0,29080.0,28789200,990,1,D,29080.0,29080.0
2,Mazandaran.Cem.,20010501,29090.0,29090.0,29090.0,1338140,46,1,D,29080.0,29090.0
3,Mazandaran.Cem.,20010506,29089.0,29089.0,29089.0,5934156,204,1,D,29090.0,29089.0
4,Mazandaran.Cem.,20010507,29089.0,29089.0,29089.0,17744290,610,1,D,29089.0,29089.0
5,Mazandaran.Cem.,20010513,29091.0,29090.0,29090.0,15592257,536,3,D,29089.0,29090.0
6,Mazandaran.Cem.,20010619,29817.0,29817.0,29817.0,89451000,3000,1,D,29090.0,29817.0
7,Mazandaran.Cem.,20010624,30562.0,30562.0,30562.0,36674400,1200,1,D,29817.0,30562.0
8,Mazandaran.Cem.,20010627,30867.0,30867.0,30867.0,75624150,2450,1,D,30562.0,30867.0
9,Mazandaran.Cem.,20010902,28100.0,28100.0,28100.0,28100000,1000,1,D,30867.0,28100.0
10,Mazandaran.Cem.,20010903,29505.0,29505.0,29505.0,29505000,1000,6,D,28100.0,29505.0
11,Mazandaran.Cem.,20010910,30980.0,30980.0,30980.0,61960000,2000,1,D,29505.0,30980.0
12,Mazandaran.Cem.,20010911,31289.0,31289.0,31289.0,46933500,1500,1,D,30980.0,31289.0
13,Mazandaran.Cem.,20010916,31601.0,31601.0,31601.0,31601000,1000,6,D,31289.0,31601.0
14,Mazandaran.Cem.,20010922,31917.0,31917.0,31917.0,63961668,2004,2,D,31601.0,31917.0
15,Mazandaran.Cem.,20010924,31917.0,31917.0,31917.0,43151784,1352,2,D,31917.0,31917.0
16,Mazandaran.Cem.,20010929,31917.0,31917.0,31917.0,63834000,2000,1,D,31917.0,31917.0
17,Mazandaran.Cem.,20011008,31923.0,31923.0,31923.0,21388410,670,1,D,31917.0,31923.0
18,Mazandaran.Cem.,20011010,31923.0,31923.0,31923.0,59121396,1852,1,D,31923.0,31923.0
19,Mazandaran.Cem.,20011023,31923.0,31923.0,31923.0,31923000,1000,1,D,31923.0,31923.0
20,Mazandaran.Cem.,20020518,61105.0,50100.0,61105.0,660698750,11906,33,D,31923.0,61105.0
21,Mazandaran.Cem.,20020522,61716.0,61716.0,61716.0,61716000,1000,3,D,61105.0,61716.0
22,Mazandaran.Cem.,20020529,62333.0,62333.0,62333.0,93499500,1500,2,D,61716.0,62333.0
23,Mazandaran.Cem.,20020603,62956.0,62948.0,62948.0,228525870,3630,6,D,62333.0,62948.0
24,Mazandaran.Cem.,20020615,62319.0,62319.0,62319.0,127753950,2050,11,D,62948.0,62319.0
25,Mazandaran.Cem.,20020629,61696.0,61696.0,61696.0,127710720,2070,8,D,62319.0,61696.0
26,Mazandaran.Cem.,20020630,61696.0,61696.0,61696.0,61696000,1000,1,D,61696.0,61696.0
27,Mazandaran.Cem.,20020702,61710.0,61710.0,61710.0,123420000,2000,1,D,61696.0,61710.0
28,Mazandaran.Cem.,20020706,61718.0,61717.0,61717.0,61717005,1000,2,D,61710.0,61717.0
29,Mazandaran.Cem.,20020729,22000.0,22000.0,22000.0,11000000,500,1,D,61717.0,22000.0
30,Mazandaran.Cem.,20020826,23100.0,23100.0,23100.0,231000000,10000,1,D,22000.0,23100.0
31,Mazandaran.Cem.,20021007,24255.0,24255.0,24255.0,26680500,1100,6,D,23100.0,24255.0
32,Mazandaran.Cem.,20021008,25467.0,25467.0,25467.0,50934000,2000,1,D,24255.0,25467.0
33,Mazandaran.Cem.,20021009,26740.0,26740.0,26740.0,53480000,2000,1,D,25467.0,26740.0
34,Mazandaran.Cem.,20021014,28077.0,28077.0,28077.0,28077000,1000,2,D,26740.0,28077.0
35,Mazandaran.Cem.,20021019,28077.0,26675.0,26675.0,26815200,1000,2,D,28077.0,26675.0
36,Mazandaran.Cem.,20021023,26675.0,26675.0,26675.0,6161925,231,1,D,26675.0,26675.0
37,Mazandaran.Cem.,20021110,26675.0,26675.0,26675.0,533500,20,10,D,26675.0,26675.0
38,Mazandaran.Cem.,20021120,26683.0,26682.0,26682.0,40023334,1500,2,D,26675.0,26682.0
39,Mazandaran.Cem.,20021208,30000.0,30000.0,30000.0,30000000,1000,1,D,26682.0,30000.0
40,Mazandaran.Cem.,20021211,30000.0,30000.0,30000.0,9000000,300,1,D,30000.0,30000.0
41,Mazandaran.Cem.,20021231,30000.0,30000.0,30000.0,7500000,250,1,D,30000.0,30000.0
42,Mazandaran.Cem.,20030111,30000.0,30000.0,30000.0,15000000,500,1,D,30000.0,30000.0
43,Mazandaran.Cem.,20030128,30000.0,30000.0,30000.0,1200000,40,12,D,30000.0,30000.0
44,Mazandaran.Cem.,20030204,30650.0,30650.0,30650.0,30650000,1000,1,D,30000.0,30650.0
45,Mazandaran.Cem.,20030210,30650.0,30650.0,30650.0,2053550,67,1,D,30650.0,30650.0
