,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Seamorgh.Co.,20190623,5100.0,5100.0,5100.0,662993818800,129998788,433736,D,1000.0,5100.0
1,Seamorgh.Co.,20190624,5355.0,5355.0,5170.0,761545260,142212,556,D,5100.0,5355.0
2,Seamorgh.Co.,20190625,5428.0,5428.0,5330.0,1750242316,322447,1215,D,5170.0,5428.0
3,Seamorgh.Co.,20190626,5596.0,5596.0,5583.0,2772913132,495517,1785,D,5330.0,5596.0
4,Seamorgh.Co.,20190630,5862.0,5862.0,5862.0,3626831124,618702,2215,D,5583.0,5862.0
5,Seamorgh.Co.,20190701,6155.0,6155.0,6155.0,5236409335,850757,3014,D,5862.0,6155.0
6,Seamorgh.Co.,20190702,6462.0,6462.0,6462.0,4237191558,655709,2343,D,6155.0,6462.0
7,Seamorgh.Co.,20190703,6785.0,6785.0,6785.0,5944155305,876073,3657,D,6462.0,6785.0
8,Seamorgh.Co.,20190706,7124.0,7124.0,7124.0,6350390592,891408,3278,D,6785.0,7124.0
9,Seamorgh.Co.,20190707,7480.0,7480.0,7480.0,6790964840,907883,3317,D,7124.0,7480.0
10,Seamorgh.Co.,20190708,7854.0,7854.0,7652.0,1878951690,239235,851,D,7480.0,7854.0
11,Seamorgh.Co.,20190713,8435.0,8034.0,8349.0,48163223131,5769054,20126,D,7652.0,8435.0
12,Seamorgh.Co.,20190714,8766.0,8766.0,8766.0,12712803840,1450240,5130,D,8349.0,8766.0
13,Seamorgh.Co.,20190715,9204.0,9204.0,9204.0,15208938108,1652427,5139,D,8766.0,9204.0
14,Seamorgh.Co.,20190716,9664.0,8744.0,9490.0,662366283839,69799852,144396,D,9204.0,9663.0
15,Seamorgh.Co.,20190717,9964.0,9016.0,9783.0,186371113117,19050052,41231,D,9490.0,9964.0
16,Seamorgh.Co.,20190720,10272.0,10070.0,10269.0,323370467534,31490204,21135,D,9783.0,10272.0
17,Seamorgh.Co.,20190721,10782.0,10010.0,10543.0,317636436558,30129080,42825,D,10269.0,10782.0
18,Seamorgh.Co.,20190722,11070.0,10550.0,11050.0,142165437173,12865593,5532,D,10543.0,11070.0
19,Seamorgh.Co.,20190723,11602.0,10610.0,11210.0,323437549949,28852447,23309,D,11050.0,10880.0
20,Seamorgh.Co.,20190724,11210.0,10650.0,10730.0,161353222520,15037858,15181,D,11210.0,10860.0
21,Seamorgh.Co.,20190727,11266.0,11002.0,11252.0,219513395855,19509621,7362,D,10730.0,11155.0
22,Seamorgh.Co.,20190728,11340.0,10690.0,11008.0,158716903308,14418834,15651,D,11252.0,10861.0
23,Seamorgh.Co.,20190729,11558.0,10700.0,11269.0,157679764903,13992604,12048,D,11008.0,11558.0
24,Seamorgh.Co.,20190730,11832.0,11600.0,11828.0,55455509788,4688466,1892,D,11269.0,11832.0
25,Seamorgh.Co.,20190731,12419.0,11921.0,12328.0,349474975016,28347803,7909,D,11828.0,12139.0
26,Seamorgh.Co.,20190803,12944.0,11715.0,12388.0,235545876214,19013566,8855,D,12328.0,12944.0
27,Seamorgh.Co.,20190804,13007.0,12555.0,12938.0,486758067858,37622509,8577,D,12388.0,12998.0
28,Seamorgh.Co.,20190805,13200.0,12300.0,12731.0,204244215052,16042629,9136,D,12938.0,12480.0
29,Seamorgh.Co.,20190806,12723.0,12095.0,12186.0,256027788944,21010243,10421,D,12731.0,12095.0
30,Seamorgh.Co.,20190807,12431.0,11901.0,12100.0,100548785600,8309517,8437,D,12186.0,12100.0
31,Seamorgh.Co.,20190810,12140.0,11593.0,11863.0,107620811631,9072005,11563,D,12100.0,12000.0
32,Seamorgh.Co.,20190811,12120.0,11452.0,11708.0,81208576714,6936195,5014,D,11863.0,11480.0
33,Seamorgh.Co.,20190813,11940.0,11444.0,11571.0,90247227853,7799126,5123,D,11708.0,11462.0
34,Seamorgh.Co.,20190814,11731.0,11170.0,11336.0,107681461556,9498720,6182,D,11571.0,11400.0
35,Seamorgh.Co.,20190817,11900.0,11300.0,11580.0,98121848991,8473183,6093,D,11336.0,11800.0
36,Seamorgh.Co.,20190818,12159.0,11700.0,12119.0,94213551265,7773827,4070,D,11580.0,12159.0
37,Seamorgh.Co.,20190819,12580.0,11761.0,12110.0,83634868995,6906258,5170,D,12119.0,11973.0
38,Seamorgh.Co.,20190821,12108.0,11651.0,11771.0,88277617027,7499618,4601,D,12110.0,11850.0
39,Seamorgh.Co.,20190824,12190.0,11600.0,11856.0,82502453228,6958581,4140,D,11771.0,11829.0
40,Seamorgh.Co.,20190825,12099.0,11449.0,11685.0,91965345056,7870679,3510,D,11856.0,11759.0
41,Seamorgh.Co.,20190826,12125.0,11800.0,12011.0,83824963478,6978829,3600,D,11685.0,12027.0
42,Seamorgh.Co.,20190827,12195.0,11495.0,11761.0,108048766347,9187386,4283,D,12011.0,11495.0
43,Seamorgh.Co.,20190828,11987.0,11396.0,11585.0,62525264161,5397124,2934,D,11761.0,11730.0
44,Seamorgh.Co.,20190831,11990.0,11502.0,11696.0,54626863701,4670659,3161,D,11585.0,11600.0
45,Seamorgh.Co.,20190901,11949.0,11505.0,11759.0,66996748724,5697667,3368,D,11696.0,11690.0
46,Seamorgh.Co.,20190902,11899.0,11200.0,11522.0,79800194172,6925857,3588,D,11759.0,11569.0
47,Seamorgh.Co.,20190903,11850.0,11569.0,11697.0,28410397323,2428758,2556,D,11522.0,11679.0
48,Seamorgh.Co.,20190904,12281.0,11635.0,12233.0,140882472995,11516821,3399,D,11697.0,12281.0
49,Seamorgh.Co.,20190907,12844.0,12300.0,12755.0,210939469884,16537147,6055,D,12233.0,12800.0
50,Seamorgh.Co.,20190908,12960.0,12333.0,12515.0,129746951710,10366969,5480,D,12755.0,12410.0
51,Seamorgh.Co.,20190911,12700.0,12264.0,12518.0,99366485200,7937792,4020,D,12515.0,12522.0
52,Seamorgh.Co.,20190914,13143.0,12519.0,12996.0,173659926985,13362067,5719,D,12518.0,12857.0
53,Seamorgh.Co.,20190915,13099.0,12350.0,12814.0,110488734211,8622486,3845,D,12996.0,12850.0
54,Seamorgh.Co.,20190916,13450.0,12774.0,13188.0,120961531177,9172045,4238,D,12814.0,13013.0
55,Seamorgh.Co.,20190917,13781.0,12800.0,13424.0,104374607044,7775481,3807,D,13188.0,13420.0
56,Seamorgh.Co.,20190918,13749.0,12753.0,12961.0,103086712381,7953392,3375,D,13424.0,13099.0
57,Seamorgh.Co.,20190921,13580.0,13005.0,13349.0,69833196627,5231463,2661,D,12961.0,13210.0
58,Seamorgh.Co.,20190922,13559.0,13140.0,13278.0,76958741752,5796151,3175,D,13349.0,13200.0
59,Seamorgh.Co.,20190923,13542.0,13201.0,13282.0,77432880784,5829984,3451,D,13278.0,13201.0
60,Seamorgh.Co.,20190924,13890.0,13201.0,13530.0,111475014592,8238976,4174,D,13282.0,13632.0
61,Seamorgh.Co.,20190925,14206.0,13500.0,14094.0,155436647731,11028293,5268,D,13530.0,14206.0
62,Seamorgh.Co.,20190928,14798.0,14480.0,14714.0,125627757893,8537765,4458,D,14094.0,14798.0
63,Seamorgh.Co.,20190929,15150.0,14000.0,14481.0,96131618978,6638458,4158,D,14714.0,14700.0
64,Seamorgh.Co.,20190930,14880.0,14500.0,14676.0,82787438233,5640832,2945,D,14481.0,14548.0
65,Seamorgh.Co.,20191001,14799.0,13943.0,14188.0,148342117757,10455114,4482,D,14676.0,13944.0
66,Seamorgh.Co.,20191002,14180.0,13500.0,13790.0,62465884225,4529705,2432,D,14188.0,13801.0
67,Seamorgh.Co.,20191005,14389.0,13601.0,14077.0,86329398407,6132620,3022,D,13790.0,13939.0
68,Seamorgh.Co.,20191006,14150.0,13374.0,13561.0,47028308576,3467842,2307,D,14077.0,13659.0
69,Seamorgh.Co.,20191007,13925.0,13250.0,13467.0,71912894862,5340088,2898,D,13561.0,13398.0
70,Seamorgh.Co.,20191008,13890.0,12794.0,13034.0,84310933444,6468484,3143,D,13467.0,12808.0
71,Seamorgh.Co.,20191009,13411.0,12431.0,12961.0,36481837102,2814768,3015,D,13034.0,13386.0
72,Seamorgh.Co.,20191012,13609.0,13411.0,13601.0,54108110728,3978279,1771,D,12961.0,13609.0
73,Seamorgh.Co.,20191013,14180.0,13253.0,13693.0,34419065276,2513640,2296,D,13601.0,13370.0
74,Seamorgh.Co.,20191014,13380.0,13009.0,13046.0,40576072256,3110245,1783,D,13693.0,13009.0
75,Seamorgh.Co.,20191015,13000.0,12394.0,12474.0,21956747651,1760225,749,D,13046.0,12394.0
76,Seamorgh.Co.,20191016,12367.0,11851.0,11897.0,51058770939,4291632,2069,D,12474.0,11851.0
77,Seamorgh.Co.,20191020,11798.0,11303.0,11352.0,22941572942,2020972,707,D,11897.0,11303.0
78,Seamorgh.Co.,20191021,11060.0,10785.0,10810.0,51759481721,4787906,1876,D,11352.0,11056.0
79,Seamorgh.Co.,20191022,11350.0,10430.0,11038.0,47838322280,4333849,2272,D,10810.0,10890.0
80,Seamorgh.Co.,20191023,11012.0,10487.0,10595.0,29792237616,2811835,1977,D,11038.0,10599.0
81,Seamorgh.Co.,20191026,10438.0,10066.0,10132.0,37220055808,3673567,2091,D,10595.0,10081.0
82,Seamorgh.Co.,20191028,10638.0,9999.0,10509.0,30280572938,2881460,1745,D,10132.0,10638.0
83,Seamorgh.Co.,20191030,11034.0,10810.0,11013.0,24692189386,2242080,1181,D,10509.0,11034.0
84,Seamorgh.Co.,20191102,11496.0,10661.0,10967.0,30502518132,2781379,2088,D,11013.0,10860.0
85,Seamorgh.Co.,20191103,11210.0,10642.0,11048.0,22327533115,2021033,1520,D,10967.0,11126.0
86,Seamorgh.Co.,20191104,11300.0,10720.0,10960.0,12247329273,1117457,1130,D,11048.0,10770.0
