,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,N..I..L..Z.,20010325,3845.0,3845.0,3845.0,19225000,5000,1,D,3845.0,3845.0
1,N..I..L..Z.,20010327,3764.0,3764.0,3764.0,21868840,5810,3,D,3845.0,3764.0
2,N..I..L..Z.,20010331,3764.0,3764.0,3764.0,15432400,4100,1,D,3764.0,3764.0
3,N..I..L..Z.,20010403,3764.0,3764.0,3764.0,5239488,1392,3,D,3764.0,3764.0
4,N..I..L..Z.,20010408,3764.0,3764.0,3764.0,107018048,28432,13,D,3764.0,3764.0
5,N..I..L..Z.,20010409,3764.0,3764.0,3764.0,37640000,10000,3,D,3764.0,3764.0
6,N..I..L..Z.,20010410,3764.0,3764.0,3764.0,18820000,5000,1,D,3764.0,3764.0
7,N..I..L..Z.,20010417,3740.0,3740.0,3740.0,2973300,795,1,D,3764.0,3740.0
8,N..I..L..Z.,20010421,3740.0,3740.0,3740.0,163344500,43675,10,D,3740.0,3740.0
9,N..I..L..Z.,20010422,3740.0,3740.0,3740.0,991100,265,1,D,3740.0,3740.0
10,N..I..L..Z.,20010428,3703.0,3703.0,3703.0,5058298,1366,1,D,3740.0,3703.0
11,N..I..L..Z.,20010429,3670.0,3666.0,3666.0,110000000,30000,17,D,3703.0,3666.0
12,N..I..L..Z.,20010430,3620.0,3618.0,3620.0,71407020,19732,10,D,3666.0,3620.0
13,N..I..L..Z.,20010501,3610.0,3610.0,3610.0,18050000,5000,1,D,3620.0,3610.0
14,N..I..L..Z.,20010507,3593.0,3593.0,3593.0,17965000,5000,5,D,3610.0,3593.0
15,N..I..L..Z.,20010508,3559.0,3510.0,3510.0,21109000,6000,3,D,3593.0,3510.0
16,N..I..L..Z.,20010515,3500.0,3475.0,3500.0,196414950,56453,19,D,3510.0,3500.0
17,N..I..L..Z.,20010516,3500.0,3475.0,3500.0,34952478,10006,10,D,3500.0,3500.0
18,N..I..L..Z.,20010521,3500.0,3475.0,3500.0,17462500,5000,5,D,3500.0,3500.0
19,N..I..L..Z.,20010527,3500.0,3498.0,3500.0,34987200,10000,5,D,3500.0,3500.0
20,N..I..L..Z.,20010602,3500.0,3499.0,3500.0,29048000,8300,2,D,3500.0,3500.0
21,N..I..L..Z.,20010603,3500.0,3500.0,3500.0,2275000,650,1,D,3500.0,3500.0
22,N..I..L..Z.,20010609,3500.0,3500.0,3500.0,4725000,1350,2,D,3500.0,3500.0
23,N..I..L..Z.,20010611,3500.0,3500.0,3500.0,5775000,1650,2,D,3500.0,3500.0
24,N..I..L..Z.,20010613,3501.0,3501.0,3501.0,875250,250,1,D,3500.0,3501.0
25,N..I..L..Z.,20010618,3501.0,3500.0,3500.0,16590050,4740,6,D,3501.0,3500.0
26,N..I..L..Z.,20010619,3502.0,3501.0,3501.0,28010100,8000,9,D,3500.0,3501.0
27,N..I..L..Z.,20010624,3536.0,3536.0,3536.0,3536000,1000,1,D,3501.0,3536.0
28,N..I..L..Z.,20010625,3571.0,3571.0,3571.0,4899412,1372,2,D,3536.0,3571.0
29,N..I..L..Z.,20010630,3606.0,3606.0,3606.0,106377000,29500,8,D,3571.0,3606.0
30,N..I..L..Z.,20010701,3642.0,3642.0,3642.0,9105000,2500,1,D,3606.0,3642.0
31,N..I..L..Z.,20010702,3678.0,3641.0,3678.0,69571000,19000,11,D,3642.0,3678.0
32,N..I..L..Z.,20010703,3670.0,3500.0,3670.0,24476720,6716,6,D,3678.0,3670.0
33,N..I..L..Z.,20010707,3670.0,3670.0,3670.0,594540,162,1,D,3670.0,3670.0
34,N..I..L..Z.,20010708,3670.0,3670.0,3670.0,161802960,44088,17,D,3670.0,3670.0
35,N..I..L..Z.,20011016,2000.0,2000.0,2000.0,2000000,1000,1,D,3670.0,2000.0
36,N..I..L..Z.,20011017,2014.0,2012.0,2014.0,15683060,7790,2,D,2000.0,2014.0
37,N..I..L..Z.,20011020,2014.0,2013.0,2014.0,9560224,4748,6,D,2014.0,2014.0
