,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sepah.Inv.,20010327,1048.0,1030.0,1048.0,4347600,4200,4,D,0.0,1048.0
1,Sepah.Inv.,20010328,1046.0,1020.0,1046.0,3885792,3742,3,D,1048.0,1046.0
2,Sepah.Inv.,20010331,1040.0,1040.0,1040.0,4982640,4791,2,D,1046.0,1040.0
3,Sepah.Inv.,20010407,1040.0,1039.0,1040.0,15932870,15330,4,D,1040.0,1040.0
4,Sepah.Inv.,20010408,1050.0,1040.0,1050.0,95131412,90728,23,D,1040.0,1050.0
5,Sepah.Inv.,20010409,1052.0,1050.0,1050.0,63201748,60150,18,D,1050.0,1050.0
6,Sepah.Inv.,20010410,1061.0,1060.0,1060.0,20053198,18918,6,D,1050.0,1060.0
7,Sepah.Inv.,20010411,1061.0,1060.0,1061.0,381780,360,2,D,1060.0,1061.0
8,Sepah.Inv.,20010414,1070.0,1070.0,1070.0,215070,201,1,D,1061.0,1070.0
9,Sepah.Inv.,20010415,1086.0,1082.0,1085.0,7589500,7000,3,D,1070.0,1085.0
10,Sepah.Inv.,20010416,1139.0,1100.0,1139.0,81800010,71850,18,D,1085.0,1139.0
11,Sepah.Inv.,20010417,1195.0,1144.0,1195.0,282834400,237700,41,D,1139.0,1195.0
12,Sepah.Inv.,20010418,1254.0,1254.0,1254.0,13483008,10752,4,D,1195.0,1254.0
13,Sepah.Inv.,20010421,1316.0,1316.0,1316.0,1877932000,1427000,209,D,1254.0,1316.0
14,Sepah.Inv.,20010422,1317.0,1315.0,1316.0,1239295846,941726,191,D,1316.0,1316.0
15,Sepah.Inv.,20010423,1340.0,1318.0,1320.0,1860295820,1389990,49,D,1316.0,1320.0
16,Sepah.Inv.,20010424,1320.0,1300.0,1300.0,132667400,101030,31,D,1320.0,1300.0
17,Sepah.Inv.,20010425,1300.0,1300.0,1300.0,92999400,71538,23,D,1300.0,1300.0
18,Sepah.Inv.,20010428,1300.0,1280.0,1280.0,108763582,83819,19,D,1300.0,1280.0
19,Sepah.Inv.,20010429,1279.0,1261.0,1279.0,227867187,179889,37,D,1280.0,1279.0
20,Sepah.Inv.,20010430,1310.0,1280.0,1300.0,123955202,95853,37,D,1279.0,1300.0
21,Sepah.Inv.,20010501,1300.0,1280.0,1280.0,121250200,93914,26,D,1300.0,1280.0
22,Sepah.Inv.,20010502,1300.0,1280.0,1300.0,42172760,32714,44,D,1280.0,1300.0
23,Sepah.Inv.,20010505,1300.0,1282.0,1283.0,32138156,24932,9,D,1300.0,1283.0
24,Sepah.Inv.,20010506,1300.0,1283.0,1300.0,187804284,144991,40,D,1283.0,1300.0
25,Sepah.Inv.,20010507,1310.0,1300.0,1309.0,307471910,235462,63,D,1300.0,1309.0
26,Sepah.Inv.,20010508,1310.0,1300.0,1310.0,345104210,263767,36,D,1309.0,1310.0
27,Sepah.Inv.,20010509,1330.0,1308.0,1321.0,703630435,536772,60,D,1310.0,1321.0
28,Sepah.Inv.,20010512,1351.0,1347.0,1351.0,42802800,31700,11,D,1321.0,1351.0
29,Sepah.Inv.,20010513,1400.0,1359.0,1360.0,318321534,230859,59,D,1351.0,1360.0
30,Sepah.Inv.,20010515,1410.0,1360.0,1402.0,430368350,308742,60,D,1360.0,1402.0
31,Sepah.Inv.,20010516,1455.0,1410.0,1451.0,609321840,422000,97,D,1402.0,1451.0
32,Sepah.Inv.,20010519,1470.0,1407.0,1407.0,222433940,153315,53,D,1451.0,1407.0
33,Sepah.Inv.,20010523,1421.0,1407.0,1421.0,107987675,76165,15,D,1407.0,1421.0
34,Sepah.Inv.,20010526,1492.0,1440.0,1492.0,1035978780,706571,162,D,1421.0,1492.0
35,Sepah.Inv.,20010527,1566.0,1507.0,1520.0,401607020,259186,73,D,1492.0,1520.0
36,Sepah.Inv.,20010528,1560.0,1503.0,1505.0,576363495,379041,101,D,1520.0,1505.0
37,Sepah.Inv.,20010529,1500.0,1460.0,1496.0,223427046,151115,61,D,1505.0,1496.0
38,Sepah.Inv.,20010530,1482.0,1460.0,1480.0,300109765,203220,59,D,1496.0,1480.0
39,Sepah.Inv.,20010602,1480.0,1476.0,1480.0,151711968,102578,34,D,1480.0,1480.0
40,Sepah.Inv.,20010603,1480.0,1463.0,1480.0,473952062,320945,64,D,1480.0,1480.0
41,Sepah.Inv.,20010606,1480.0,1469.0,1470.0,207034802,140100,25,D,1480.0,1470.0
42,Sepah.Inv.,20010609,1469.0,1459.0,1460.0,179737668,123000,23,D,1470.0,1460.0
43,Sepah.Inv.,20010611,1458.0,1455.0,1457.0,116447608,80000,18,D,1460.0,1457.0
44,Sepah.Inv.,20010612,1457.0,1400.0,1457.0,281666279,195437,47,D,1457.0,1457.0
45,Sepah.Inv.,20010619,1400.0,1385.0,1385.0,6238720,4472,6,D,1457.0,1385.0
46,Sepah.Inv.,20010620,1385.0,1340.0,1350.0,172327780,127718,40,D,1385.0,1350.0
