,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,I..Pegah.Dairy,20030615,8261.0,8000.0,8250.0,10905501363,1342983,212,D,8012.0,8250.0
1,I..Pegah.Dairy,20030616,8265.0,8264.0,8264.0,74384000,9000,6,D,8250.0,8264.0
2,I..Pegah.Dairy,20030617,8293.0,8292.0,8293.0,55976000,6750,6,D,8264.0,8293.0
3,I..Pegah.Dairy,20030618,8380.0,8367.0,8380.0,105675500,12625,11,D,8293.0,8380.0
4,I..Pegah.Dairy,20030621,8503.0,8502.0,8502.0,68022830,8000,5,D,8380.0,8502.0
5,I..Pegah.Dairy,20030622,8578.0,8572.0,8574.0,80403770,9376,11,D,8502.0,8574.0
6,I..Pegah.Dairy,20030623,8822.0,8750.0,8818.0,195912519,22268,12,D,8574.0,8818.0
7,I..Pegah.Dairy,20030624,9258.0,8898.0,9258.0,109352704,12248,6,D,8818.0,9258.0
8,I..Pegah.Dairy,20030625,9720.0,9720.0,9720.0,221441040,22782,14,D,9258.0,9720.0
9,I..Pegah.Dairy,20030628,10206.0,9852.0,9860.0,632361788,62298,30,D,9720.0,9860.0
10,I..Pegah.Dairy,20030629,9907.0,9891.0,9907.0,145606472,14700,8,D,9860.0,9907.0
11,I..Pegah.Dairy,20030630,10200.0,9927.0,9930.0,541182172,53952,24,D,9907.0,9930.0
12,I..Pegah.Dairy,20030701,10426.0,9931.0,9931.0,265536036,25861,11,D,9930.0,9931.0
13,I..Pegah.Dairy,20030702,10426.0,9945.0,9945.0,209250272,20330,12,D,9931.0,9945.0
14,I..Pegah.Dairy,20030705,10000.0,9953.0,9968.0,218863274,21917,12,D,9945.0,9968.0
15,I..Pegah.Dairy,20030706,10442.0,10000.0,10210.0,384728590,37720,17,D,9968.0,10210.0
16,I..Pegah.Dairy,20030707,10382.0,10210.0,10382.0,51566000,5000,4,D,10210.0,10382.0
17,I..Pegah.Dairy,20030708,10901.0,10385.0,10800.0,295370700,28000,6,D,10382.0,10800.0
18,I..Pegah.Dairy,20030709,10905.0,10805.0,10905.0,21760000,2000,3,D,10800.0,10905.0
19,I..Pegah.Dairy,20030712,11400.0,11400.0,11400.0,102600000,9000,1,D,10905.0,11400.0
20,I..Pegah.Dairy,20030713,11970.0,11800.0,11970.0,165710000,14000,3,D,11400.0,11970.0
21,I..Pegah.Dairy,20030714,12568.0,12568.0,12568.0,17595200,1400,1,D,11970.0,12568.0
22,I..Pegah.Dairy,20030715,13196.0,13196.0,13196.0,19794000,1500,1,D,12568.0,13196.0
23,I..Pegah.Dairy,20030716,13250.0,13196.0,13198.0,715073548,54132,33,D,13196.0,13198.0
24,I..Pegah.Dairy,20030719,13204.0,13198.0,13199.0,237723262,18010,20,D,13198.0,13199.0
25,I..Pegah.Dairy,20030720,13200.0,13200.0,13200.0,75913200,5751,3,D,13199.0,13200.0
26,I..Pegah.Dairy,20030722,13000.0,12600.0,12600.0,29766200,2337,4,D,13200.0,12600.0
27,I..Pegah.Dairy,20030723,12001.0,12000.0,12001.0,65568936,5464,13,D,12600.0,12001.0
28,I..Pegah.Dairy,20030726,12001.0,12001.0,12001.0,6576548,548,2,D,12001.0,12001.0
