,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shahroud.Cement,20030607,39999.0,30000.0,31115.0,73748347865,2394260,1292,D,0.0,31115.0
1,Shahroud.Cement,20030608,32670.0,32670.0,32670.0,655360200,20060,10,D,31115.0,32670.0
2,Shahroud.Cement,20030609,34303.0,33301.0,33307.0,14382575623,422840,147,D,32670.0,33307.0
3,Shahroud.Cement,20030610,33351.0,33000.0,33321.0,1807513013,54349,90,D,33307.0,33321.0
4,Shahroud.Cement,20030611,32650.0,31655.0,31655.0,1482088050,46385,38,D,33321.0,31655.0
5,Shahroud.Cement,20030614,30073.0,30073.0,30073.0,3592430361,119457,83,D,31655.0,30073.0
6,Shahroud.Cement,20030615,29900.0,28570.0,28602.0,13597430566,469786,321,D,30073.0,28602.0
7,Shahroud.Cement,20030616,28901.0,28221.0,28490.0,2058489758,72080,63,D,28602.0,28490.0
8,Shahroud.Cement,20030617,29300.0,28889.0,29300.0,879423138,30335,61,D,28490.0,29300.0
9,Shahroud.Cement,20030618,29610.0,29300.0,29300.0,1182657611,40159,60,D,29300.0,29300.0
10,Shahroud.Cement,20030621,29601.0,29292.0,29300.0,1230689704,41920,49,D,29300.0,29300.0
11,Shahroud.Cement,20030622,29300.0,29100.0,29255.0,1965877485,67205,82,D,29300.0,29255.0
12,Shahroud.Cement,20030623,29098.0,27901.0,27912.0,453352775,15870,31,D,29255.0,27912.0
13,Shahroud.Cement,20030624,29000.0,27895.0,28999.0,5222956283,185446,123,D,27912.0,28999.0
14,Shahroud.Cement,20030625,28550.0,28000.0,28002.0,513807992,18319,35,D,28999.0,28002.0
15,Shahroud.Cement,20030628,28002.0,27550.0,27600.0,453777026,16416,24,D,28002.0,27600.0
16,Shahroud.Cement,20030629,28500.0,27400.0,27500.0,1078762972,38949,55,D,27600.0,27500.0
17,Shahroud.Cement,20030630,28875.0,27000.0,27000.0,3373046169,119615,104,D,27500.0,27000.0
18,Shahroud.Cement,20030720,33237.0,27009.0,31800.0,1857577384,57714,70,D,27000.0,31800.0
19,Shahroud.Cement,20030721,31800.0,30210.0,30210.0,2172012767,71198,78,D,31800.0,30210.0
20,Shahroud.Cement,20030722,30000.0,28700.0,28700.0,19950700,671,6,D,30210.0,28700.0
21,Shahroud.Cement,20030723,28688.0,27630.0,27650.0,1070553131,38510,50,D,28700.0,27650.0
22,Shahroud.Cement,20030726,29032.0,27650.0,29032.0,1307006549,46610,70,D,27650.0,29032.0
23,Shahroud.Cement,20030727,30136.0,29499.0,29651.0,2324461026,77640,68,D,29032.0,29651.0
24,Shahroud.Cement,20030728,30000.0,29700.0,29700.0,1951871697,65327,60,D,29651.0,29700.0
25,Shahroud.Cement,20030729,30300.0,29500.0,30000.0,2462206931,82648,77,D,29700.0,30000.0
26,Shahroud.Cement,20030730,29981.0,29978.0,29978.0,24403592,814,2,D,30000.0,29978.0
27,Shahroud.Cement,20030803,27016.0,27000.0,27016.0,277740415,10282,16,D,29978.0,27016.0
28,Shahroud.Cement,20030804,27800.0,27003.0,27063.0,1919283922,70051,58,D,27016.0,27063.0
29,Shahroud.Cement,20030805,27000.0,26000.0,26000.0,430149423,16393,18,D,27063.0,26000.0
