,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Saipa.Inv.,20010425,2175.0,2175.0,2175.0,15977550,7346,4,D,2175.0,2175.0
1,S*Saipa.Inv.,20010529,2176.0,2176.0,2176.0,34200192,15717,3,D,2175.0,2176.0
2,S*Saipa.Inv.,20010612,2178.0,2178.0,2178.0,26891766,12347,10,D,2176.0,2178.0
3,S*Saipa.Inv.,20010619,2178.0,2178.0,2178.0,14468454,6643,3,D,2178.0,2178.0
4,S*Saipa.Inv.,20010707,2250.0,2250.0,2250.0,2250000,1000,2,D,2178.0,2250.0
5,S*Saipa.Inv.,20010815,2000.0,2000.0,2000.0,1216686000,608343,67,D,2250.0,2000.0
6,S*Saipa.Inv.,20010827,2100.0,2100.0,2100.0,2100000,1000,1,D,2000.0,2100.0
7,S*Saipa.Inv.,20010829,2150.0,2140.0,2150.0,15612963,7274,4,D,2100.0,2150.0
8,S*Saipa.Inv.,20010901,2150.0,2150.0,2150.0,72115300,33542,18,D,2150.0,2150.0
9,S*Saipa.Inv.,20010904,2150.0,2150.0,2150.0,20136900,9366,6,D,2150.0,2150.0
10,S*Saipa.Inv.,20010908,2150.0,2150.0,2150.0,28676700,13338,5,D,2150.0,2150.0
11,S*Saipa.Inv.,20010910,2150.0,2149.0,2150.0,12899860,6000,3,D,2150.0,2150.0
12,S*Saipa.Inv.,20010918,2150.0,2150.0,2150.0,7626050,3547,3,D,2150.0,2150.0
13,S*Saipa.Inv.,20010923,2150.0,2150.0,2150.0,18068600,8404,2,D,2150.0,2150.0
14,S*Saipa.Inv.,20011006,2153.0,2153.0,2153.0,5311451,2467,1,D,2150.0,2153.0
15,S*Saipa.Inv.,20011014,2153.0,2153.0,2153.0,10808060,5020,6,D,2153.0,2153.0
16,S*Saipa.Inv.,20011016,2153.0,2153.0,2153.0,10592760,4920,5,D,2153.0,2153.0
17,S*Saipa.Inv.,20011111,2153.0,2153.0,2153.0,6342738,2946,3,D,2153.0,2153.0
18,S*Saipa.Inv.,20011113,2153.0,2153.0,2153.0,13693080,6360,5,D,2153.0,2153.0
19,S*Saipa.Inv.,20011120,2154.0,2154.0,2154.0,6978960,3240,5,D,2153.0,2154.0
20,S*Saipa.Inv.,20011125,2153.0,2153.0,2153.0,2458726,1142,1,D,2154.0,2153.0
21,S*Saipa.Inv.,20011210,2153.0,2153.0,2153.0,16212090,7530,8,D,2153.0,2153.0
22,S*Saipa.Inv.,20011224,2153.0,2153.0,2153.0,215300,100,1,D,2153.0,2153.0
23,S*Saipa.Inv.,20011225,2153.0,2153.0,2153.0,15805173,7341,9,D,2153.0,2153.0
24,S*Saipa.Inv.,20011230,2153.0,2153.0,2153.0,5311451,2467,5,D,2153.0,2153.0
25,S*Saipa.Inv.,20020106,2153.0,2153.0,2153.0,3494319,1623,2,D,2153.0,2153.0
26,S*Saipa.Inv.,20020108,2153.0,2153.0,2153.0,25836,12,1,D,2153.0,2153.0
27,S*Saipa.Inv.,20020114,2153.0,2152.0,2153.0,12992830,6035,9,D,2153.0,2153.0
28,S*Saipa.Inv.,20020115,2153.0,2153.0,2153.0,5311451,2467,1,D,2153.0,2153.0
29,S*Saipa.Inv.,20020119,2153.0,2153.0,2153.0,10622902,4934,2,D,2153.0,2153.0
30,S*Saipa.Inv.,20020121,2153.0,2153.0,2153.0,5311451,2467,1,D,2153.0,2153.0
31,S*Saipa.Inv.,20020204,2153.0,2153.0,2153.0,9623910,4470,2,D,2153.0,2153.0
32,S*Saipa.Inv.,20020219,2153.0,2153.0,2153.0,1985066,922,1,D,2153.0,2153.0
33,S*Saipa.Inv.,20020224,2153.0,2153.0,2153.0,3326385,1545,1,D,2153.0,2153.0
34,S*Saipa.Inv.,20020310,2153.0,2153.0,2153.0,7470910,3470,2,D,2153.0,2153.0
35,S*Saipa.Inv.,20020415,2153.0,2153.0,2153.0,14166740,6580,2,D,2153.0,2153.0
