,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tehran.Cement,20010325,9150.0,9148.0,9149.0,7905363,864,5,D,9150.0,9149.0
1,Tehran.Cement,20010326,9147.0,9147.0,9147.0,457350,50,1,D,9149.0,9147.0
2,Tehran.Cement,20010327,9140.0,9130.0,9138.0,11012280,1205,4,D,9147.0,9138.0
3,Tehran.Cement,20010328,9130.0,9000.0,9000.0,98969011,10979,19,D,9138.0,9000.0
4,Tehran.Cement,20010331,9050.0,9000.0,9050.0,81374296,9028,12,D,9000.0,9050.0
5,Tehran.Cement,20010403,9050.0,9001.0,9002.0,93840553,10403,10,D,9050.0,9002.0
6,Tehran.Cement,20010407,9151.0,9006.0,9150.0,81627571,8998,13,D,9002.0,9150.0
7,Tehran.Cement,20010408,9160.0,9150.0,9160.0,29768132,3252,8,D,9150.0,9160.0
8,Tehran.Cement,20010409,9168.0,9160.0,9168.0,30149952,3291,14,D,9160.0,9168.0
9,Tehran.Cement,20010410,9181.0,9160.0,9160.0,132364962,14425,32,D,9168.0,9160.0
10,Tehran.Cement,20010411,9205.0,9180.0,9203.0,193997975,21086,49,D,9160.0,9203.0
11,Tehran.Cement,20010414,9257.0,9221.0,9257.0,453237797,49000,65,D,9203.0,9257.0
12,Tehran.Cement,20010416,9801.0,9456.0,9728.0,404107493,41333,82,D,9257.0,9728.0
13,Tehran.Cement,20010417,9900.0,9610.0,9810.0,386974921,39663,65,D,9728.0,9810.0
14,Tehran.Cement,20010418,9908.0,9860.0,9908.0,10128741174,1022322,50,D,9810.0,9908.0
15,Tehran.Cement,20010421,10000.0,9910.0,9913.0,368743877,37157,59,D,9908.0,9913.0
16,Tehran.Cement,20010422,10000.0,9915.0,9960.0,1100597342,110205,82,D,9913.0,9960.0
17,Tehran.Cement,20010423,10000.0,9920.0,9971.0,776134651,77677,55,D,9960.0,9971.0
18,Tehran.Cement,20010424,10050.0,9984.0,10001.0,544544754,54484,50,D,9971.0,10001.0
19,Tehran.Cement,20010425,10101.0,5551.0,10101.0,141039568,15133,46,D,10001.0,10101.0
20,Tehran.Cement,20010428,10202.0,10202.0,10202.0,89736792,8796,25,D,10101.0,10202.0
21,Tehran.Cement,20010429,10304.0,10304.0,10304.0,349841408,33952,68,D,10202.0,10304.0
22,Tehran.Cement,20010430,10407.0,10407.0,10407.0,160538382,15426,41,D,10304.0,10407.0
23,Tehran.Cement,20010501,10511.0,10511.0,10511.0,1130373962,107542,76,D,10407.0,10511.0
24,Tehran.Cement,20010502,10616.0,10512.0,10616.0,1871637472,176308,126,D,10511.0,10616.0
25,Tehran.Cement,20010505,10618.0,10551.0,10602.0,566752136,53420,67,D,10616.0,10602.0
26,Tehran.Cement,20010506,10606.0,10550.0,10605.0,228507664,21570,62,D,10602.0,10605.0
27,Tehran.Cement,20010507,10617.0,10602.0,10617.0,219496420,20697,47,D,10605.0,10617.0
28,Tehran.Cement,20010508,10626.0,10610.0,10626.0,698845779,65830,76,D,10617.0,10626.0
29,Tehran.Cement,20010509,10732.0,10628.0,10732.0,606310264,56603,81,D,10626.0,10732.0
30,Tehran.Cement,20010512,10734.0,10653.0,10732.0,427270396,39848,62,D,10732.0,10732.0
31,Tehran.Cement,20010513,10802.0,10730.0,10801.0,568328240,52766,77,D,10732.0,10801.0
32,Tehran.Cement,20010515,10852.0,5926.0,10852.0,783397196,98763,313,D,10801.0,10852.0
33,Tehran.Cement,20010516,10893.0,10854.0,10893.0,381122407,35053,58,D,10852.0,10893.0
34,Tehran.Cement,20010519,10900.0,10893.0,10899.0,219048949,20106,41,D,10893.0,10899.0
35,Tehran.Cement,20010520,10909.0,10899.0,10904.0,391536998,35912,72,D,10899.0,10904.0
36,Tehran.Cement,20010521,11013.0,10950.0,11013.0,645281681,58632,66,D,10904.0,11013.0
37,Tehran.Cement,20010523,11039.0,10903.0,11032.0,332616539,30289,63,D,11013.0,11032.0
38,Tehran.Cement,20010526,11102.0,11032.0,11102.0,301690666,27281,59,D,11032.0,11102.0
39,Tehran.Cement,20010527,11213.0,11102.0,11169.0,1526099278,137077,36,D,11102.0,11169.0
40,Tehran.Cement,20010528,11250.0,11163.0,11212.0,416894487,37235,58,D,11169.0,11212.0
41,Tehran.Cement,20010529,11250.0,11219.0,11228.0,334690116,29792,57,D,11212.0,11228.0
42,Tehran.Cement,20010530,11250.0,11199.0,11200.0,231557981,20640,57,D,11228.0,11200.0
43,Tehran.Cement,20010602,11200.0,11088.0,11094.0,169099350,15185,36,D,11200.0,11094.0
44,Tehran.Cement,20010603,11093.0,10985.0,10985.0,32913421,2981,9,D,11094.0,10985.0
45,Tehran.Cement,20010606,10985.0,10876.0,10980.0,759500762,69670,128,D,10985.0,10980.0
46,Tehran.Cement,20010609,10980.0,10871.0,10980.0,393251383,36087,61,D,10980.0,10980.0
47,Tehran.Cement,20010611,11000.0,10970.0,10980.0,350793401,31964,62,D,10980.0,10980.0
48,Tehran.Cement,20010612,11089.0,10980.0,11089.0,289819967,26173,62,D,10980.0,11089.0
49,Tehran.Cement,20010613,11199.0,11199.0,11199.0,726053568,64832,88,D,11089.0,11199.0
50,Tehran.Cement,20010616,11207.0,11121.0,11201.0,368063521,32902,67,D,11199.0,11201.0
51,Tehran.Cement,20010617,11201.0,11089.0,11201.0,928973232,83268,100,D,11201.0,11201.0
52,Tehran.Cement,20010618,11301.0,11121.0,11299.0,297946728,26480,67,D,11201.0,11299.0
53,Tehran.Cement,20010619,11350.0,11300.0,11330.0,190620113,16853,53,D,11299.0,11330.0
54,Tehran.Cement,20010620,11442.0,11301.0,11442.0,477907732,42163,80,D,11330.0,11442.0
55,Tehran.Cement,20010623,11511.0,11446.0,11500.0,384960479,33491,62,D,11442.0,11500.0
56,Tehran.Cement,20010624,11501.0,11450.0,11450.0,165850099,14434,49,D,11500.0,11450.0
57,Tehran.Cement,20010625,11428.0,11336.0,11336.0,95389113,8396,20,D,11450.0,11336.0
58,Tehran.Cement,20010626,11252.0,11223.0,11252.0,807875863,71975,137,D,11336.0,11252.0
59,Tehran.Cement,20010627,11364.0,11250.0,11364.0,691875990,61121,119,D,11252.0,11364.0
60,Tehran.Cement,20010630,11477.0,11375.0,11477.0,687392336,59900,153,D,11364.0,11477.0
61,Tehran.Cement,20010729,14550.0,10700.0,14530.0,1677577775,116128,172,D,11477.0,14530.0
62,Tehran.Cement,20010730,14893.0,14530.0,14893.0,2457666424,165322,152,D,14530.0,14893.0
63,Tehran.Cement,20010731,15265.0,14521.0,14521.0,1656291329,111908,226,D,14893.0,14521.0
64,Tehran.Cement,20010801,14590.0,14521.0,14550.0,1255271102,86311,286,D,14521.0,14550.0
65,Tehran.Cement,20010804,14600.0,14498.0,14551.0,906887107,62302,245,D,14550.0,14551.0
66,Tehran.Cement,20010805,14555.0,14189.0,14400.0,2501812188,172684,274,D,14551.0,14400.0
67,Tehran.Cement,20010806,14420.0,14189.0,14410.0,1390000268,96650,243,D,14400.0,14410.0
68,Tehran.Cement,20010807,14410.0,14203.0,14261.0,611406015,42537,121,D,14410.0,14261.0
69,Tehran.Cement,20010808,14410.0,14242.0,14410.0,1675936642,117091,206,D,14261.0,14410.0
70,Tehran.Cement,20010811,14411.0,14394.0,14400.0,1477638631,102578,163,D,14410.0,14400.0
71,Tehran.Cement,20010812,14410.0,14260.0,14350.0,858427305,59717,139,D,14400.0,14350.0
72,Tehran.Cement,20010813,14300.0,14040.0,14044.0,392254808,27874,87,D,14350.0,14044.0
73,Tehran.Cement,20010814,14080.0,14000.0,14048.0,741633131,52792,178,D,14044.0,14048.0
74,Tehran.Cement,20010815,14000.0,13701.0,14000.0,1703815958,122466,157,D,14048.0,14000.0
75,Tehran.Cement,20010818,13990.0,13650.0,13800.0,962375660,69592,96,D,14000.0,13800.0
76,Tehran.Cement,20010819,13701.0,13455.0,13455.0,765320827,56564,123,D,13800.0,13455.0
77,Tehran.Cement,20010820,13119.0,13119.0,13119.0,197047380,15020,31,D,13455.0,13119.0
78,Tehran.Cement,20010821,12796.0,12464.0,12650.0,1537407363,122351,209,D,13119.0,12650.0
79,Tehran.Cement,20010822,13200.0,12463.0,13200.0,1136476349,89318,213,D,12650.0,13200.0
80,Tehran.Cement,20010825,13500.0,13200.0,13500.0,648232257,48218,130,D,13200.0,13500.0
81,Tehran.Cement,20010826,13500.0,13216.0,13500.0,626432092,46429,89,D,13500.0,13500.0
82,Tehran.Cement,20010827,13500.0,13485.0,13485.0,147993587,10964,31,D,13500.0,13485.0
83,Tehran.Cement,20010828,13400.0,13254.0,13254.0,288562143,21718,63,D,13485.0,13254.0
84,Tehran.Cement,20010829,13254.0,12592.0,13254.0,408597840,31389,104,D,13254.0,13254.0
85,Tehran.Cement,20010901,13254.0,13150.0,13150.0,145223334,10973,36,D,13254.0,13150.0
86,Tehran.Cement,20010902,13140.0,13000.0,13000.0,17835520,1368,4,D,13150.0,13000.0
87,Tehran.Cement,20010903,12600.0,12350.0,12350.0,298490768,24113,86,D,13000.0,12350.0
88,Tehran.Cement,20010904,12350.0,12150.0,12300.0,511690741,41687,116,D,12350.0,12300.0
89,Tehran.Cement,20010905,12500.0,12248.0,12500.0,282512483,22913,76,D,12300.0,12500.0
90,Tehran.Cement,20010908,12550.0,12504.0,12550.0,110471121,8829,47,D,12500.0,12550.0
91,Tehran.Cement,20010909,12665.0,12559.0,12663.0,193620391,15332,62,D,12550.0,12663.0
92,Tehran.Cement,20010910,12736.0,12663.0,12736.0,223173703,17594,55,D,12663.0,12736.0
93,Tehran.Cement,20010911,12753.0,12740.0,12753.0,167383422,13130,47,D,12736.0,12753.0
94,Tehran.Cement,20010912,12450.0,12435.0,12441.0,396373469,31869,76,D,12753.0,12441.0
95,Tehran.Cement,20010915,12450.0,12425.0,12439.0,262576454,21106,53,D,12441.0,12439.0
96,Tehran.Cement,20010916,12439.0,12150.0,12150.0,210874107,17284,36,D,12439.0,12150.0
97,Tehran.Cement,20010917,12000.0,11848.0,11999.0,1115695337,93266,58,D,12150.0,11999.0
98,Tehran.Cement,20010918,12000.0,11861.0,12000.0,1210919905,100927,72,D,11999.0,12000.0
99,Tehran.Cement,20010919,12100.0,11999.0,12100.0,542207029,44957,73,D,12000.0,12100.0
100,Tehran.Cement,20010922,12300.0,12100.0,12300.0,352434185,28781,43,D,12100.0,12300.0
101,Tehran.Cement,20010923,12302.0,12203.0,12300.0,148439857,12110,37,D,12300.0,12300.0
102,Tehran.Cement,20010924,12311.0,12280.0,12311.0,284563619,23128,51,D,12300.0,12311.0
103,Tehran.Cement,20010925,12350.0,12280.0,12350.0,623228349,50631,103,D,12311.0,12350.0
104,Tehran.Cement,20010926,12658.0,12300.0,12658.0,365182784,29141,47,D,12350.0,12658.0
105,Tehran.Cement,20010929,12658.0,12550.0,12599.0,301060052,23853,54,D,12658.0,12599.0
106,Tehran.Cement,20010930,12551.0,12345.0,12500.0,412845784,33250,72,D,12599.0,12500.0
107,Tehran.Cement,20011002,12640.0,12499.0,12640.0,442750452,35305,68,D,12500.0,12640.0
108,Tehran.Cement,20011003,12700.0,12600.0,12654.0,3714674494,293601,67,D,12640.0,12654.0
109,Tehran.Cement,20011006,12670.0,12652.0,12670.0,1797535843,141887,34,D,12654.0,12670.0
110,Tehran.Cement,20011007,12672.0,12665.0,12670.0,171774700,13558,54,D,12670.0,12670.0
111,Tehran.Cement,20011008,12675.0,12517.0,12670.0,280729269,22207,61,D,12670.0,12670.0
112,Tehran.Cement,20011009,12670.0,12640.0,12670.0,627890054,49572,82,D,12670.0,12670.0
113,Tehran.Cement,20011010,12668.0,12597.0,12629.0,535518817,42498,49,D,12670.0,12629.0
114,Tehran.Cement,20011013,12620.0,12353.0,12599.0,612129415,48565,63,D,12629.0,12599.0
115,Tehran.Cement,20011014,12603.0,12588.0,12600.0,384675186,30532,68,D,12599.0,12600.0
116,Tehran.Cement,20011016,12650.0,12594.0,12605.0,251487982,19957,64,D,12600.0,12605.0
117,Tehran.Cement,20011017,12690.0,12607.0,12689.0,143012435,11287,37,D,12605.0,12689.0
118,Tehran.Cement,20011020,12860.0,12689.0,12860.0,227563474,17892,36,D,12689.0,12860.0
119,Tehran.Cement,20011021,13181.0,12902.0,13181.0,128836356,9841,28,D,12860.0,13181.0
120,Tehran.Cement,20011022,13510.0,13188.0,13510.0,118451619,8828,40,D,13181.0,13510.0
121,Tehran.Cement,20011023,13847.0,13515.0,13847.0,3297203844,238152,69,D,13510.0,13847.0
122,Tehran.Cement,20011024,14193.0,13904.0,14193.0,239645645,17008,39,D,13847.0,14193.0
123,Tehran.Cement,20011027,14101.0,14001.0,14001.0,951496369,67553,91,D,14193.0,14001.0
124,Tehran.Cement,20011028,14001.0,13850.0,13852.0,601637281,43306,95,D,14001.0,13852.0
125,Tehran.Cement,20011029,13853.0,13510.0,13853.0,458562881,33436,56,D,13852.0,13853.0
126,Tehran.Cement,20011030,14000.0,13853.0,14000.0,299891014,21517,64,D,13853.0,14000.0
127,Tehran.Cement,20011031,14000.0,13994.0,14000.0,436031065,31147,61,D,14000.0,14000.0
128,Tehran.Cement,20011103,14001.0,13999.0,14000.0,520590129,37185,48,D,14000.0,14000.0
129,Tehran.Cement,20011104,14200.0,14000.0,14200.0,405622509,28638,51,D,14000.0,14200.0
