,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Switch,20030531,7251.0,7200.0,7200.0,17350866825,2408030,260,D,7230.0,7200.0
1,Pars.Switch,20030607,7560.0,7560.0,7560.0,15120000,2000,1,D,7200.0,7560.0
2,Pars.Switch,20030608,7938.0,7499.0,7499.0,853651426,109604,37,D,7560.0,7499.0
3,Pars.Switch,20030609,7350.0,7350.0,7350.0,149388750,20325,13,D,7499.0,7350.0
4,Pars.Switch,20030610,7352.0,7300.0,7350.0,140440079,19137,19,D,7350.0,7350.0
5,Pars.Switch,20030611,7350.0,7200.0,7350.0,1069094250,146655,83,D,7350.0,7350.0
6,Pars.Switch,20030614,7300.0,7250.0,7250.0,429166900,58903,94,D,7350.0,7250.0
7,Pars.Switch,20030615,7270.0,7236.0,7270.0,1084125464,149627,39,D,7250.0,7270.0
8,Pars.Switch,20030616,7250.0,7200.0,7200.0,246050000,34000,43,D,7270.0,7200.0
9,Pars.Switch,20030617,7300.0,7200.0,7200.0,349327395,47980,67,D,7200.0,7200.0
10,Pars.Switch,20030618,7200.0,7197.0,7200.0,421197679,58500,147,D,7200.0,7200.0
11,Pars.Switch,20030621,7200.0,7195.0,7195.0,215950000,30000,6,D,7200.0,7195.0
12,Pars.Switch,20030622,7180.0,7146.0,7146.0,84039317,11759,6,D,7195.0,7146.0
13,Pars.Switch,20030623,7050.0,6900.0,6900.0,69750000,10000,2,D,7146.0,6900.0
14,Pars.Switch,20030624,6900.0,6900.0,6900.0,1787100,259,1,D,6900.0,6900.0
15,Pars.Switch,20030625,6890.0,6600.0,6890.0,12130400,1794,2,D,6900.0,6890.0
16,Pars.Switch,20030628,7200.0,6750.0,7200.0,285328647,40609,23,D,6890.0,7200.0
17,Pars.Switch,20030629,7245.0,7244.0,7245.0,43976150,6070,5,D,7200.0,7245.0
18,Pars.Switch,20030702,7240.0,7230.0,7240.0,90051725,12445,9,D,7245.0,7240.0
19,Pars.Switch,20030705,7200.0,7200.0,7200.0,57780000,8025,5,D,7240.0,7200.0
20,Pars.Switch,20030706,7350.0,7200.0,7350.0,568105900,77863,29,D,7200.0,7350.0
21,Pars.Switch,20030707,7450.0,7350.0,7350.0,82820000,11200,6,D,7350.0,7350.0
22,Pars.Switch,20030708,7350.0,7350.0,7350.0,56323050,7663,18,D,7350.0,7350.0
23,Pars.Switch,20030809,7200.0,7200.0,7200.0,7200000,1000,1,D,7350.0,7200.0
24,Pars.Switch,20030810,7200.0,7193.0,7200.0,114957360,15970,24,D,7200.0,7200.0
25,Pars.Switch,20030811,7200.0,7200.0,7200.0,154872000,21510,11,D,7200.0,7200.0
26,Pars.Switch,20030812,7200.0,7200.0,7200.0,194083200,26956,11,D,7200.0,7200.0
27,Pars.Switch,20030813,7200.0,7200.0,7200.0,19440000,2700,1,D,7200.0,7200.0
28,Pars.Switch,20030817,7200.0,7200.0,7200.0,31312800,4349,2,D,7200.0,7200.0
29,Pars.Switch,20030818,7200.0,7200.0,7200.0,133142400,18492,6,D,7200.0,7200.0
30,Pars.Switch,20030824,7200.0,7198.0,7200.0,719802,100,2,D,7200.0,7200.0
31,Pars.Switch,20030826,7200.0,7167.0,7200.0,7167033,1000,2,D,7200.0,7200.0
32,Pars.Switch,20030830,7200.0,7140.0,7180.0,839734288,116950,33,D,7200.0,7180.0
33,Pars.Switch,20030831,7205.0,7199.0,7200.0,690335570,95881,22,D,7180.0,7200.0
34,Pars.Switch,20030901,7253.0,7200.0,7200.0,83777634,11554,6,D,7200.0,7200.0
35,Pars.Switch,20030902,7250.0,7200.0,7200.0,384140750,52985,16,D,7200.0,7200.0
36,Pars.Switch,20030903,7250.0,7200.0,7200.0,154758000,21346,7,D,7200.0,7200.0
37,Pars.Switch,20030906,7250.0,7200.0,7200.0,7322000,1010,2,D,7200.0,7200.0
38,Pars.Switch,20030907,7250.0,7200.0,7200.0,83922000,11610,4,D,7200.0,7200.0
39,Pars.Switch,20030908,7250.0,7200.0,7200.0,133472000,18410,7,D,7200.0,7200.0
40,Pars.Switch,20030909,7400.0,7200.0,7243.0,526339970,72670,18,D,7200.0,7243.0
41,Pars.Switch,20030913,7401.0,7401.0,7401.0,914423154,123554,18,D,7243.0,7401.0
42,Pars.Switch,20030914,7350.0,7350.0,7350.0,588000000,80000,12,D,7401.0,7350.0
43,Pars.Switch,20030922,7349.0,7327.0,7349.0,1062635,145,2,D,7350.0,7349.0
44,Pars.Switch,20030923,7348.0,7318.0,7348.0,1054092,144,3,D,7349.0,7348.0
45,Pars.Switch,20031001,7320.0,7250.0,7320.0,36323200,5010,3,D,7348.0,7320.0
46,Pars.Switch,20031004,7200.0,7200.0,7200.0,129600000,18000,5,D,7320.0,7200.0
47,Pars.Switch,20031005,7200.0,7150.0,7157.0,154455420,21579,8,D,7200.0,7157.0
48,Pars.Switch,20031006,7200.0,7159.0,7159.0,7271590,1010,2,D,7157.0,7159.0
49,Pars.Switch,20031007,7200.0,7161.0,7161.0,9215610,1280,2,D,7159.0,7161.0
50,Pars.Switch,20031011,7250.0,7212.0,7212.0,78004985,10762,9,D,7161.0,7212.0
51,Pars.Switch,20031020,7212.0,7210.0,7211.0,84014110,11650,6,D,7212.0,7211.0
52,Pars.Switch,20031021,7250.0,7215.0,7215.0,14572150,2010,2,D,7211.0,7215.0
53,Pars.Switch,20031022,7400.0,7234.0,7234.0,15289040,2070,3,D,7215.0,7234.0
54,Pars.Switch,20031028,7250.0,7234.0,7234.0,2464840,340,2,D,7234.0,7234.0
55,Pars.Switch,20031104,7230.0,7196.0,7230.0,13262568,1843,2,D,7234.0,7230.0
56,Pars.Switch,20031105,7229.0,7179.0,7229.0,1113245,155,2,D,7230.0,7229.0
57,Pars.Switch,20031109,7199.0,7175.0,7199.0,71826436,10010,6,D,7229.0,7199.0
58,Pars.Switch,20031115,7149.0,7099.0,7149.0,63967490,9010,3,D,7199.0,7149.0
59,Pars.Switch,20031117,7146.0,7100.0,7146.0,9850945,1383,4,D,7149.0,7146.0
60,Pars.Switch,20031214,4800.0,4800.0,4800.0,4800000,1000,1,D,7146.0,4800.0
61,Pars.Switch,20031217,4799.0,4799.0,4799.0,3968773,827,1,D,4800.0,4799.0
62,Pars.Switch,20031223,4800.0,4799.0,4799.0,9949427,2073,4,D,4799.0,4799.0
63,Pars.Switch,20031224,4800.0,4799.0,4799.0,916790,191,2,D,4799.0,4799.0
64,Pars.Switch,20040110,4798.0,4796.0,4798.0,287780,60,3,D,4799.0,4798.0
65,Pars.Switch,20040111,4799.0,4796.0,4798.0,15071861,3141,8,D,4798.0,4798.0
66,Pars.Switch,20040112,4799.0,4798.0,4798.0,33012311,6879,2,D,4798.0,4798.0
67,Pars.Switch,20040121,4797.0,4797.0,4797.0,287820,60,1,D,4798.0,4797.0
68,Pars.Switch,20040208,4796.0,4780.0,4796.0,741060,155,2,D,4797.0,4796.0
69,Pars.Switch,20040223,4795.0,4588.0,4795.0,139710,30,3,D,4796.0,4795.0
70,Pars.Switch,20040306,4793.0,4556.0,4793.0,1027470,225,2,D,4795.0,4793.0
71,Pars.Switch,20040307,4792.0,4556.0,4792.0,321280,70,3,D,4793.0,4792.0
72,Pars.Switch,20040310,4743.0,4556.0,4743.0,25087206,5506,8,D,4792.0,4743.0
73,Pars.Switch,20040406,4742.0,4600.0,4742.0,93420,20,3,D,4743.0,4742.0
74,Pars.Switch,20040407,4737.0,4598.0,4737.0,5059770,1100,5,D,4742.0,4737.0
75,Pars.Switch,20040501,4596.0,4596.0,4596.0,4596000,1000,1,D,4737.0,4596.0
76,Pars.Switch,20040502,4590.0,4370.0,4577.0,418471770,91410,4,D,4596.0,4577.0
