,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sazeh.Pouyesh,20050201,9001.0,9001.0,9001.0,4237490780,470780,201,D,0.0,9001.0
1,Sazeh.Pouyesh,20050202,9102.0,9002.0,9044.0,1440168248,159230,46,D,9001.0,9044.0
2,Sazeh.Pouyesh,20050206,9201.0,9200.0,9201.0,184001000,20000,3,D,9044.0,9201.0
3,Sazeh.Pouyesh,20050207,9201.0,9200.0,9200.0,624293873,67858,59,D,9201.0,9200.0
4,Sazeh.Pouyesh,20050208,9550.0,9200.0,9431.0,973350010,103200,36,D,9200.0,9431.0
5,Sazeh.Pouyesh,20050209,9551.0,9550.0,9550.0,1046785100,109610,13,D,9431.0,9550.0
6,Sazeh.Pouyesh,20050212,9650.0,9400.0,9554.0,123959540,12970,12,D,9550.0,9554.0
7,Sazeh.Pouyesh,20050213,9650.0,9582.0,9582.0,74258520,7712,13,D,9554.0,9582.0
8,Sazeh.Pouyesh,20050214,9600.0,9584.0,9584.0,30239840,3150,9,D,9582.0,9584.0
9,Sazeh.Pouyesh,20050215,9610.0,9600.0,9601.0,328638810,34228,15,D,9584.0,9601.0
10,Sazeh.Pouyesh,20050216,9700.0,9601.0,9609.0,79962090,8310,7,D,9601.0,9609.0
11,Sazeh.Pouyesh,20050222,9609.0,9609.0,9609.0,40357800,4200,6,D,9609.0,9609.0
12,Sazeh.Pouyesh,20050226,9609.0,9609.0,9609.0,9609000,1000,1,D,9609.0,9609.0
13,Sazeh.Pouyesh,20050228,10089.0,9609.0,10082.0,204504077,20283,4,D,9609.0,10082.0
14,Sazeh.Pouyesh,20050312,12500.0,10082.0,10082.0,3128126020,250310,3,D,10082.0,10082.0
15,Sazeh.Pouyesh,20050405,10586.0,10583.0,10585.0,317682850,30010,7,D,10082.0,10585.0
16,Sazeh.Pouyesh,20050410,11000.0,10500.0,10976.0,230609760,21010,4,D,10585.0,10976.0
