,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Tire,20010416,3951.0,3862.0,3900.0,110388038,28332,51,D,3950.0,3900.0
1,Iran.Tire,20010417,4001.0,3940.0,4000.0,342929019,86201,68,D,3900.0,4000.0
2,Iran.Tire,20010418,4150.0,4002.0,4121.0,402945887,98107,49,D,4000.0,4121.0
3,Iran.Tire,20010421,4120.0,3948.0,3948.0,290543785,72189,55,D,4121.0,3948.0
4,Iran.Tire,20010422,3947.0,3800.0,3938.0,215608461,55166,36,D,3948.0,3938.0
5,Iran.Tire,20010423,3905.0,3800.0,3905.0,83625309,21623,31,D,3938.0,3905.0
6,Iran.Tire,20010424,3980.0,3910.0,3980.0,278248507,70354,39,D,3905.0,3980.0
7,Iran.Tire,20010425,4000.0,3971.0,4000.0,389186668,97362,56,D,3980.0,4000.0
8,Iran.Tire,20010428,4000.0,3980.0,4000.0,162329707,40650,26,D,4000.0,4000.0
9,Iran.Tire,20010429,3999.0,3880.0,3880.0,105068280,26682,35,D,4000.0,3880.0
10,Iran.Tire,20010430,3881.0,3860.0,3860.0,95156171,24535,33,D,3880.0,3860.0
11,Iran.Tire,20010501,3860.0,3799.0,3831.0,116563875,30492,49,D,3860.0,3831.0
12,Iran.Tire,20010502,3871.0,3831.0,3871.0,71534481,18527,31,D,3831.0,3871.0
13,Iran.Tire,20010505,3873.0,3859.0,3860.0,91707548,23744,31,D,3871.0,3860.0
14,Iran.Tire,20010506,3866.0,3860.0,3865.0,57892327,14993,15,D,3860.0,3865.0
15,Iran.Tire,20010507,3900.0,3849.0,3900.0,85705573,22155,51,D,3865.0,3900.0
16,Iran.Tire,20010508,3900.0,3800.0,3850.0,45630023,11820,15,D,3900.0,3850.0
17,Iran.Tire,20010509,3950.0,3802.0,3950.0,79226663,20468,30,D,3850.0,3950.0
18,Iran.Tire,20010512,4000.0,3940.0,4000.0,122770760,31070,7,D,3950.0,4000.0
19,Iran.Tire,20010513,4200.0,4004.0,4200.0,73092804,17661,25,D,4000.0,4200.0
20,Iran.Tire,20010515,4410.0,4200.0,4410.0,157874905,36219,30,D,4200.0,4410.0
21,Iran.Tire,20010516,4630.0,4630.0,4630.0,130103000,28100,18,D,4410.0,4630.0
22,Iran.Tire,20010519,4861.0,4588.0,4588.0,514993325,108188,59,D,4630.0,4588.0
23,Iran.Tire,20010520,4410.0,4359.0,4400.0,134845156,30650,38,D,4588.0,4400.0
24,Iran.Tire,20010521,4500.0,4400.0,4410.0,117350064,26454,51,D,4400.0,4410.0
25,Iran.Tire,20010523,4612.0,4480.0,4608.0,124436398,27106,24,D,4410.0,4608.0
26,Iran.Tire,20010526,4607.0,4599.0,4599.0,95471083,20749,19,D,4608.0,4599.0
27,Iran.Tire,20010527,4599.0,4551.0,4557.0,117169711,25559,29,D,4599.0,4557.0
28,Iran.Tire,20010528,4560.0,4330.0,4330.0,78344269,17638,16,D,4557.0,4330.0
29,Iran.Tire,20010529,4382.0,4341.0,4375.0,287327218,65934,42,D,4330.0,4375.0
30,Iran.Tire,20010530,4380.0,4355.0,4355.0,113299642,25930,37,D,4375.0,4355.0
31,Iran.Tire,20010603,4323.0,4170.0,4170.0,66281274,15870,18,D,4355.0,4170.0
32,Iran.Tire,20010606,4182.0,4140.0,4182.0,34028313,8183,22,D,4170.0,4182.0
33,Iran.Tire,20010609,4220.0,4170.0,4172.0,139072556,33129,34,D,4182.0,4172.0
34,Iran.Tire,20010611,4300.0,4220.0,4300.0,40970816,9591,9,D,4172.0,4300.0
35,Iran.Tire,20010612,4400.0,4300.0,4307.0,49175246,11271,11,D,4300.0,4307.0
36,Iran.Tire,20010613,4350.0,4309.0,4350.0,44213859,10207,12,D,4307.0,4350.0
37,Iran.Tire,20010616,4400.0,4388.0,4388.0,116386612,26471,22,D,4350.0,4388.0
38,Iran.Tire,20010617,4350.0,4300.0,4300.0,33772929,7811,18,D,4388.0,4300.0
39,Iran.Tire,20010618,4300.0,4270.0,4290.0,37312549,8701,11,D,4300.0,4290.0
40,Iran.Tire,20010619,4290.0,4274.0,4274.0,55961810,13062,9,D,4290.0,4274.0
41,Iran.Tire,20010620,4280.0,4248.0,4280.0,117442401,27603,32,D,4274.0,4280.0
42,Iran.Tire,20010623,4280.0,4250.0,4250.0,22066520,5167,10,D,4280.0,4250.0
43,Iran.Tire,20010708,3877.0,3700.0,3700.0,79679659,21335,36,D,4250.0,3700.0
44,Iran.Tire,20010709,3749.0,3720.0,3749.0,51920583,13951,21,D,3700.0,3749.0
45,Iran.Tire,20010710,3749.0,3700.0,3705.0,84248292,22722,23,D,3749.0,3705.0
46,Iran.Tire,20010711,3703.0,3700.0,3700.0,41296869,11158,18,D,3705.0,3700.0
47,Iran.Tire,20010714,3699.0,3689.0,3689.0,2954070,800,5,D,3700.0,3689.0
48,Iran.Tire,20010715,3687.0,3650.0,3650.0,80126723,21903,30,D,3689.0,3650.0
49,Iran.Tire,20010716,3650.0,3550.0,3550.0,163690062,45563,36,D,3650.0,3550.0
50,Iran.Tire,20010717,3551.0,3500.0,3548.0,89923651,25487,40,D,3550.0,3548.0
51,Iran.Tire,20010718,3649.0,3554.0,3603.0,65217335,18113,23,D,3548.0,3603.0
52,Iran.Tire,20010721,3640.0,3613.0,3613.0,40047784,11039,14,D,3603.0,3613.0
53,Iran.Tire,20010722,3621.0,3613.0,3615.0,32847077,9077,19,D,3613.0,3615.0
54,Iran.Tire,20010723,3613.0,3600.0,3613.0,13483480,3740,9,D,3615.0,3613.0
55,Iran.Tire,20010724,3610.0,3595.0,3600.0,90337406,25080,27,D,3613.0,3600.0
56,Iran.Tire,20010725,3601.0,3600.0,3600.0,17374600,4826,13,D,3600.0,3600.0
57,Iran.Tire,20010728,3580.0,3550.0,3550.0,23753720,6659,19,D,3600.0,3550.0
58,Iran.Tire,20010729,3549.0,3547.0,3548.0,5021660,1415,8,D,3550.0,3548.0
59,Iran.Tire,20010730,3548.0,3500.0,3500.0,48779200,13880,21,D,3548.0,3500.0
60,Iran.Tire,20010731,3440.0,3400.0,3400.0,18236120,5319,8,D,3500.0,3400.0
61,Iran.Tire,20010801,3479.0,3400.0,3479.0,42410187,12445,22,D,3400.0,3479.0
62,Iran.Tire,20010804,3463.0,3402.0,3430.0,24038915,7018,10,D,3479.0,3430.0
63,Iran.Tire,20010805,3430.0,3420.0,3420.0,18581180,5426,9,D,3430.0,3420.0
64,Iran.Tire,20010806,3420.0,3400.0,3400.0,23368840,6872,3,D,3420.0,3400.0
65,Iran.Tire,20010807,3383.0,3300.0,3300.0,8253405,2498,5,D,3400.0,3300.0
66,Iran.Tire,20010808,3279.0,3273.0,3273.0,3002172,916,2,D,3300.0,3273.0
67,Iran.Tire,20010811,3254.0,3247.0,3247.0,4239470,1305,4,D,3273.0,3247.0
68,Iran.Tire,20010812,3217.0,3150.0,3217.0,75620634,23703,16,D,3247.0,3217.0
69,Iran.Tire,20010813,3217.0,3100.0,3157.0,56355454,17950,37,D,3217.0,3157.0
70,Iran.Tire,20010814,3221.0,3159.0,3220.0,34728960,10931,21,D,3157.0,3220.0
71,Iran.Tire,20010815,3240.0,3220.0,3223.0,25857918,8003,16,D,3220.0,3223.0
72,Iran.Tire,20010818,3223.0,3180.0,3190.0,24688707,7734,10,D,3223.0,3190.0
73,Iran.Tire,20010819,3223.0,3190.0,3223.0,8136237,2526,7,D,3190.0,3223.0
74,Iran.Tire,20010820,3223.0,3200.0,3210.0,72672193,22646,18,D,3223.0,3210.0
75,Iran.Tire,20010821,3211.0,3210.0,3211.0,7164952,2232,2,D,3210.0,3211.0
76,Iran.Tire,20010822,3220.0,3100.0,3190.0,155671557,49702,25,D,3211.0,3190.0
77,Iran.Tire,20010825,3180.0,3100.0,3100.0,13555848,4340,8,D,3190.0,3100.0
78,Iran.Tire,20010826,3100.0,3020.0,3100.0,39073690,12752,16,D,3100.0,3100.0
79,Iran.Tire,20010827,3100.0,3020.0,3025.0,18911388,6212,8,D,3100.0,3025.0
80,Iran.Tire,20010828,3025.0,3020.0,3020.0,26618800,8812,14,D,3025.0,3020.0
81,Iran.Tire,20010829,3000.0,3000.0,3000.0,23910000,7970,9,D,3020.0,3000.0
82,Iran.Tire,20010901,3000.0,2999.0,2999.0,24059885,8020,15,D,3000.0,2999.0
83,Iran.Tire,20010902,2998.0,2940.0,2948.0,12996824,4400,7,D,2999.0,2948.0
84,Iran.Tire,20010903,2948.0,2900.0,2900.0,6268596,2145,7,D,2948.0,2900.0
85,Iran.Tire,20010904,2900.0,2894.0,2894.0,17581700,6064,15,D,2900.0,2894.0
86,Iran.Tire,20010905,2894.0,2800.0,2800.0,45456830,16119,25,D,2894.0,2800.0
87,Iran.Tire,20010908,2800.0,2771.0,2800.0,69300967,24764,25,D,2800.0,2800.0
88,Iran.Tire,20010909,2800.0,2798.0,2800.0,40819441,14582,11,D,2800.0,2800.0
89,Iran.Tire,20010910,2940.0,2804.0,2940.0,27684758,9605,11,D,2800.0,2940.0
90,Iran.Tire,20010911,3087.0,3000.0,3086.0,63857466,20883,31,D,2940.0,3086.0
91,Iran.Tire,20010912,3087.0,3005.0,3050.0,17841592,5869,9,D,3086.0,3050.0
