,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sand.Foundry,20010326,1860.0,1850.0,1860.0,19837940,10672,4,D,1858.0,1860.0
1,Sand.Foundry,20010327,1870.0,1860.0,1870.0,31326480,16818,7,D,1860.0,1870.0
2,Sand.Foundry,20010331,1870.0,1870.0,1870.0,14178340,7582,4,D,1870.0,1870.0
3,Sand.Foundry,20010410,1870.0,1870.0,1870.0,1896180,1014,3,D,1870.0,1870.0
4,Sand.Foundry,20010415,1905.0,1870.0,1905.0,36913690,19549,11,D,1870.0,1905.0
5,Sand.Foundry,20010416,1905.0,1905.0,1905.0,60579000,31800,14,D,1905.0,1905.0
6,Sand.Foundry,20010418,1906.0,1906.0,1906.0,1906000,1000,1,D,1905.0,1906.0
7,Sand.Foundry,20010421,1910.0,1906.0,1906.0,13346000,7000,5,D,1906.0,1906.0
8,Sand.Foundry,20010423,1906.0,1906.0,1906.0,2043232,1072,1,D,1906.0,1906.0
9,Sand.Foundry,20010428,1911.0,1906.0,1906.0,12468576,6534,4,D,1906.0,1906.0
10,Sand.Foundry,20010430,1906.0,1906.0,1906.0,3812000,2000,1,D,1906.0,1906.0
11,Sand.Foundry,20010505,1906.0,1906.0,1906.0,190600,100,1,D,1906.0,1906.0
12,Sand.Foundry,20010506,1900.0,1900.0,1900.0,9500000,5000,1,D,1906.0,1900.0
13,Sand.Foundry,20010508,1890.0,1890.0,1890.0,5103000,2700,3,D,1900.0,1890.0
14,Sand.Foundry,20010513,1900.0,1890.0,1900.0,121621454,64096,22,D,1890.0,1900.0
15,Sand.Foundry,20010515,1900.0,1900.0,1900.0,7079400,3726,2,D,1900.0,1900.0
16,Sand.Foundry,20010519,1900.0,1900.0,1900.0,27394200,14418,7,D,1900.0,1900.0
17,Sand.Foundry,20010521,1900.0,1900.0,1900.0,114000,60,1,D,1900.0,1900.0
18,Sand.Foundry,20010527,1920.0,1920.0,1920.0,49920000,26000,5,D,1900.0,1920.0
19,Sand.Foundry,20010613,1905.0,1905.0,1905.0,9525000,5000,3,D,1920.0,1905.0
20,Sand.Foundry,20010619,1905.0,1905.0,1905.0,6017895,3159,2,D,1905.0,1905.0
21,Sand.Foundry,20010708,1844.0,1844.0,1844.0,5532000,3000,1,D,1905.0,1844.0
22,Sand.Foundry,20010723,1844.0,1797.0,1844.0,31274710,17304,10,D,1844.0,1844.0
23,Sand.Foundry,20010724,1850.0,1850.0,1850.0,2775000,1500,1,D,1844.0,1850.0
24,Sand.Foundry,20010725,1850.0,1850.0,1850.0,13727000,7420,5,D,1850.0,1850.0
25,Sand.Foundry,20010729,1850.0,1831.0,1850.0,11310277,6173,5,D,1850.0,1850.0
26,Sand.Foundry,20010730,1860.0,1860.0,1860.0,2853240,1534,3,D,1850.0,1860.0
27,Sand.Foundry,20010731,1870.0,1870.0,1870.0,1189320,636,1,D,1860.0,1870.0
28,Sand.Foundry,20010805,1877.0,1876.0,1876.0,12262784,6534,2,D,1870.0,1876.0
29,Sand.Foundry,20010812,1950.0,1910.0,1950.0,33692380,17506,9,D,1876.0,1950.0
30,Sand.Foundry,20010814,1957.0,1950.0,1956.0,20595184,10548,6,D,1950.0,1956.0
31,Sand.Foundry,20010820,1958.0,1957.0,1958.0,16972538,8669,5,D,1956.0,1958.0
