,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Azarbayjan.Inv.,20040426,1763.0,1650.0,1715.0,842492065,491000,427,D,0.0,1715.0
1,Azarbayjan.Inv.,20040428,1800.0,1800.0,1800.0,183780000,102100,54,D,1715.0,1800.0
2,Azarbayjan.Inv.,20040501,1890.0,1890.0,1890.0,221317110,117099,60,D,1800.0,1890.0
3,Azarbayjan.Inv.,20040502,1984.0,1984.0,1984.0,698887808,352262,157,D,1890.0,1984.0
4,Azarbayjan.Inv.,20040503,2083.0,2083.0,2083.0,525253446,252162,144,D,1984.0,2083.0
5,Azarbayjan.Inv.,20040504,2187.0,2187.0,2187.0,501829020,229460,105,D,2083.0,2187.0
6,Azarbayjan.Inv.,20040505,2296.0,2296.0,2296.0,1095136896,476976,372,D,2187.0,2296.0
7,Azarbayjan.Inv.,20040508,2410.0,2410.0,2410.0,402315760,166936,132,D,2296.0,2410.0
8,Azarbayjan.Inv.,20040509,2530.0,2530.0,2530.0,287003200,113440,57,D,2410.0,2530.0
9,Azarbayjan.Inv.,20040510,2656.0,2646.0,2646.0,107671574,40539,57,D,2530.0,2646.0
10,Azarbayjan.Inv.,20040511,2778.0,2774.0,2774.0,118026104,42486,77,D,2646.0,2774.0
11,Azarbayjan.Inv.,20040512,2912.0,2760.0,2904.0,2330569555,802328,406,D,2774.0,2904.0
12,Azarbayjan.Inv.,20040515,2904.0,2759.0,2790.0,1169558588,419186,210,D,2904.0,2790.0
13,Azarbayjan.Inv.,20040516,2800.0,2651.0,2657.0,602744117,226780,168,D,2790.0,2657.0
14,Azarbayjan.Inv.,20040517,2645.0,2525.0,2571.0,425829511,165577,126,D,2657.0,2571.0
15,Azarbayjan.Inv.,20040518,2699.0,2571.0,2644.0,171893295,65009,80,D,2571.0,2644.0
16,Azarbayjan.Inv.,20040519,2775.0,2512.0,2674.0,474826105,177553,114,D,2644.0,2674.0
17,Azarbayjan.Inv.,20040522,2674.0,2541.0,2558.0,105305634,41278,35,D,2674.0,2558.0
18,Azarbayjan.Inv.,20040523,2534.0,2431.0,2439.0,439479765,180122,85,D,2558.0,2439.0
19,Azarbayjan.Inv.,20040524,2435.0,2318.0,2435.0,7666350,3210,7,D,2439.0,2435.0
20,Azarbayjan.Inv.,20040525,2400.0,2314.0,2317.0,359527128,155147,111,D,2435.0,2317.0
21,Azarbayjan.Inv.,20040526,2432.0,2314.0,2394.0,1779659968,750080,175,D,2317.0,2394.0
22,Azarbayjan.Inv.,20040529,2513.0,2400.0,2504.0,527739475,210738,93,D,2394.0,2504.0
23,Azarbayjan.Inv.,20040530,2629.0,2629.0,2629.0,368648896,140224,63,D,2504.0,2629.0
24,Azarbayjan.Inv.,20040531,2760.0,2760.0,2760.0,566600400,205290,83,D,2629.0,2760.0
25,Azarbayjan.Inv.,20040601,2798.0,2622.0,2686.0,1048551541,390303,188,D,2760.0,2686.0
26,Azarbayjan.Inv.,20040602,2796.0,2590.0,2648.0,459914785,173620,90,D,2686.0,2648.0
27,Azarbayjan.Inv.,20040605,2780.0,2641.0,2738.0,469691954,171499,78,D,2648.0,2738.0
28,Azarbayjan.Inv.,20040606,2874.0,2763.0,2855.0,556829105,195008,122,D,2738.0,2855.0
29,Azarbayjan.Inv.,20040607,2997.0,2970.0,2982.0,547930042,183729,106,D,2855.0,2982.0
30,Azarbayjan.Inv.,20040608,3131.0,2980.0,3095.0,910782041,294270,137,D,2982.0,3095.0
