,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Negin.Tabas.L.,20040317,6010.0,5500.0,5940.0,864891130,145600,199,D,0.0,5940.0
1,Negin.Tabas.L.,20040329,6237.0,6085.0,6085.0,27442648,4400,4,D,5940.0,6085.0
2,Negin.Tabas.L.,20040330,6389.0,6128.0,6128.0,8305439,1300,4,D,6085.0,6128.0
3,Negin.Tabas.L.,20040403,6434.0,6434.0,6434.0,96510000,15000,15,D,6128.0,6434.0
4,Negin.Tabas.L.,20040404,6755.0,6755.0,6755.0,101325000,15000,6,D,6434.0,6755.0
5,Negin.Tabas.L.,20040405,7092.0,7092.0,7092.0,106380000,15000,4,D,6755.0,7092.0
6,Negin.Tabas.L.,20040406,7446.0,7446.0,7446.0,111690000,15000,18,D,7092.0,7446.0
7,Negin.Tabas.L.,20040407,7818.0,7818.0,7818.0,117270000,15000,15,D,7446.0,7818.0
8,Negin.Tabas.L.,20040410,8208.0,8208.0,8208.0,167443200,20400,32,D,7818.0,8208.0
9,Negin.Tabas.L.,20040412,8618.0,8618.0,8618.0,143489700,16650,21,D,8208.0,8618.0
10,Negin.Tabas.L.,20040413,9048.0,8188.0,8420.0,737719867,87615,117,D,8618.0,8420.0
11,Negin.Tabas.L.,20040414,8841.0,8641.0,8756.0,170464597,19467,24,D,8420.0,8756.0
12,Negin.Tabas.L.,20040417,9191.0,8870.0,9038.0,155859192,17244,24,D,8756.0,9038.0
13,Negin.Tabas.L.,20040418,9250.0,9148.0,9179.0,223209880,24317,36,D,9038.0,9179.0
14,Negin.Tabas.L.,20040421,9300.0,9210.0,9274.0,116490240,12560,16,D,9179.0,9274.0
15,Negin.Tabas.L.,20040424,9737.0,9709.0,9728.0,115653354,11882,10,D,9274.0,9728.0
16,Negin.Tabas.L.,20040425,10211.0,9728.0,10101.0,313739284,31059,39,D,9728.0,10101.0
17,Negin.Tabas.L.,20040426,10000.0,9700.0,9942.0,150524541,15140,28,D,10101.0,9942.0
18,Negin.Tabas.L.,20040427,9897.0,9498.0,9858.0,30189235,3137,9,D,9942.0,9858.0
19,Negin.Tabas.L.,20040428,9595.0,9366.0,9595.0,67775994,7194,15,D,9858.0,9595.0
20,Negin.Tabas.L.,20040501,9353.0,9116.0,9353.0,55209483,6056,14,D,9595.0,9353.0
21,Negin.Tabas.L.,20040502,9300.0,8940.0,9066.0,122825098,13547,14,D,9353.0,9066.0
22,Negin.Tabas.L.,20040503,9066.0,9000.0,9063.0,97300126,10735,12,D,9066.0,9063.0
23,Negin.Tabas.L.,20040504,9480.0,9063.0,9233.0,159753443,17301,14,D,9063.0,9233.0
24,Negin.Tabas.L.,20040505,9694.0,9467.0,9467.0,59228070,6110,5,D,9233.0,9467.0
25,Negin.Tabas.L.,20040508,9940.0,9937.0,9939.0,275848172,27752,35,D,9467.0,9939.0
26,Negin.Tabas.L.,20040509,9940.0,9933.0,9935.0,172392803,17351,11,D,9939.0,9935.0
27,Negin.Tabas.L.,20040510,9929.0,9925.0,9929.0,68042250,6855,5,D,9935.0,9929.0
28,Negin.Tabas.L.,20040512,9923.0,9459.0,9923.0,1518080,160,2,D,9929.0,9923.0
29,Negin.Tabas.L.,20040515,9901.0,9427.0,9901.0,5057612,536,5,D,9923.0,9901.0
30,Negin.Tabas.L.,20040516,9686.0,9407.0,9686.0,49129780,5222,6,D,9901.0,9686.0
31,Negin.Tabas.L.,20040518,9494.0,9202.0,9494.0,43712420,4750,9,D,9686.0,9494.0
32,Negin.Tabas.L.,20040523,9200.0,9100.0,9166.0,275600680,30066,26,D,9494.0,9166.0
33,Negin.Tabas.L.,20040601,9400.0,5000.0,8371.0,18501110,2210,5,D,9166.0,8371.0
34,Negin.Tabas.L.,20040605,8789.0,8684.0,8684.0,79187840,9010,12,D,8371.0,8684.0
35,Negin.Tabas.L.,20040606,8685.0,8684.0,8684.0,9944315,1145,2,D,8684.0,8684.0
36,Negin.Tabas.L.,20040608,8682.0,8656.0,8682.0,5038616,582,3,D,8684.0,8682.0
37,Negin.Tabas.L.,20040609,8254.0,8250.0,8252.0,157787426,19121,16,D,8682.0,8252.0
38,Negin.Tabas.L.,20040612,8254.0,8188.0,8194.0,98486412,12018,9,D,8252.0,8194.0
39,Negin.Tabas.L.,20040613,8194.0,8193.0,8193.0,27875038,3402,11,D,8194.0,8193.0
40,Negin.Tabas.L.,20040614,8196.0,8189.0,8189.0,229064354,27969,8,D,8193.0,8189.0
41,Negin.Tabas.L.,20040615,8189.0,8138.0,8180.0,150297195,18373,12,D,8189.0,8180.0
42,Negin.Tabas.L.,20040616,8150.0,8000.0,8125.0,244469356,30086,13,D,8180.0,8125.0
43,Negin.Tabas.L.,20040619,8125.0,8120.0,8124.0,236777605,29142,14,D,8125.0,8124.0
44,Negin.Tabas.L.,20040620,8125.0,8110.0,8123.0,343061110,42232,15,D,8124.0,8123.0
45,Negin.Tabas.L.,20040621,8529.0,8149.0,8400.0,209251800,24910,11,D,8123.0,8400.0
46,Negin.Tabas.L.,20040622,8820.0,8600.0,8815.0,112419350,12752,15,D,8400.0,8815.0
47,Negin.Tabas.L.,20040623,9255.0,9255.0,9255.0,131421000,14200,8,D,8815.0,9255.0
48,Negin.Tabas.L.,20040626,9717.0,9410.0,9673.0,187414110,19373,13,D,9255.0,9673.0
49,Negin.Tabas.L.,20040627,10156.0,10000.0,10054.0,286390540,28483,25,D,9673.0,10054.0
50,Negin.Tabas.L.,20040628,10556.0,10182.0,10182.0,32445404,3074,9,D,10054.0,10182.0
51,Negin.Tabas.L.,20040629,10182.0,9998.0,10149.0,69203168,6835,10,D,10182.0,10149.0
52,Negin.Tabas.L.,20040630,9995.0,9644.0,9649.0,160329470,16616,8,D,10149.0,9649.0
53,Negin.Tabas.L.,20040703,9168.0,9167.0,9167.0,239279800,26100,5,D,9649.0,9167.0
54,Negin.Tabas.L.,20040704,8776.0,8717.0,8776.0,90876598,10424,6,D,9167.0,8776.0
55,Negin.Tabas.L.,20040705,9172.0,8904.0,8904.0,36254965,3955,6,D,8776.0,8904.0
56,Negin.Tabas.L.,20040706,9349.0,9265.0,9326.0,107122510,11460,10,D,8904.0,9326.0
57,Negin.Tabas.L.,20040707,9792.0,9625.0,9770.0,372889995,38165,20,D,9326.0,9770.0
58,Negin.Tabas.L.,20040710,9783.0,9772.0,9773.0,64358570,6582,11,D,9770.0,9773.0
59,Negin.Tabas.L.,20040711,10256.0,9500.0,9647.0,185419680,19219,18,D,9773.0,9647.0
60,Negin.Tabas.L.,20040712,10120.0,9901.0,9948.0,164911598,16576,9,D,9647.0,9948.0
61,Negin.Tabas.L.,20040713,10000.0,9950.0,9962.0,240775333,24169,16,D,9948.0,9962.0
62,Negin.Tabas.L.,20040714,10100.0,9962.0,9993.0,180179924,18030,8,D,9962.0,9993.0
63,Negin.Tabas.L.,20040717,9993.0,9990.0,9992.0,139878697,13999,7,D,9993.0,9992.0
64,Negin.Tabas.L.,20040718,9992.0,9991.0,9991.0,24878580,2490,3,D,9992.0,9991.0
65,Negin.Tabas.L.,20040719,9991.0,9500.0,9631.0,111344977,11576,11,D,9991.0,9631.0
66,Negin.Tabas.L.,20040720,9631.0,9628.0,9629.0,93605069,9721,5,D,9631.0,9629.0
67,Negin.Tabas.L.,20040724,9624.0,9210.0,9549.0,95442064,10010,11,D,9629.0,9549.0
68,Negin.Tabas.L.,20040725,10000.0,9549.0,9908.0,2044382187,212553,14,D,9549.0,9908.0
69,Negin.Tabas.L.,20040726,10403.0,10068.0,10068.0,40568350,3900,3,D,9908.0,10068.0
70,Negin.Tabas.L.,20040727,10571.0,10069.0,10385.0,280500850,27010,27,D,10068.0,10385.0
71,Negin.Tabas.L.,20040728,10904.0,10416.0,10416.0,8096792,743,4,D,10385.0,10416.0
72,Negin.Tabas.L.,20040801,12500.0,12500.0,12500.0,25000000,2000,1,D,10416.0,12500.0
73,Negin.Tabas.L.,20040802,12500.0,11900.0,12412.0,61509343,5005,6,D,12500.0,12412.0
74,Negin.Tabas.L.,20040803,12110.0,11792.0,12110.0,69168447,5864,11,D,12412.0,12110.0
75,Negin.Tabas.L.,20040804,11595.0,11505.0,11595.0,117466950,10210,7,D,12110.0,11595.0
76,Negin.Tabas.L.,20040807,11016.0,11016.0,11016.0,450554400,40900,25,D,11595.0,11016.0
77,Negin.Tabas.L.,20040809,11000.0,10600.0,10980.0,20620800,1911,4,D,11016.0,10980.0
78,Negin.Tabas.L.,20040810,11014.0,10992.0,10992.0,59593672,5414,4,D,10980.0,10992.0
79,Negin.Tabas.L.,20040811,10999.0,10854.0,10932.0,67254612,6183,4,D,10992.0,10932.0
80,Negin.Tabas.L.,20040815,10923.0,10386.0,10923.0,2082570,200,2,D,10932.0,10923.0
81,Negin.Tabas.L.,20040816,10856.0,10377.0,10856.0,15248603,1469,4,D,10923.0,10856.0
82,Negin.Tabas.L.,20040817,10660.0,10386.0,10660.0,52036600,5010,5,D,10856.0,10660.0
83,Negin.Tabas.L.,20040818,10527.0,10127.0,10527.0,30425508,3004,4,D,10660.0,10527.0
84,Negin.Tabas.L.,20040821,10426.0,10127.0,10426.0,30677673,3029,2,D,10527.0,10426.0
85,Negin.Tabas.L.,20040822,10398.0,9905.0,10398.0,6314415,637,3,D,10426.0,10398.0
86,Negin.Tabas.L.,20040823,10197.0,10109.0,10197.0,84591346,8367,7,D,10398.0,10197.0
87,Negin.Tabas.L.,20040824,10000.0,9876.0,10000.0,72957253,7385,11,D,10197.0,10000.0
88,Negin.Tabas.L.,20040829,9999.0,9850.0,9970.0,49753704,5010,6,D,10000.0,9970.0
89,Negin.Tabas.L.,20040831,9969.0,9472.0,9888.0,73270784,7447,6,D,9970.0,9888.0
90,Negin.Tabas.L.,20040901,9980.0,9969.0,9971.0,122625270,12298,5,D,9888.0,9971.0
91,Negin.Tabas.L.,20040904,10200.0,9990.0,10007.0,30471070,3012,5,D,9971.0,10007.0
92,Negin.Tabas.L.,20040905,10500.0,10398.0,10407.0,230705287,22168,13,D,10007.0,10407.0
93,Negin.Tabas.L.,20040906,10927.0,10850.0,10869.0,120381111,11033,7,D,10407.0,10869.0
94,Negin.Tabas.L.,20040907,11412.0,11000.0,11388.0,797298000,70010,12,D,10869.0,11388.0
95,Negin.Tabas.L.,20040908,11956.0,11400.0,11506.0,290198435,25221,15,D,11388.0,11506.0
96,Negin.Tabas.L.,20040911,11500.0,11400.0,11470.0,166885598,14549,13,D,11506.0,11470.0
97,Negin.Tabas.L.,20040912,11600.0,11499.0,11539.0,289029240,25046,10,D,11470.0,11539.0
98,Negin.Tabas.L.,20040914,11600.0,11475.0,11537.0,150163615,13015,9,D,11539.0,11537.0
99,Negin.Tabas.L.,20040915,11900.0,11552.0,11552.0,6065520,510,2,D,11537.0,11552.0
100,Negin.Tabas.L.,20040919,11510.0,11497.0,11499.0,207110380,18010,9,D,11552.0,11499.0
101,Negin.Tabas.L.,20040920,11499.0,11499.0,11499.0,23262477,2023,1,D,11499.0,11499.0
102,Negin.Tabas.L.,20040921,11495.0,11492.0,11495.0,73766993,6418,5,D,11499.0,11495.0
103,Negin.Tabas.L.,20040922,11493.0,11250.0,11493.0,789930,70,2,D,11495.0,11493.0
104,Negin.Tabas.L.,20040925,11491.0,11486.0,11491.0,37548924,3269,5,D,11493.0,11491.0
105,Negin.Tabas.L.,20040926,11489.0,11486.0,11489.0,40432404,3520,4,D,11491.0,11489.0
106,Negin.Tabas.L.,20040927,11487.0,11398.0,11463.0,40018126,3510,5,D,11489.0,11463.0
107,Negin.Tabas.L.,20040928,11463.0,11463.0,11463.0,34389000,3000,3,D,11463.0,11463.0
108,Negin.Tabas.L.,20040929,11469.0,11460.0,11462.0,45963620,4010,3,D,11463.0,11462.0
109,Negin.Tabas.L.,20041002,11487.0,11468.0,11468.0,34575680,3010,2,D,11462.0,11468.0
110,Negin.Tabas.L.,20041003,11487.0,11472.0,11472.0,31749918,2764,2,D,11468.0,11472.0
111,Negin.Tabas.L.,20041005,11472.0,11450.0,11470.0,12596080,1100,3,D,11472.0,11470.0
112,Negin.Tabas.L.,20041006,11470.0,11470.0,11470.0,34410000,3000,3,D,11470.0,11470.0
113,Negin.Tabas.L.,20041009,11462.0,11449.0,11462.0,46105253,4027,2,D,11470.0,11462.0
114,Negin.Tabas.L.,20041010,11440.0,11398.0,11440.0,45708205,4010,4,D,11462.0,11440.0
115,Negin.Tabas.L.,20041011,11393.0,11300.0,11393.0,45313930,4010,5,D,11440.0,11393.0
116,Negin.Tabas.L.,20041012,11336.0,11200.0,11336.0,45003360,4010,3,D,11393.0,11336.0
117,Negin.Tabas.L.,20041016,11302.0,11200.0,11302.0,33713020,3010,4,D,11336.0,11302.0
118,Negin.Tabas.L.,20041018,11291.0,11250.0,11291.0,27112910,2410,2,D,11302.0,11291.0
119,Negin.Tabas.L.,20041020,11277.0,11199.0,11277.0,19241874,1718,3,D,11291.0,11277.0
120,Negin.Tabas.L.,20041030,11275.0,11198.0,11275.0,2688290,240,2,D,11277.0,11275.0
121,Negin.Tabas.L.,20041107,10851.0,10800.0,10829.0,130060290,12010,7,D,11275.0,10829.0
122,Negin.Tabas.L.,20041109,10828.0,10826.0,10828.0,21761280,2010,3,D,10829.0,10828.0
123,Negin.Tabas.L.,20041110,10827.0,10820.0,10827.0,24243650,2240,5,D,10828.0,10827.0
124,Negin.Tabas.L.,20041115,10826.0,10822.0,10826.0,23483780,2170,3,D,10827.0,10826.0
125,Negin.Tabas.L.,20041116,10820.0,10790.0,10820.0,21688200,2010,3,D,10826.0,10820.0
126,Negin.Tabas.L.,20041123,10695.0,10599.0,10695.0,71760590,6770,3,D,10820.0,10695.0
127,Negin.Tabas.L.,20041124,10500.0,10500.0,10500.0,160020000,15240,2,D,10695.0,10500.0
128,Negin.Tabas.L.,20041127,10599.0,10541.0,10541.0,53100410,5010,2,D,10500.0,10541.0
129,Negin.Tabas.L.,20041128,10600.0,10500.0,10553.0,576884286,54662,17,D,10541.0,10553.0
130,Negin.Tabas.L.,20041129,11080.0,10555.0,11002.0,138328230,12572,6,D,10553.0,11002.0
131,Negin.Tabas.L.,20041130,11003.0,11002.0,11002.0,47299598,4299,2,D,11002.0,11002.0
132,Negin.Tabas.L.,20041201,11399.0,11023.0,11023.0,10469395,929,4,D,11002.0,11023.0
133,Negin.Tabas.L.,20041204,11023.0,11023.0,11023.0,248017500,22500,5,D,11023.0,11023.0
134,Negin.Tabas.L.,20041205,11400.0,11148.0,11148.0,45688680,4008,4,D,11023.0,11148.0
135,Negin.Tabas.L.,20041207,11300.0,11150.0,11161.0,20439705,1819,5,D,11148.0,11161.0
136,Negin.Tabas.L.,20041211,11400.0,11294.0,11294.0,85912528,7554,6,D,11161.0,11294.0
137,Negin.Tabas.L.,20041212,11500.0,11300.0,11373.0,288455994,25363,10,D,11294.0,11373.0
138,Negin.Tabas.L.,20041214,11850.0,11389.0,11389.0,5067190,428,2,D,11373.0,11389.0
139,Negin.Tabas.L.,20041215,11510.0,11505.0,11506.0,156395970,13592,4,D,11389.0,11506.0
140,Negin.Tabas.L.,20041220,11561.0,11548.0,11548.0,107482487,9297,4,D,11506.0,11548.0
141,Negin.Tabas.L.,20041221,11650.0,11581.0,11581.0,46715810,4010,2,D,11548.0,11581.0
142,Negin.Tabas.L.,20041222,11574.0,11562.0,11574.0,47519940,4110,2,D,11581.0,11574.0
143,Negin.Tabas.L.,20041225,11575.0,11562.0,11571.0,57459012,4967,4,D,11574.0,11571.0
144,Negin.Tabas.L.,20041226,11700.0,11690.0,11693.0,156829430,13412,5,D,11571.0,11693.0
145,Negin.Tabas.L.,20041228,11701.0,11694.0,11694.0,35217240,3010,4,D,11693.0,11694.0
146,Negin.Tabas.L.,20041229,11960.0,11700.0,11846.0,93253186,7818,5,D,11694.0,11846.0
147,Negin.Tabas.L.,20050101,12200.0,11990.0,12075.0,162681570,13472,11,D,11846.0,12075.0
148,Negin.Tabas.L.,20050102,12678.0,12100.0,12448.0,403550280,32418,22,D,12075.0,12448.0
149,Negin.Tabas.L.,20050103,13070.0,12670.0,13045.0,265036012,20317,16,D,12448.0,13045.0
150,Negin.Tabas.L.,20050104,13697.0,13255.0,13255.0,57445984,4210,5,D,13045.0,13255.0
151,Negin.Tabas.L.,20050108,13589.0,13306.0,13306.0,39216152,2912,6,D,13255.0,13306.0
152,Negin.Tabas.L.,20050109,13306.0,13200.0,13249.0,314486750,23736,14,D,13306.0,13249.0
153,Negin.Tabas.L.,20050110,13043.0,12988.0,13043.0,127232063,9789,12,D,13249.0,13043.0
154,Negin.Tabas.L.,20050111,13042.0,13000.0,13016.0,493957760,37949,18,D,13043.0,13016.0
155,Negin.Tabas.L.,20050112,13016.0,13016.0,13016.0,3839720,295,2,D,13016.0,13016.0
156,Negin.Tabas.L.,20050115,13016.0,13016.0,13016.0,6508000,500,1,D,13016.0,13016.0
157,Negin.Tabas.L.,20050116,13016.0,13016.0,13016.0,780960,60,1,D,13016.0,13016.0
158,Negin.Tabas.L.,20050117,12913.0,12400.0,12913.0,24929130,2010,2,D,13016.0,12913.0
159,Negin.Tabas.L.,20050118,12821.0,12355.0,12821.0,24854156,2010,5,D,12913.0,12821.0
160,Negin.Tabas.L.,20050119,12748.0,12180.0,12748.0,16974640,1392,3,D,12821.0,12748.0
161,Negin.Tabas.L.,20050122,12695.0,12111.0,12695.0,12141062,1002,2,D,12748.0,12695.0
162,Negin.Tabas.L.,20050125,12620.0,12397.0,12620.0,37317200,3010,3,D,12695.0,12620.0
163,Negin.Tabas.L.,20050316,11989.0,11778.0,11925.0,347598040,29147,15,D,12620.0,11925.0
164,Negin.Tabas.L.,20050328,11925.0,11925.0,11925.0,11925000,1000,2,D,11925.0,11925.0
165,Negin.Tabas.L.,20050403,11850.0,11330.0,11850.0,17114500,1510,3,D,11925.0,11850.0
166,Negin.Tabas.L.,20050404,11258.0,11258.0,11258.0,154594856,13732,9,D,11850.0,11258.0
167,Negin.Tabas.L.,20050406,11258.0,11258.0,11258.0,1801280,160,1,D,11258.0,11258.0
168,Negin.Tabas.L.,20050410,11259.0,11258.0,11258.0,8556170,760,3,D,11258.0,11258.0
169,Negin.Tabas.L.,20050411,11258.0,11258.0,11258.0,3827720,340,2,D,11258.0,11258.0
170,Negin.Tabas.L.,20050413,11258.0,11258.0,11258.0,2105246,187,1,D,11258.0,11258.0
171,Negin.Tabas.L.,20050417,11258.0,11258.0,11258.0,13757276,1222,3,D,11258.0,11258.0
172,Negin.Tabas.L.,20050418,11266.0,11264.0,11265.0,219785650,19510,10,D,11258.0,11265.0
173,Negin.Tabas.L.,20050424,11266.0,11265.0,11265.0,22644650,2010,4,D,11265.0,11265.0
174,Negin.Tabas.L.,20050430,11263.0,11260.0,11263.0,33892630,3010,2,D,11265.0,11263.0
175,Negin.Tabas.L.,20050503,11826.0,11306.0,11306.0,10992980,930,3,D,11263.0,11306.0
176,Negin.Tabas.L.,20050504,11871.0,11827.0,11844.0,187135422,15799,11,D,11306.0,11844.0
177,Negin.Tabas.L.,20050507,11890.0,11849.0,11849.0,16764490,1410,2,D,11844.0,11849.0
178,Negin.Tabas.L.,20050508,12441.0,12000.0,12199.0,610335665,50031,26,D,11849.0,12199.0
179,Negin.Tabas.L.,20050509,12808.0,12800.0,12807.0,205043070,16010,10,D,12199.0,12807.0
180,Negin.Tabas.L.,20050510,13447.0,13116.0,13116.0,80689660,6010,4,D,12807.0,13116.0
181,Negin.Tabas.L.,20050511,13771.0,13771.0,13771.0,220336000,16000,5,D,13116.0,13771.0
182,Negin.Tabas.L.,20050514,14447.0,13800.0,13860.0,479015525,34560,14,D,13771.0,13860.0
183,Negin.Tabas.L.,20050515,14002.0,13990.0,14000.0,818866020,58490,19,D,13860.0,14000.0
184,Negin.Tabas.L.,20050516,14000.0,14000.0,14000.0,120554000,8611,2,D,14000.0,14000.0
185,Negin.Tabas.L.,20050517,14200.0,14000.0,14005.0,235370050,16805,7,D,14000.0,14005.0
186,Negin.Tabas.L.,20050523,14005.0,14005.0,14005.0,50123895,3579,5,D,14005.0,14005.0
187,Negin.Tabas.L.,20050524,13956.0,13400.0,13956.0,13150960,981,2,D,14005.0,13956.0
188,Negin.Tabas.L.,20050525,14500.0,14250.0,14465.0,166764650,11510,5,D,13956.0,14465.0
189,Negin.Tabas.L.,20050528,14500.0,14465.0,14465.0,1116150,77,2,D,14465.0,14465.0
190,Negin.Tabas.L.,20050601,14465.0,14465.0,14465.0,144650000,10000,1,D,14465.0,14465.0
191,Negin.Tabas.L.,20050606,14500.0,14464.0,14466.0,10210852,705,4,D,14465.0,14466.0
192,Negin.Tabas.L.,20050608,14466.0,14466.0,14466.0,14046486,971,1,D,14466.0,14466.0
193,Negin.Tabas.L.,20050614,13863.0,13743.0,13863.0,137568630,10010,2,D,14466.0,13863.0
194,Negin.Tabas.L.,20050615,14000.0,13996.0,13997.0,315088670,22510,8,D,13863.0,13997.0
195,Negin.Tabas.L.,20050627,13500.0,13500.0,13500.0,13500000,1000,1,D,13997.0,13500.0
196,Negin.Tabas.L.,20050703,13387.0,12825.0,13387.0,25783870,2010,3,D,13500.0,13387.0
197,Negin.Tabas.L.,20050705,13339.0,12821.0,13339.0,12954943,1010,5,D,13387.0,13339.0
198,Negin.Tabas.L.,20050711,13241.0,12823.0,13241.0,29073921,2267,2,D,13339.0,13241.0
199,Negin.Tabas.L.,20050713,13151.0,12579.0,13151.0,20484332,1628,3,D,13241.0,13151.0
200,Negin.Tabas.L.,20050724,13109.0,12800.0,13109.0,18153490,1418,5,D,13151.0,13109.0
201,Negin.Tabas.L.,20050727,13093.0,12799.0,13093.0,7707938,602,3,D,13109.0,13093.0
202,Negin.Tabas.L.,20050827,12856.0,12700.0,12856.0,123088152,9618,8,D,13093.0,12856.0
203,Negin.Tabas.L.,20050828,12850.0,12813.0,12850.0,19348000,1510,3,D,12856.0,12850.0
204,Negin.Tabas.L.,20050829,12850.0,12850.0,12850.0,6425000,500,1,D,12850.0,12850.0
205,Negin.Tabas.L.,20050830,12850.0,12850.0,12850.0,12850000,1000,1,D,12850.0,12850.0
206,Negin.Tabas.L.,20050831,12850.0,12850.0,12850.0,51400,4,1,D,12850.0,12850.0
207,Negin.Tabas.L.,20050903,12870.0,12851.0,12851.0,12998510,1010,2,D,12850.0,12851.0
208,Negin.Tabas.L.,20050904,12851.0,12851.0,12851.0,10280800,800,1,D,12851.0,12851.0
209,Negin.Tabas.L.,20050905,12875.0,12852.0,12852.0,13003520,1010,2,D,12851.0,12852.0
210,Negin.Tabas.L.,20050906,12870.0,12853.0,12853.0,12998530,1010,2,D,12852.0,12853.0
211,Negin.Tabas.L.,20051008,12826.0,12211.0,12826.0,6233760,510,2,D,12853.0,12826.0
212,Negin.Tabas.L.,20051114,12823.0,12185.0,12823.0,615630,50,2,D,12826.0,12823.0
213,Negin.Tabas.L.,20051127,12567.0,12567.0,12567.0,189133350,15050,6,D,12823.0,12567.0
214,Negin.Tabas.L.,20051205,12567.0,11939.0,12567.0,722620,60,2,D,12567.0,12567.0
215,Negin.Tabas.L.,20051211,12305.0,11939.0,12305.0,59818050,5010,4,D,12567.0,12305.0
216,Negin.Tabas.L.,20051213,12299.0,11690.0,12299.0,1291990,110,2,D,12305.0,12299.0
217,Negin.Tabas.L.,20051217,12293.0,11685.0,12293.0,1291430,110,2,D,12299.0,12293.0
218,Negin.Tabas.L.,20051221,12282.0,11679.0,12282.0,2575410,220,3,D,12293.0,12282.0
