,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Takceram,20010512,4720.0,4685.0,4700.0,4137039500,880000,539,D,0.0,4700.0
1,Takceram,20010513,4935.0,4725.0,4725.0,799680012,165280,135,D,4700.0,4725.0
2,Takceram,20010515,4832.0,4754.0,4765.0,361377317,75400,69,D,4725.0,4765.0
3,Takceram,20010516,4860.0,4782.0,4850.0,139437070,28913,42,D,4765.0,4850.0
4,Takceram,20010519,5000.0,4850.0,5000.0,120253660,24260,25,D,4850.0,5000.0
5,Takceram,20010520,5010.0,5000.0,5007.0,212449954,42466,38,D,5000.0,5007.0
6,Takceram,20010521,5003.0,4959.0,4960.0,56401097,11289,14,D,5007.0,4960.0
7,Takceram,20010523,4949.0,4840.0,4889.0,114770372,23581,29,D,4960.0,4889.0
8,Takceram,20010526,4858.0,4750.0,4750.0,43754587,9166,15,D,4889.0,4750.0
9,Takceram,20010527,4750.0,4710.0,4750.0,289257950,61021,41,D,4750.0,4750.0
10,Takceram,20010528,4850.0,4751.0,4850.0,71774440,15037,15,D,4750.0,4850.0
11,Takceram,20010529,4862.0,4850.0,4862.0,20998926,4326,8,D,4850.0,4862.0
12,Takceram,20010530,4950.0,4862.0,4950.0,76651396,15553,19,D,4862.0,4950.0
13,Takceram,20010602,4943.0,4943.0,4943.0,3460100,700,2,D,4950.0,4943.0
14,Takceram,20010603,4901.0,4846.0,4847.0,25078253,5170,9,D,4943.0,4847.0
15,Takceram,20010606,4801.0,4798.0,4799.0,29692254,6186,8,D,4847.0,4799.0
16,Takceram,20010609,4799.0,4750.0,4750.0,12252110,2569,6,D,4799.0,4750.0
17,Takceram,20010611,4750.0,4745.0,4750.0,21274032,4482,7,D,4750.0,4750.0
18,Takceram,20010612,4750.0,4749.0,4750.0,7694850,1620,6,D,4750.0,4750.0
19,Takceram,20010613,4751.0,4750.0,4750.0,43700200,9200,18,D,4750.0,4750.0
20,Takceram,20010616,4751.0,4750.0,4750.0,14620600,3078,4,D,4750.0,4750.0
21,Takceram,20010617,4750.0,4600.0,4750.0,397081270,84808,53,D,4750.0,4750.0
22,Takceram,20010709,4002.0,4002.0,4002.0,4002000,1000,1,D,4750.0,4002.0
23,Takceram,20010710,4081.0,4002.0,4080.0,34465200,8516,9,D,4002.0,4080.0
24,Takceram,20010714,4150.0,4089.0,4095.0,16731000,4070,11,D,4080.0,4095.0
25,Takceram,20010715,4108.0,4108.0,4108.0,1027000,250,1,D,4095.0,4108.0
26,Takceram,20010716,4280.0,4200.0,4280.0,10111600,2370,6,D,4108.0,4280.0
27,Takceram,20010717,4350.0,4295.0,4349.0,38383325,8868,16,D,4280.0,4349.0
28,Takceram,20010718,4451.0,4350.0,4413.0,53572813,12195,28,D,4349.0,4413.0
29,Takceram,20010721,4505.0,4427.0,4501.0,33432262,7456,19,D,4413.0,4501.0
30,Takceram,20010722,4550.0,4501.0,4502.0,20328746,4494,14,D,4501.0,4502.0
31,Takceram,20010723,4502.0,4500.0,4502.0,33759000,7500,32,D,4502.0,4502.0
32,Takceram,20010724,4570.0,4502.0,4570.0,78901840,17420,19,D,4502.0,4570.0
33,Takceram,20010725,4600.0,4550.0,4600.0,16368000,3580,3,D,4570.0,4600.0
34,Takceram,20010729,4715.0,4650.0,4715.0,21594400,4616,4,D,4600.0,4715.0
35,Takceram,20010730,4832.0,4832.0,4832.0,15752320,3260,6,D,4715.0,4832.0
36,Takceram,20010731,4950.0,4832.0,4832.0,83425147,17055,21,D,4832.0,4832.0
37,Takceram,20010801,4834.0,4832.0,4832.0,42033794,8698,15,D,4832.0,4832.0
38,Takceram,20010805,4735.0,4712.0,4712.0,9447000,2000,4,D,4832.0,4712.0
39,Takceram,20010806,4601.0,4600.0,4600.0,16914810,3677,9,D,4712.0,4600.0
40,Takceram,20010807,4600.0,4600.0,4600.0,4600000,1000,3,D,4600.0,4600.0
41,Takceram,20010808,4500.0,4500.0,4500.0,7483500,1663,8,D,4600.0,4500.0
42,Takceram,20010811,4500.0,4500.0,4500.0,7668000,1704,6,D,4500.0,4500.0
43,Takceram,20010812,4450.0,4400.0,4400.0,48579300,11037,15,D,4500.0,4400.0
44,Takceram,20010813,4510.0,4425.0,4510.0,39820126,8882,12,D,4400.0,4510.0
45,Takceram,20010814,4622.0,4622.0,4622.0,5084200,1100,11,D,4510.0,4622.0
46,Takceram,20010815,4737.0,4737.0,4737.0,17432160,3680,17,D,4622.0,4737.0
47,Takceram,20010818,4840.0,4789.0,4789.0,115683040,23982,36,D,4737.0,4789.0
48,Takceram,20010819,4800.0,4789.0,4790.0,48360130,10082,13,D,4789.0,4790.0
49,Takceram,20010820,4785.0,4750.0,4750.0,26025000,5446,7,D,4790.0,4750.0
50,Takceram,20010821,4671.0,4650.0,4650.0,16633575,3565,10,D,4750.0,4650.0
