,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Daroupakhash.I.,20030127,72870.0,72351.0,72351.0,37729121600,518713,638,D,72500.0,72351.0
1,Daroupakhash.I.,20030128,72358.0,72351.0,72351.0,2020699599,27929,291,D,72351.0,72351.0
2,Daroupakhash.I.,20030202,71631.0,71628.0,71628.0,2548174992,35575,67,D,72351.0,71628.0
3,Daroupakhash.I.,20030205,71900.0,71745.0,71745.0,256670782,3575,16,D,71628.0,71745.0
4,Daroupakhash.I.,20030209,71028.0,71028.0,71028.0,78272856,1102,5,D,71745.0,71028.0
5,Daroupakhash.I.,20030210,70318.0,70318.0,70318.0,70318000,1000,1,D,71028.0,70318.0
6,Daroupakhash.I.,20030215,69615.0,69615.0,69615.0,34807500,500,1,D,70318.0,69615.0
7,Daroupakhash.I.,20030216,68919.0,68919.0,68919.0,137838000,2000,3,D,69615.0,68919.0
8,Daroupakhash.I.,20030217,68250.0,68230.0,68240.0,2479565729,36341,79,D,68919.0,68240.0
9,Daroupakhash.I.,20030218,68310.0,68262.0,68310.0,47877801,701,9,D,68240.0,68310.0
10,Daroupakhash.I.,20030219,68311.0,68310.0,68310.0,121113908,1773,13,D,68310.0,68310.0
11,Daroupakhash.I.,20030222,68310.0,68309.0,68310.0,220026110,3221,5,D,68310.0,68310.0
12,Daroupakhash.I.,20030223,68287.0,68287.0,68287.0,9560180,140,3,D,68310.0,68287.0
13,Daroupakhash.I.,20030224,67605.0,67605.0,67605.0,33802500,500,3,D,68287.0,67605.0
14,Daroupakhash.I.,20030226,68281.0,66929.0,68281.0,1642269166,24413,53,D,67605.0,68281.0
15,Daroupakhash.I.,20030301,68963.0,68281.0,68963.0,101105977,1467,9,D,68281.0,68963.0
16,Daroupakhash.I.,20030302,69652.0,69652.0,69652.0,69652000,1000,4,D,68963.0,69652.0
17,Daroupakhash.I.,20030303,70348.0,70348.0,70348.0,70348000,1000,2,D,69652.0,70348.0
18,Daroupakhash.I.,20030305,71051.0,71051.0,71051.0,143238816,2016,2,D,70348.0,71051.0
19,Daroupakhash.I.,20030308,71761.0,71761.0,71761.0,143522000,2000,5,D,71051.0,71761.0
20,Daroupakhash.I.,20030309,72478.0,72476.0,72478.0,2821202270,38925,46,D,71761.0,72478.0
21,Daroupakhash.I.,20030310,73202.0,72500.0,73202.0,1970740648,26924,37,D,72478.0,73202.0
22,Daroupakhash.I.,20030311,73934.0,73933.0,73934.0,3609602241,48822,63,D,73202.0,73934.0
23,Daroupakhash.I.,20030318,76869.0,73934.0,76848.0,1171291589,15294,14,D,73934.0,76848.0
24,Daroupakhash.I.,20030406,76080.0,76080.0,76080.0,234174240,3078,5,D,76848.0,76080.0
25,Daroupakhash.I.,20030408,75320.0,75320.0,75320.0,150640000,2000,3,D,76080.0,75320.0
26,Daroupakhash.I.,20030414,74567.0,74567.0,74567.0,77176845,1035,3,D,75320.0,74567.0
27,Daroupakhash.I.,20030416,73822.0,73822.0,73822.0,73822000,1000,4,D,74567.0,73822.0
28,Daroupakhash.I.,20030419,73084.0,73084.0,73084.0,116934400,1600,7,D,73822.0,73084.0
29,Daroupakhash.I.,20030420,73813.0,72354.0,73115.0,1548791703,21363,52,D,73084.0,73115.0
30,Daroupakhash.I.,20030426,73846.0,73846.0,73846.0,260454842,3527,22,D,73115.0,73846.0
31,Daroupakhash.I.,20030427,73847.0,73846.0,73847.0,99693040,1350,4,D,73846.0,73847.0
32,Daroupakhash.I.,20030428,73847.0,73846.0,73847.0,355939540,4820,7,D,73847.0,73847.0
33,Daroupakhash.I.,20030429,73109.0,73109.0,73109.0,451594293,6177,23,D,73847.0,73109.0
34,Daroupakhash.I.,20030430,73120.0,73109.0,73109.0,79188047,1083,5,D,73109.0,73109.0
35,Daroupakhash.I.,20030503,73840.0,73770.0,73840.0,359053392,4863,13,D,73109.0,73840.0
36,Daroupakhash.I.,20030504,73900.0,73899.0,73900.0,650094503,8797,9,D,73840.0,73900.0
37,Daroupakhash.I.,20030505,73900.0,73900.0,73900.0,74934600,1014,4,D,73900.0,73900.0
38,Daroupakhash.I.,20030506,73900.0,73900.0,73900.0,1555225500,21045,40,D,73900.0,73900.0
39,Daroupakhash.I.,20030507,73900.0,73900.0,73900.0,117870500,1595,7,D,73900.0,73900.0
40,Daroupakhash.I.,20030510,73900.0,73900.0,73900.0,77299400,1046,4,D,73900.0,73900.0
41,Daroupakhash.I.,20030511,73900.0,73900.0,73900.0,90970900,1231,6,D,73900.0,73900.0
42,Daroupakhash.I.,20030512,73902.0,73900.0,73900.0,684911972,9268,11,D,73900.0,73900.0
43,Daroupakhash.I.,20030513,73900.0,73900.0,73900.0,104199000,1410,4,D,73900.0,73900.0
44,Daroupakhash.I.,20030517,73900.0,73900.0,73900.0,354793900,4801,10,D,73900.0,73900.0
45,Daroupakhash.I.,20030518,73900.0,73900.0,73900.0,167014000,2260,4,D,73900.0,73900.0
46,Daroupakhash.I.,20030520,73900.0,73900.0,73900.0,206772200,2798,5,D,73900.0,73900.0
47,Daroupakhash.I.,20030524,73900.0,73900.0,73900.0,84393800,1142,7,D,73900.0,73900.0
48,Daroupakhash.I.,20030525,73901.0,73901.0,73901.0,36950500,500,1,D,73900.0,73901.0
49,Daroupakhash.I.,20030720,71000.0,70949.0,71000.0,1695270517,23878,28,D,73901.0,71000.0
50,Daroupakhash.I.,20030721,70974.0,70974.0,70974.0,35487000,500,1,D,71000.0,70974.0
51,Daroupakhash.I.,20030728,70900.0,67426.0,70900.0,463785504,6698,20,D,70974.0,70900.0
52,Daroupakhash.I.,20030830,70900.0,70465.0,70900.0,7046935,100,2,D,70900.0,70900.0
53,Daroupakhash.I.,20031007,67355.0,67355.0,67355.0,877972425,13035,5,D,70900.0,67355.0
54,Daroupakhash.I.,20031028,50000.0,50000.0,50000.0,50000000,1000,1,D,67355.0,50000.0
55,Daroupakhash.I.,20031103,49998.0,49989.0,49998.0,50488980,1010,2,D,50000.0,49998.0
56,Daroupakhash.I.,20031104,49442.0,47499.0,49442.0,95492420,2010,2,D,49998.0,49442.0
57,Daroupakhash.I.,20031109,47868.0,46970.0,47868.0,269616780,5740,14,D,49442.0,47868.0
58,Daroupakhash.I.,20031110,47497.0,45475.0,47043.0,271880730,5835,8,D,47868.0,47043.0
59,Daroupakhash.I.,20031112,47043.0,47043.0,47043.0,16935480,360,1,D,47043.0,47043.0
60,Daroupakhash.I.,20031117,46949.0,46000.0,46949.0,37729490,820,4,D,47043.0,46949.0
61,Daroupakhash.I.,20031118,46949.0,46949.0,46949.0,107982700,2300,1,D,46949.0,46949.0
62,Daroupakhash.I.,20031119,46949.0,46949.0,46949.0,2347450,50,1,D,46949.0,46949.0
