,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Tractor,20020701,1000.0,1000.0,1000.0,700000,700,1,D,0.0,1000.0
1,Iran.Tractor,20020803,1100.0,1100.0,1100.0,770000,700,1,D,1000.0,1100.0
2,Iran.Tractor,20020807,1155.0,1155.0,1155.0,11550000,10000,3,D,1100.0,1155.0
3,Iran.Tractor,20020810,1212.0,1212.0,1212.0,24240000,20000,5,D,1155.0,1212.0
4,Iran.Tractor,20020811,1272.0,1272.0,1272.0,12720000,10000,1,D,1212.0,1272.0
5,Iran.Tractor,20020813,1335.0,1335.0,1335.0,80100000,60000,31,D,1272.0,1335.0
6,Iran.Tractor,20020814,1401.0,1401.0,1401.0,280200000,200000,78,D,1335.0,1401.0
7,Iran.Tractor,20020817,1471.0,1471.0,1471.0,147100000,100000,40,D,1401.0,1471.0
8,Iran.Tractor,20020819,1507.0,1507.0,1507.0,301400000,200000,82,D,1471.0,1507.0
9,Iran.Tractor,20020820,1544.0,1544.0,1544.0,386000000,250000,94,D,1507.0,1544.0
10,Iran.Tractor,20020821,1582.0,1582.0,1582.0,449288000,284000,61,D,1544.0,1582.0
11,Iran.Tractor,20020826,1661.0,1661.0,1661.0,36375900,21900,14,D,1582.0,1661.0
12,Iran.Tractor,20020827,1744.0,1744.0,1744.0,976465600,559900,95,D,1661.0,1744.0
13,Iran.Tractor,20020828,1831.0,1827.0,1831.0,1179343710,644230,182,D,1744.0,1831.0
14,Iran.Tractor,20020831,1832.0,1794.0,1798.0,193540813,107238,42,D,1831.0,1798.0
15,Iran.Tractor,20020901,1800.0,1795.0,1798.0,405446055,225510,50,D,1798.0,1798.0
16,Iran.Tractor,20020902,1798.0,1760.0,1760.0,100621415,56097,19,D,1798.0,1760.0
17,Iran.Tractor,20020903,1750.0,1672.0,1672.0,74890750,44689,12,D,1760.0,1672.0
18,Iran.Tractor,20020904,1669.0,1600.0,1600.0,128783000,80000,20,D,1672.0,1600.0
19,Iran.Tractor,20020908,1530.0,1520.0,1520.0,9558400,6280,3,D,1600.0,1520.0
20,Iran.Tractor,20020910,1510.0,1508.0,1510.0,77932462,51618,8,D,1520.0,1510.0
21,Iran.Tractor,20020917,1510.0,1490.0,1510.0,38725560,25695,10,D,1510.0,1510.0
22,Iran.Tractor,20020918,1580.0,1510.0,1580.0,51054210,32731,13,D,1510.0,1580.0
23,Iran.Tractor,20020922,1659.0,1595.0,1659.0,24469500,15000,8,D,1580.0,1659.0
24,Iran.Tractor,20020923,1741.0,1700.0,1741.0,759470200,440900,59,D,1659.0,1741.0
25,Iran.Tractor,20020924,1741.0,1680.0,1731.0,309489802,179260,53,D,1741.0,1731.0
26,Iran.Tractor,20020929,1729.0,1700.0,1729.0,53291500,31000,6,D,1731.0,1729.0
27,Iran.Tractor,20021001,1671.0,1670.0,1670.0,9325610,5583,3,D,1729.0,1670.0
28,Iran.Tractor,20021002,1600.0,1597.0,1597.0,26255740,16420,11,D,1670.0,1597.0
29,Iran.Tractor,20021006,1597.0,1597.0,1597.0,26350500,16500,5,D,1597.0,1597.0
30,Iran.Tractor,20021007,1597.0,1596.0,1597.0,11975000,7500,4,D,1597.0,1597.0
31,Iran.Tractor,20021008,1596.0,1596.0,1596.0,79800,50,1,D,1597.0,1596.0
32,Iran.Tractor,20021009,1594.0,1594.0,1594.0,1984530,1245,2,D,1596.0,1594.0
33,Iran.Tractor,20021012,1595.0,1595.0,1595.0,2976270,1866,2,D,1594.0,1595.0
34,Iran.Tractor,20021014,1590.0,1590.0,1590.0,1192500,750,1,D,1595.0,1590.0
35,Iran.Tractor,20021019,1580.0,1580.0,1580.0,496120,314,1,D,1590.0,1580.0
36,Iran.Tractor,20021021,1540.0,1540.0,1540.0,2288440,1486,2,D,1580.0,1540.0
37,Iran.Tractor,20021027,1550.0,1541.0,1541.0,10606826,6877,9,D,1540.0,1541.0
38,Iran.Tractor,20021028,1541.0,1541.0,1541.0,7705000,5000,5,D,1541.0,1541.0
39,Iran.Tractor,20021029,1540.0,1540.0,1540.0,1540000,1000,1,D,1541.0,1540.0
40,Iran.Tractor,20021030,1610.0,1540.0,1610.0,23259420,14873,11,D,1540.0,1610.0
41,Iran.Tractor,20021102,1640.0,1617.0,1627.0,70025017,43005,21,D,1610.0,1627.0
42,Iran.Tractor,20021103,1708.0,1674.0,1708.0,69527000,40750,12,D,1627.0,1708.0
43,Iran.Tractor,20021104,1700.0,1700.0,1700.0,4165000,2450,2,D,1708.0,1700.0
44,Iran.Tractor,20021105,1701.0,1660.0,1660.0,17805950,10500,7,D,1700.0,1660.0
45,Iran.Tractor,20021106,1605.0,1302.0,1604.0,12621398362,9689532,2900,D,1660.0,1604.0
46,Iran.Tractor,20021109,1625.0,1610.0,1625.0,40325000,25000,5,D,1604.0,1625.0
47,Iran.Tractor,20021110,1706.0,1696.0,1706.0,334812918,196398,38,D,1625.0,1706.0
48,Iran.Tractor,20021111,1791.0,1791.0,1791.0,322168662,179882,43,D,1706.0,1791.0
49,Iran.Tractor,20021112,1833.0,1791.0,1800.0,20547471,11359,12,D,1791.0,1800.0
50,Iran.Tractor,20021113,1800.0,1710.0,1710.0,30851700,17414,7,D,1800.0,1710.0
51,Iran.Tractor,20021116,1795.0,1790.0,1795.0,140751980,78444,20,D,1710.0,1795.0
52,Iran.Tractor,20021117,1884.0,1884.0,1884.0,479478000,254500,44,D,1795.0,1884.0
53,Iran.Tractor,20021118,1978.0,1970.0,1970.0,378979700,191650,49,D,1884.0,1970.0
54,Iran.Tractor,20021119,1970.0,1950.0,1970.0,109867949,56223,26,D,1970.0,1970.0
55,Iran.Tractor,20021120,2040.0,1990.0,1990.0,102888520,50915,24,D,1970.0,1990.0
56,Iran.Tractor,20021123,2089.0,2048.0,2089.0,61560305,29945,13,D,1990.0,2089.0
57,Iran.Tractor,20021124,2100.0,2002.0,2002.0,58790200,28112,16,D,2089.0,2002.0
58,Iran.Tractor,20021125,2100.0,2000.0,2000.0,73921644,36049,21,D,2002.0,2000.0
59,Iran.Tractor,20021126,2100.0,2022.0,2100.0,68676520,32997,13,D,2000.0,2100.0
60,Iran.Tractor,20021130,2170.0,2160.0,2170.0,25149520,11597,3,D,2100.0,2170.0
61,Iran.Tractor,20021201,2278.0,2278.0,2278.0,515898660,226470,55,D,2170.0,2278.0
62,Iran.Tractor,20021202,2279.0,2278.0,2278.0,116986956,51355,16,D,2278.0,2278.0
63,Iran.Tractor,20021203,2370.0,2278.0,2370.0,152973200,66158,22,D,2278.0,2370.0
64,Iran.Tractor,20021204,2488.0,2391.0,2451.0,1818700280,740638,131,D,2370.0,2451.0
65,Iran.Tractor,20021207,2477.0,2470.0,2470.0,2806052910,1135441,158,D,2451.0,2470.0
66,Iran.Tractor,20021208,2540.0,2500.0,2540.0,1596085858,636580,95,D,2470.0,2540.0
67,Iran.Tractor,20021209,2581.0,2543.0,2581.0,956689257,371979,61,D,2540.0,2581.0
68,Iran.Tractor,20021210,2710.0,2685.0,2685.0,2697133750,1000000,149,D,2581.0,2685.0
69,Iran.Tractor,20021211,2819.0,2819.0,2819.0,1653129256,586424,108,D,2685.0,2819.0
70,Iran.Tractor,20021214,2959.0,2959.0,2959.0,82704050,27950,18,D,2819.0,2959.0
71,Iran.Tractor,20021215,3106.0,2812.0,2900.0,910380705,311388,121,D,2959.0,2900.0
72,Iran.Tractor,20021216,2900.0,2757.0,2800.0,373634365,133438,46,D,2900.0,2800.0
73,Iran.Tractor,20021217,2900.0,2660.0,2799.0,594159838,214179,70,D,2800.0,2799.0
74,Iran.Tractor,20021218,2850.0,2712.0,2800.0,769178366,270867,43,D,2799.0,2800.0
75,Iran.Tractor,20021221,2800.0,2698.0,2699.0,176286363,64744,31,D,2800.0,2699.0
76,Iran.Tractor,20021222,2565.0,2565.0,2565.0,17724150,6910,4,D,2699.0,2565.0
77,Iran.Tractor,20021223,2510.0,2437.0,2510.0,433392146,175903,65,D,2565.0,2510.0
78,Iran.Tractor,20021224,2635.0,2530.0,2590.0,180387600,69790,24,D,2510.0,2590.0
79,Iran.Tractor,20021225,2695.0,2590.0,2590.0,513322434,194981,56,D,2590.0,2590.0
80,Iran.Tractor,20021228,2635.0,2579.0,2630.0,189140055,72228,36,D,2590.0,2630.0
81,Iran.Tractor,20021229,2640.0,2550.0,2550.0,255813978,98235,57,D,2630.0,2550.0
82,Iran.Tractor,20021231,2598.0,2550.0,2551.0,362321546,141271,41,D,2550.0,2551.0
83,Iran.Tractor,20030101,2614.0,2550.0,2614.0,422900055,163115,60,D,2551.0,2614.0
84,Iran.Tractor,20030104,2665.0,2620.0,2640.0,438943090,165550,77,D,2614.0,2640.0
85,Iran.Tractor,20030105,2770.0,2620.0,2651.0,6370422488,2398325,348,D,2640.0,2651.0
86,Iran.Tractor,20030106,2701.0,2650.0,2657.0,3354461604,1263000,176,D,2651.0,2657.0
87,Iran.Tractor,20030107,2750.0,2680.0,2706.0,1230689210,456400,97,D,2657.0,2706.0
88,Iran.Tractor,20030108,2716.0,2701.0,2710.0,1470920147,543500,102,D,2706.0,2710.0
89,Iran.Tractor,20030111,2720.0,2690.0,2700.0,1290963068,477544,141,D,2710.0,2700.0
90,Iran.Tractor,20030112,2700.0,2566.0,2566.0,1209750159,457462,83,D,2700.0,2566.0
91,Iran.Tractor,20030113,2680.0,2566.0,2660.0,986409458,372390,79,D,2566.0,2660.0
92,Iran.Tractor,20030114,2699.0,2598.0,2694.0,835369794,314003,46,D,2660.0,2694.0
93,Iran.Tractor,20030115,2700.0,2670.0,2699.0,3807067589,1421583,228,D,2694.0,2699.0
94,Iran.Tractor,20030118,2833.0,2721.0,2833.0,7159123500,2590700,367,D,2699.0,2833.0
95,Iran.Tractor,20030119,2974.0,2974.0,2974.0,35688000,12000,3,D,2833.0,2974.0
96,Iran.Tractor,20030120,3122.0,2975.0,3122.0,3618753869,1166118,199,D,2974.0,3122.0
97,Iran.Tractor,20030121,3278.0,3278.0,3278.0,183912190,56105,17,D,3122.0,3278.0
98,Iran.Tractor,20030122,3441.0,3278.0,3441.0,7839100622,2287457,430,D,3278.0,3441.0
99,Iran.Tractor,20030126,3439.0,2900.0,3200.0,1578883222,513557,98,D,3441.0,3200.0
100,Iran.Tractor,20030127,3200.0,3060.0,3150.0,1340423490,432273,137,D,3200.0,3150.0
101,Iran.Tractor,20030210,4350.0,4000.0,4172.0,4181770702,978103,274,D,3150.0,4172.0
102,Iran.Tractor,20030215,4199.0,3964.0,3964.0,864474882,211993,108,D,4172.0,3964.0
103,Iran.Tractor,20030216,4000.0,3777.0,4000.0,1635925062,419222,224,D,3964.0,4000.0
104,Iran.Tractor,20030217,4170.0,4100.0,4150.0,1744600471,420687,151,D,4000.0,4150.0
105,Iran.Tractor,20030218,4357.0,4155.0,4357.0,2017392389,471863,195,D,4150.0,4357.0
106,Iran.Tractor,20030219,4574.0,4474.0,4475.0,1581481628,350662,166,D,4357.0,4475.0
107,Iran.Tractor,20030222,4475.0,4252.0,4252.0,236034685,55130,32,D,4475.0,4252.0
108,Iran.Tractor,20030223,4300.0,4100.0,4160.0,736617790,174350,90,D,4252.0,4160.0
109,Iran.Tractor,20030224,4160.0,4014.0,4022.0,474115668,116995,70,D,4160.0,4022.0
110,Iran.Tractor,20030225,4106.0,4012.0,4100.0,957705649,235950,86,D,4022.0,4100.0
111,Iran.Tractor,20030226,4100.0,4000.0,4023.0,893276242,220985,79,D,4100.0,4023.0
112,Iran.Tractor,20030301,4060.0,3900.0,3900.0,454006338,114078,63,D,4023.0,3900.0
113,Iran.Tractor,20030302,3951.0,3798.0,3950.0,466353197,121620,84,D,3900.0,3950.0
114,Iran.Tractor,20030303,4100.0,3950.0,4001.0,1113717667,278219,82,D,3950.0,4001.0
115,Iran.Tractor,20030304,4105.0,4002.0,4105.0,2498671166,613826,122,D,4001.0,4105.0
116,Iran.Tractor,20030305,4131.0,4009.0,4099.0,869283243,212620,97,D,4105.0,4099.0
117,Iran.Tractor,20030308,4000.0,3895.0,3895.0,500109043,128253,60,D,4099.0,3895.0
118,Iran.Tractor,20030309,3891.0,3751.0,3752.0,344582981,90515,49,D,3895.0,3752.0
119,Iran.Tractor,20030310,3775.0,3565.0,3570.0,852890670,235667,100,D,3752.0,3570.0
120,Iran.Tractor,20030311,3748.0,3570.0,3748.0,554989492,148463,71,D,3570.0,3748.0
121,Iran.Tractor,20030312,3933.0,3757.0,3843.0,514108264,131929,84,D,3748.0,3843.0
122,Iran.Tractor,20030315,3901.0,3854.0,3898.0,422692364,108402,44,D,3843.0,3898.0
123,Iran.Tractor,20030316,3899.0,3750.0,3750.0,551040259,145359,74,D,3898.0,3750.0
124,Iran.Tractor,20030317,3750.0,3632.0,3650.0,471693038,128640,64,D,3750.0,3650.0
125,Iran.Tractor,20030318,3794.0,3630.0,3662.0,516958936,139502,60,D,3650.0,3662.0
126,Iran.Tractor,20030319,3800.0,3696.0,3800.0,403824525,107344,58,D,3662.0,3800.0
127,Iran.Tractor,20030405,3838.0,3838.0,3838.0,3838000000,1000000,293,D,3800.0,3838.0
128,Iran.Tractor,20030406,3876.0,3876.0,3876.0,10231143864,2639614,548,D,3838.0,3876.0
129,Iran.Tractor,20030407,3914.0,3914.0,3914.0,5874432578,1500877,386,D,3876.0,3914.0
130,Iran.Tractor,20030408,3953.0,3953.0,3953.0,6056620574,1532158,429,D,3914.0,3953.0
131,Iran.Tractor,20030409,3992.0,3992.0,3992.0,7317970728,1833159,456,D,3953.0,3992.0
132,Iran.Tractor,20030412,4031.0,4029.0,4031.0,10231674685,2538251,515,D,3992.0,4031.0
133,Iran.Tractor,20030413,4071.0,4071.0,4071.0,7591405392,1864752,311,D,4031.0,4071.0
134,Iran.Tractor,20030414,4111.0,4111.0,4111.0,8465358867,2059197,396,D,4071.0,4111.0
135,Iran.Tractor,20030415,4152.0,4152.0,4152.0,450699600,108550,48,D,4111.0,4152.0
136,Iran.Tractor,20030416,4193.0,4193.0,4193.0,4489378012,1070684,317,D,4152.0,4193.0
137,Iran.Tractor,20030419,4234.0,4234.0,4234.0,316533840,74760,29,D,4193.0,4234.0
138,Iran.Tractor,20030420,4276.0,4276.0,4276.0,275656616,64466,28,D,4234.0,4276.0
139,Iran.Tractor,20030421,4318.0,4318.0,4318.0,158341060,36670,19,D,4276.0,4318.0
140,Iran.Tractor,20030422,4361.0,4361.0,4361.0,2232832000,512000,193,D,4318.0,4361.0
141,Iran.Tractor,20030426,4404.0,4404.0,4404.0,84481932,19183,27,D,4361.0,4404.0
142,Iran.Tractor,20030427,4448.0,4448.0,4448.0,395627360,88945,54,D,4404.0,4448.0
143,Iran.Tractor,20030428,4492.0,4492.0,4492.0,1403970108,312549,152,D,4448.0,4492.0
144,Iran.Tractor,20030429,4536.0,4536.0,4536.0,1059854544,233654,149,D,4492.0,4536.0
145,Iran.Tractor,20030430,4581.0,4581.0,4581.0,1134031131,247551,162,D,4536.0,4581.0
146,Iran.Tractor,20030503,4626.0,4536.0,4620.0,11498835903,2515024,710,D,4581.0,4620.0
147,Iran.Tractor,20030504,4574.0,4574.0,4574.0,849844626,185799,53,D,4620.0,4574.0
148,Iran.Tractor,20030505,4529.0,4529.0,4529.0,445377331,98339,25,D,4574.0,4529.0
149,Iran.Tractor,20030506,4574.0,4484.0,4574.0,7345704298,1635306,266,D,4529.0,4574.0
150,Iran.Tractor,20030507,4619.0,4560.0,4619.0,4456188546,967815,322,D,4574.0,4619.0
151,Iran.Tractor,20030510,4665.0,4573.0,4619.0,2257872589,490347,191,D,4619.0,4619.0
152,Iran.Tractor,20030511,4629.0,4573.0,4573.0,655029700,143023,61,D,4619.0,4573.0
153,Iran.Tractor,20030512,4618.0,4528.0,4567.0,3487104179,766987,224,D,4573.0,4567.0
154,Iran.Tractor,20030513,4612.0,4522.0,4567.0,3128016607,685142,210,D,4567.0,4567.0
155,Iran.Tractor,20030514,4612.0,4567.0,4612.0,3263856857,707904,205,D,4567.0,4612.0
156,Iran.Tractor,20030517,4658.0,4658.0,4658.0,716349162,153789,50,D,4612.0,4658.0
157,Iran.Tractor,20030518,4704.0,4704.0,4704.0,1355819808,288227,100,D,4658.0,4704.0
158,Iran.Tractor,20030520,4751.0,4751.0,4751.0,728361557,153307,83,D,4704.0,4751.0
159,Iran.Tractor,20030521,4798.0,4798.0,4798.0,1418212032,295584,117,D,4751.0,4798.0
160,Iran.Tractor,20030524,4845.0,4845.0,4845.0,899493630,185654,92,D,4798.0,4845.0
161,Iran.Tractor,20030525,4893.0,4893.0,4893.0,660002091,134887,58,D,4845.0,4893.0
162,Iran.Tractor,20030526,4941.0,4941.0,4941.0,821342430,166230,64,D,4893.0,4941.0
163,Iran.Tractor,20030527,4990.0,4990.0,4990.0,98836930,19807,15,D,4941.0,4990.0
164,Iran.Tractor,20030528,5239.0,4994.0,5237.0,6408652452,1226114,462,D,4990.0,5237.0
165,Iran.Tractor,20030531,5200.0,5100.0,5124.0,3136736262,607376,243,D,5237.0,5124.0
166,Iran.Tractor,20030601,5124.0,4868.0,5120.0,2412666029,488601,210,D,5124.0,5120.0
167,Iran.Tractor,20030602,5376.0,5113.0,5344.0,1178179467,224379,125,D,5120.0,5344.0
168,Iran.Tractor,20030603,5611.0,5358.0,5611.0,2158617177,388264,153,D,5344.0,5611.0
169,Iran.Tractor,20030607,5830.0,5698.0,5800.0,2101164670,363273,143,D,5611.0,5800.0
170,Iran.Tractor,20030608,5800.0,5650.0,5730.0,1923533219,336988,172,D,5800.0,5730.0
171,Iran.Tractor,20030609,5740.0,5514.0,5514.0,2144758029,381210,160,D,5730.0,5514.0
172,Iran.Tractor,20030610,5450.0,5260.0,5299.0,2067164105,390002,149,D,5514.0,5299.0
173,Iran.Tractor,20030611,5349.0,5061.0,5300.0,3422154761,651514,208,D,5299.0,5300.0
