,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Tractor.-R,20040921,2800.0,2800.0,2800.0,27806800,9931,1,D,2800.0,2800.0
1,Iran.Tractor.-R,20040922,2801.0,2799.0,2799.0,81744690,29200,11,D,2800.0,2799.0
2,Iran.Tractor.-R,20040925,2653.0,2622.0,2623.0,54144520,20641,5,D,2799.0,2623.0
3,Iran.Tractor.-R,20040926,2700.0,2622.0,2645.0,42924727,16226,10,D,2623.0,2645.0
4,Iran.Tractor.-R,20040927,2636.0,2551.0,2556.0,163764640,64056,21,D,2645.0,2556.0
5,Iran.Tractor.-R,20040928,2630.0,2630.0,2630.0,2714160,1032,2,D,2556.0,2630.0
6,Iran.Tractor.-R,20040929,2701.0,2700.0,2700.0,48487994,17957,7,D,2630.0,2700.0
7,Iran.Tractor.-R,20041002,2731.0,2727.0,2730.0,41120910,15060,5,D,2700.0,2730.0
8,Iran.Tractor.-R,20041003,2990.0,2852.0,2932.0,9147708,3119,4,D,2730.0,2932.0
9,Iran.Tractor.-R,20041004,3225.0,3199.0,3211.0,221669785,69023,18,D,2932.0,3211.0
10,Iran.Tractor.-R,20041005,3016.0,3000.0,3006.0,101730982,33833,13,D,3211.0,3006.0
11,Iran.Tractor.-R,20041006,3008.0,2890.0,2967.0,72299542,24365,16,D,3006.0,2967.0
12,Iran.Tractor.-R,20041009,3000.0,2997.0,3000.0,277009907,92363,18,D,2967.0,3000.0
13,Iran.Tractor.-R,20041010,2998.0,2990.0,2995.0,35921010,11990,5,D,3000.0,2995.0
14,Iran.Tractor.-R,20041011,2932.0,2700.0,2800.0,78377780,27991,11,D,2995.0,2800.0
15,Iran.Tractor.-R,20041012,2700.0,2520.0,2546.0,112070168,44003,22,D,2800.0,2546.0
16,Iran.Tractor.-R,20041013,2800.0,2511.0,2743.0,88924435,32414,13,D,2546.0,2743.0
17,Iran.Tractor.-R,20041016,2743.0,2660.0,2718.0,31565887,11613,10,D,2743.0,2718.0
18,Iran.Tractor.-R,20041017,2694.0,2680.0,2689.0,56833916,21130,13,D,2718.0,2689.0
19,Iran.Tractor.-R,20041018,2695.0,2649.0,2683.0,44302241,16510,9,D,2689.0,2683.0
20,Iran.Tractor.-R,20041019,2651.0,2649.0,2650.0,106009969,40000,10,D,2683.0,2650.0
21,Iran.Tractor.-R,20041020,2690.0,2648.0,2653.0,48815929,18394,15,D,2650.0,2653.0
22,Iran.Tractor.-R,20041023,2708.0,2689.0,2700.0,24305667,8999,11,D,2653.0,2700.0
23,Iran.Tractor.-R,20041024,2721.0,2707.0,2708.0,32916331,12154,8,D,2700.0,2708.0
24,Iran.Tractor.-R,20041025,2729.0,2718.0,2727.0,65717727,24095,16,D,2708.0,2727.0
25,Iran.Tractor.-R,20041026,2730.0,2730.0,2730.0,35530950,13015,6,D,2727.0,2730.0
26,Iran.Tractor.-R,20041027,2736.0,2731.0,2733.0,42748861,15637,12,D,2730.0,2733.0
27,Iran.Tractor.-R,20041030,2723.0,2695.0,2718.0,2658520,978,7,D,2733.0,2718.0
28,Iran.Tractor.-R,20041031,2650.0,2600.0,2605.0,26111841,10020,10,D,2718.0,2605.0
29,Iran.Tractor.-R,20041101,2600.0,2598.0,2599.0,91587669,35233,16,D,2605.0,2599.0
30,Iran.Tractor.-R,20041102,2650.0,2590.0,2620.0,29495315,11254,15,D,2599.0,2620.0
31,Iran.Tractor.-R,20041103,2858.0,2602.0,2656.0,399714322,150481,39,D,2620.0,2656.0
32,Iran.Tractor.-R,20041106,2750.0,2656.0,2687.0,464237282,172763,44,D,2656.0,2687.0
33,Iran.Tractor.-R,20041107,2955.0,2700.0,2862.0,681026580,237874,55,D,2687.0,2862.0
34,Iran.Tractor.-R,20050124,4000.0,4000.0,4000.0,24160000,6040,1,D,2862.0,4000.0
35,Iran.Tractor.-R,20070625,800.0,495.0,541.0,1848024467,3412376,674,D,4000.0,541.0
36,Iran.Tractor.-R,20070626,562.0,526.0,558.0,2074918541,3715822,674,D,541.0,558.0
37,Iran.Tractor.-R,20070627,540.0,536.0,536.0,1534237032,2861806,611,D,558.0,536.0
38,Iran.Tractor.-R,20070807,800.0,650.0,675.0,15451111663,22878636,398,D,536.0,675.0
39,Iran.Tractor.-R,20150805,1395.0,1350.0,1373.0,1024203248,745817,222,D,6750.0,1381.0
40,Iran.Tractor.-R,20150808,1380.0,1250.0,1285.0,1070677247,833065,230,D,1373.0,1299.0
41,Iran.Tractor.-R,20150809,1413.0,1260.0,1373.0,1504609715,1096230,290,D,1285.0,1376.0
42,Iran.Tractor.-R,20150810,1398.0,1274.0,1326.0,125322220,94506,65,D,1373.0,1329.0
43,Iran.Tractor.-R,20150812,1358.0,1231.0,1240.0,420087841,338738,31,D,1326.0,1295.0
44,Iran.Tractor.-R,20150815,1210.0,1152.0,1163.0,644561702,554102,66,D,1240.0,1165.0
45,Iran.Tractor.-R,20150816,1250.0,1165.0,1174.0,242940003,206846,57,D,1163.0,1165.0
46,Iran.Tractor.-R,20150817,1180.0,1140.0,1149.0,714530933,621774,73,D,1174.0,1140.0
47,Iran.Tractor.-R,20150818,1150.0,1133.0,1143.0,36992550,32371,11,D,1149.0,1141.0
48,Iran.Tractor.-R,20150819,1183.0,1152.0,1156.0,110505796,95583,38,D,1143.0,1155.0
49,Iran.Tractor.-R,20150822,1247.0,1129.0,1201.0,154940412,129060,72,D,1156.0,1201.0
50,Iran.Tractor.-R,20150823,1266.0,1140.0,1153.0,134130188,116288,29,D,1201.0,1145.0
51,Iran.Tractor.-R,20150824,1239.0,1101.0,1121.0,202922608,181020,38,D,1153.0,1105.0
52,Iran.Tractor.-R,20150825,1160.0,1050.0,1062.0,775039358,730019,154,D,1121.0,1050.0
53,Iran.Tractor.-R,20150826,1089.0,1012.0,1069.0,745463087,697490,104,D,1062.0,1038.0
54,Iran.Tractor.-R,20150829,1150.0,1070.0,1130.0,534408500,472840,111,D,1069.0,1120.0
55,Iran.Tractor.-R,20150830,1100.0,1021.0,1040.0,109540955,105333,24,D,1130.0,1038.0
56,Iran.Tractor.-R,20150831,1099.0,1022.0,1045.0,12928983,12371,11,D,1040.0,1028.0
57,Iran.Tractor.-R,20150901,1080.0,1023.0,1040.0,353828412,340275,59,D,1045.0,1045.0
58,Iran.Tractor.-R,20150902,1075.0,1035.0,1046.0,217766749,208288,36,D,1040.0,1048.0
59,Iran.Tractor.-R,20150905,1110.0,1055.0,1079.0,351777848,326147,54,D,1046.0,1087.0
60,Iran.Tractor.-R,20150906,1086.0,1048.0,1053.0,153895694,146157,58,D,1079.0,1078.0
61,Iran.Tractor.-R,20150907,1076.0,1024.0,1041.0,224755243,215999,43,D,1053.0,1050.0
62,Iran.Tractor.-R,20150908,1070.0,1020.0,1030.0,306169038,297163,71,D,1041.0,1020.0
63,Iran.Tractor.-R,20150909,1035.0,1000.0,1021.0,583289421,571378,87,D,1030.0,1035.0
64,Iran.Tractor.-R,20150912,1086.0,922.0,1020.0,84437596,82813,23,D,1021.0,1039.0
65,Iran.Tractor.-R,20150913,1071.0,962.0,999.0,112093518,112200,16,D,1020.0,999.0
66,Iran.Tractor.-R,20150914,1048.0,981.0,1026.0,660326108,643817,93,D,999.0,1035.0
67,Iran.Tractor.-R,20150915,1030.0,1000.0,1020.0,1153861788,1131320,109,D,1026.0,1025.0
68,Iran.Tractor.-R,20150916,1039.0,1011.0,1022.0,148359903,145117,45,D,1020.0,1028.0
