,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Iran.Transfo,20010410,13000.0,12500.0,13000.0,23310200,1820,7,D,12500.0,13000.0
1,S*Iran.Transfo,20010411,13000.0,12506.0,12510.0,162649260,12940,15,D,13000.0,12510.0
2,S*Iran.Transfo,20010414,12200.0,11999.0,11999.0,43649400,3600,4,D,12510.0,11999.0
3,S*Iran.Transfo,20010415,12000.0,11990.0,12000.0,194160213,16181,39,D,11999.0,12000.0
4,S*Iran.Transfo,20010416,12001.0,11999.0,12001.0,114172190,9514,20,D,12000.0,12001.0
5,S*Iran.Transfo,20010417,12550.0,12000.0,12011.0,277426230,22960,18,D,12001.0,12011.0
6,S*Iran.Transfo,20010418,12500.0,12300.0,12500.0,447090100,35953,13,D,12011.0,12500.0
7,S*Iran.Transfo,20010421,12800.0,12600.0,12800.0,180268356,14239,9,D,12500.0,12800.0
8,S*Iran.Transfo,20010422,13105.0,12980.0,12999.0,137381090,10528,18,D,12800.0,12999.0
9,S*Iran.Transfo,20010423,13000.0,12800.0,13000.0,473722630,36741,31,D,12999.0,13000.0
10,S*Iran.Transfo,20010424,13000.0,12999.0,12999.0,123681820,9514,21,D,13000.0,12999.0
11,S*Iran.Transfo,20010425,13200.0,12999.0,13200.0,113083870,8668,20,D,12999.0,13200.0
12,S*Iran.Transfo,20010428,13215.0,13212.0,13215.0,2470914,187,2,D,13200.0,13215.0
13,S*Iran.Transfo,20010430,13850.0,13830.0,13850.0,38077360,2750,9,D,13215.0,13850.0
14,S*Iran.Transfo,20010501,13900.0,13850.0,13900.0,34569570,2493,8,D,13850.0,13900.0
15,S*Iran.Transfo,20010502,13904.0,13853.0,13853.0,109501486,7884,11,D,13900.0,13853.0
16,S*Iran.Transfo,20010506,13839.0,13829.0,13829.0,8990282,650,3,D,13853.0,13829.0
17,S*Iran.Transfo,20010507,13699.0,13690.0,13699.0,120667550,8810,26,D,13829.0,13699.0
18,S*Iran.Transfo,20010508,13830.0,13798.0,13830.0,38157317,2763,9,D,13699.0,13830.0
19,S*Iran.Transfo,20010509,13897.0,13819.0,13819.0,43661603,3149,8,D,13830.0,13819.0
20,S*Iran.Transfo,20010512,13692.0,13679.0,13680.0,44727629,3267,8,D,13819.0,13680.0
21,S*Iran.Transfo,20010515,13660.0,13600.0,13600.0,26274250,1929,5,D,13680.0,13600.0
22,S*Iran.Transfo,20010516,13750.0,13550.0,13750.0,207614650,15176,21,D,13600.0,13750.0
23,S*Iran.Transfo,20010519,13812.0,13812.0,13812.0,7002684,507,2,D,13750.0,13812.0
24,S*Iran.Transfo,20010520,14299.0,13934.0,14260.0,253306251,17861,39,D,13812.0,14260.0
25,S*Iran.Transfo,20010521,14350.0,14220.0,14350.0,234732584,16431,27,D,14260.0,14350.0
26,S*Iran.Transfo,20010523,14300.0,14300.0,14300.0,7150000,500,2,D,14350.0,14300.0
27,S*Iran.Transfo,20010526,14350.0,14300.0,14300.0,60383700,4216,15,D,14300.0,14300.0
28,S*Iran.Transfo,20010527,14500.0,14350.0,14400.0,785384674,54229,18,D,14300.0,14400.0
29,S*Iran.Transfo,20010528,14500.0,14410.0,14500.0,132494960,9174,11,D,14400.0,14500.0
30,S*Iran.Transfo,20010529,14606.0,14500.0,14603.0,314615871,21605,34,D,14500.0,14603.0
31,S*Iran.Transfo,20010530,14650.0,14603.0,14650.0,194627686,13318,24,D,14603.0,14650.0
