,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Behshahr.Inv.,20010325,5084.0,5074.0,5076.0,33608153,6621,15,D,0.0,5076.0
1,S*Behshahr.Inv.,20010326,5074.0,5004.0,5004.0,97802060,19360,16,D,5076.0,5004.0
2,S*Behshahr.Inv.,20010327,5067.0,5000.0,5067.0,273181440,54528,50,D,5004.0,5067.0
3,S*Behshahr.Inv.,20010328,5067.0,5035.0,5067.0,87493040,17326,24,D,5067.0,5067.0
4,S*Behshahr.Inv.,20010331,5067.0,5040.0,5067.0,169651859,33528,28,D,5067.0,5067.0
5,S*Behshahr.Inv.,20010403,5067.0,5066.0,5067.0,7229829,1427,6,D,5067.0,5067.0
6,S*Behshahr.Inv.,20010407,5063.0,5060.0,5060.0,24290536,4798,12,D,5067.0,5060.0
7,S*Behshahr.Inv.,20010408,5063.0,5030.0,5060.0,205576874,40678,61,D,5060.0,5060.0
8,S*Behshahr.Inv.,20010409,5100.0,5040.0,5100.0,277940709,54770,74,D,5060.0,5100.0
9,S*Behshahr.Inv.,20010410,5140.0,5100.0,5110.0,1190955662,232564,84,D,5100.0,5110.0
10,S*Behshahr.Inv.,20010411,5113.0,5100.0,5110.0,485154249,95079,92,D,5110.0,5110.0
11,S*Behshahr.Inv.,20010414,5132.0,5100.0,5132.0,586259588,114711,128,D,5110.0,5132.0
12,S*Behshahr.Inv.,20010415,5179.0,5130.0,5132.0,789677616,153551,143,D,5132.0,5132.0
13,S*Behshahr.Inv.,20010416,5200.0,5104.0,5155.0,1338764197,260550,102,D,5132.0,5155.0
14,S*Behshahr.Inv.,20010417,5301.0,5155.0,5155.0,1806530474,346812,188,D,5155.0,5155.0
15,S*Behshahr.Inv.,20010418,5331.0,5163.0,5254.0,1001036127,190180,134,D,5155.0,5254.0
16,S*Behshahr.Inv.,20010421,5515.0,5273.0,5450.0,446776780,82488,115,D,5254.0,5450.0
17,S*Behshahr.Inv.,20010422,5462.0,5411.0,5460.0,535950384,98376,132,D,5450.0,5460.0
18,S*Behshahr.Inv.,20010423,5508.0,5460.0,5500.0,6003082600,1091862,160,D,5460.0,5500.0
19,S*Behshahr.Inv.,20010424,5700.0,5481.0,5602.0,8691824825,1552433,147,D,5500.0,5602.0
20,S*Behshahr.Inv.,20010425,5882.0,5611.0,5842.0,693803071,120399,115,D,5602.0,5842.0
21,S*Behshahr.Inv.,20010428,6000.0,5900.0,5900.0,837256667,140658,136,D,5842.0,5900.0
22,S*Behshahr.Inv.,20010429,5939.0,5890.0,5908.0,930373098,157474,141,D,5900.0,5908.0
23,S*Behshahr.Inv.,20010430,5920.0,5890.0,5899.0,548222140,92846,105,D,5908.0,5899.0
24,S*Behshahr.Inv.,20010501,5899.0,3388.0,5775.0,881597244,167075,220,D,5899.0,5775.0
25,S*Behshahr.Inv.,20010502,5775.0,5601.0,5680.0,481328083,84769,94,D,5775.0,5680.0
26,S*Behshahr.Inv.,20010505,5710.0,5635.0,5703.0,633857118,112031,98,D,5680.0,5703.0
27,S*Behshahr.Inv.,20010506,5735.0,5700.0,5706.0,564652503,98878,102,D,5703.0,5706.0
28,S*Behshahr.Inv.,20010507,5799.0,5705.0,5780.0,484417482,84394,83,D,5706.0,5780.0
29,S*Behshahr.Inv.,20010508,6000.0,5790.0,5900.0,1638357222,278416,182,D,5780.0,5900.0
30,S*Behshahr.Inv.,20010509,5955.0,5900.0,5920.0,416208655,70424,90,D,5900.0,5920.0
31,S*Behshahr.Inv.,20010512,5923.0,5900.0,5921.0,504737029,85332,91,D,5920.0,5921.0
32,S*Behshahr.Inv.,20010513,5921.0,5870.0,5897.0,509486920,86384,78,D,5921.0,5897.0
33,S*Behshahr.Inv.,20010515,5897.0,5810.0,5820.0,559378190,95837,90,D,5897.0,5820.0
34,S*Behshahr.Inv.,20010516,5823.0,5800.0,5820.0,1203371320,207275,124,D,5820.0,5820.0
35,S*Behshahr.Inv.,20010519,6002.0,5801.0,6002.0,1238234213,210118,136,D,5820.0,6002.0
36,S*Behshahr.Inv.,20010520,6300.0,5900.0,6002.0,3967032004,638030,237,D,6002.0,6002.0
37,S*Behshahr.Inv.,20010521,6200.0,6004.0,6050.0,562747197,92912,73,D,6002.0,6050.0
38,S*Behshahr.Inv.,20010523,6140.0,6050.0,6104.0,623207993,102227,98,D,6050.0,6104.0
39,S*Behshahr.Inv.,20010526,6130.0,6100.0,6130.0,336786777,55135,88,D,6104.0,6130.0
40,S*Behshahr.Inv.,20010527,6150.0,6100.0,6143.0,582489172,95004,111,D,6130.0,6143.0
41,S*Behshahr.Inv.,20010528,6180.0,6140.0,6152.0,626570325,101868,123,D,6143.0,6152.0
42,S*Behshahr.Inv.,20010529,6160.0,6100.0,6160.0,730602209,118958,83,D,6152.0,6160.0
43,S*Behshahr.Inv.,20010530,6203.0,6161.0,6200.0,1792117389,289064,136,D,6160.0,6200.0
44,S*Behshahr.Inv.,20010602,6200.0,6167.0,6200.0,309773001,50027,81,D,6200.0,6200.0
45,S*Behshahr.Inv.,20010603,6200.0,6168.0,6200.0,645078063,104347,98,D,6200.0,6200.0
46,S*Behshahr.Inv.,20010606,6200.0,6187.0,6189.0,323610002,52276,86,D,6200.0,6189.0
47,S*Behshahr.Inv.,20010609,6200.0,6149.0,6189.0,587987172,95251,102,D,6189.0,6189.0
48,S*Behshahr.Inv.,20010611,6220.0,6179.0,6202.0,1473391641,237507,127,D,6189.0,6202.0
49,S*Behshahr.Inv.,20010612,6230.0,6180.0,6210.0,952154740,153664,129,D,6202.0,6210.0
50,S*Behshahr.Inv.,20010613,6210.0,6190.0,6190.0,973790390,157041,131,D,6210.0,6190.0
51,S*Behshahr.Inv.,20010616,6190.0,6171.0,6190.0,758854243,122783,120,D,6190.0,6190.0
52,S*Behshahr.Inv.,20010617,6240.0,6180.0,6220.0,5335184219,859073,144,D,6190.0,6220.0
53,S*Behshahr.Inv.,20010618,6230.0,6179.0,6230.0,834201485,134337,122,D,6220.0,6230.0
54,S*Behshahr.Inv.,20010619,6230.0,6203.0,6211.0,649555927,104515,93,D,6230.0,6211.0
55,S*Behshahr.Inv.,20010620,6300.0,6180.0,6300.0,1202325009,192275,119,D,6211.0,6300.0
56,S*Behshahr.Inv.,20010623,6357.0,6300.0,6351.0,836583091,131875,143,D,6300.0,6351.0
57,S*Behshahr.Inv.,20010624,6362.0,6290.0,6300.0,535739681,84486,92,D,6351.0,6300.0
58,S*Behshahr.Inv.,20010625,6299.0,6248.0,6280.0,339844517,54120,71,D,6300.0,6280.0
59,S*Behshahr.Inv.,20010626,6281.0,6200.0,6280.0,1535735267,245001,168,D,6280.0,6280.0
60,S*Behshahr.Inv.,20010627,6280.0,6250.0,6279.0,1472374358,234612,135,D,6280.0,6279.0
61,S*Behshahr.Inv.,20010630,6280.0,6222.0,6280.0,677597373,108023,109,D,6279.0,6280.0
62,S*Behshahr.Inv.,20010701,6290.0,6247.0,6280.0,1426469923,227120,172,D,6280.0,6280.0
63,S*Behshahr.Inv.,20010702,6290.0,6260.0,6280.0,1127551439,179591,138,D,6280.0,6280.0
64,S*Behshahr.Inv.,20010703,6298.0,6251.0,6279.0,16560077970,2637182,173,D,6280.0,6279.0
65,S*Behshahr.Inv.,20010704,6500.0,6263.0,6311.0,22731358106,3508770,227,D,6279.0,6311.0
66,S*Behshahr.Inv.,20010707,6379.0,6282.0,6295.0,562171894,88585,126,D,6311.0,6295.0
67,S*Behshahr.Inv.,20010708,6298.0,6270.0,6280.0,2132121443,339157,181,D,6295.0,6280.0
68,S*Behshahr.Inv.,20010709,6299.0,6253.0,6253.0,1027460853,163524,123,D,6280.0,6253.0
69,S*Behshahr.Inv.,20010710,6351.0,6250.0,6330.0,1197532631,190441,163,D,6253.0,6330.0
70,S*Behshahr.Inv.,20010711,6500.0,6204.0,6350.0,116452158763,18450683,421,D,6330.0,6350.0
71,S*Behshahr.Inv.,20010729,6000.0,5672.0,5805.0,2020881082,350975,227,D,6350.0,5805.0
72,S*Behshahr.Inv.,20010730,5950.0,5832.0,5950.0,765284963,129433,142,D,5805.0,5950.0
73,S*Behshahr.Inv.,20010731,6100.0,5960.0,6029.0,821640820,135806,183,D,5950.0,6029.0
74,S*Behshahr.Inv.,20010801,6200.0,6029.0,6200.0,11751620911,1930125,163,D,6029.0,6200.0
75,S*Behshahr.Inv.,20010804,6470.0,6290.0,6452.0,1103818703,172029,151,D,6200.0,6452.0
76,S*Behshahr.Inv.,20010805,6454.0,6340.0,6363.0,595620876,93368,123,D,6452.0,6363.0
77,S*Behshahr.Inv.,20010806,6500.0,6277.0,6498.0,1433676412,226925,161,D,6363.0,6498.0
78,S*Behshahr.Inv.,20010807,6459.0,6300.0,6400.0,221021515,34784,55,D,6498.0,6400.0
79,S*Behshahr.Inv.,20010808,6400.0,6306.0,6400.0,770439255,121359,113,D,6400.0,6400.0
80,S*Behshahr.Inv.,20010811,6439.0,6350.0,6400.0,682013509,106761,105,D,6400.0,6400.0
81,S*Behshahr.Inv.,20010812,6600.0,6400.0,6600.0,1166530315,181014,159,D,6400.0,6600.0
82,S*Behshahr.Inv.,20010813,6650.0,6599.0,6623.0,691372086,104535,157,D,6600.0,6623.0
83,S*Behshahr.Inv.,20010814,6703.0,6623.0,6703.0,583763262,87445,90,D,6623.0,6703.0
84,S*Behshahr.Inv.,20010815,6740.0,6703.0,6720.0,464232969,69080,105,D,6703.0,6720.0
85,S*Behshahr.Inv.,20010818,6811.0,6720.0,6799.0,312080653,46093,75,D,6720.0,6799.0
