,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sina.Fin..Ins.,20070925,1219.0,1212.0,1213.0,175282193794,144450000,5047,D,1212.0,1213.0
1,Sina.Fin..Ins.,20070926,1237.0,1214.0,1235.0,45038781427,36447979,7348,D,1213.0,1235.0
2,Sina.Fin..Ins.,20070929,1235.0,1211.0,1213.0,10884011153,8970539,1341,D,1235.0,1213.0
3,Sina.Fin..Ins.,20070930,1189.0,1189.0,1189.0,1389762650,1168850,275,D,1213.0,1189.0
4,Sina.Fin..Ins.,20071001,1166.0,1166.0,1166.0,1341724362,1150707,145,D,1189.0,1166.0
5,Sina.Fin..Ins.,20071002,1143.0,1143.0,1143.0,1212026913,1060391,125,D,1166.0,1143.0
6,Sina.Fin..Ins.,20071006,1165.0,1121.0,1133.0,17106354276,15094738,3008,D,1143.0,1133.0
7,Sina.Fin..Ins.,20071007,1149.0,1111.0,1114.0,5354185310,4803219,835,D,1133.0,1114.0
8,Sina.Fin..Ins.,20071008,1101.0,1092.0,1092.0,9870087196,9037202,1125,D,1114.0,1092.0
9,Sina.Fin..Ins.,20071009,1113.0,1093.0,1107.0,1235560179,1115580,258,D,1092.0,1107.0
10,Sina.Fin..Ins.,20071010,1129.0,1091.0,1118.0,5162952267,4593565,452,D,1107.0,1118.0
11,Sina.Fin..Ins.,20071014,1119.0,1096.0,1097.0,3161092685,2880875,427,D,1118.0,1097.0
12,Sina.Fin..Ins.,20071015,1082.0,1076.0,1076.0,992785280,922600,222,D,1097.0,1076.0
13,Sina.Fin..Ins.,20071016,1058.0,1055.0,1055.0,429793213,407166,99,D,1076.0,1055.0
14,Sina.Fin..Ins.,20071017,1073.0,1034.0,1037.0,4174064922,4024195,633,D,1055.0,1037.0
15,Sina.Fin..Ins.,20071020,1054.0,1020.0,1033.0,1975597875,1911552,356,D,1037.0,1033.0
16,Sina.Fin..Ins.,20071021,1037.0,1013.0,1026.0,2104763056,2049706,422,D,1033.0,1026.0
17,Sina.Fin..Ins.,20071022,1046.0,1025.0,1039.0,2006502440,1931112,362,D,1026.0,1039.0
18,Sina.Fin..Ins.,20071023,1037.0,1020.0,1029.0,1512710569,1469010,272,D,1039.0,1029.0
19,Sina.Fin..Ins.,20071024,1049.0,1029.0,1035.0,1674777661,1617993,261,D,1029.0,1035.0
20,Sina.Fin..Ins.,20071027,1049.0,1037.0,1042.0,813478201,780116,179,D,1035.0,1042.0
21,Sina.Fin..Ins.,20071028,1049.0,1022.0,1030.0,2799267577,2716776,496,D,1042.0,1030.0
22,Sina.Fin..Ins.,20071029,1030.0,1010.0,1022.0,1956060167,1913320,385,D,1030.0,1022.0
23,Sina.Fin..Ins.,20071030,1040.0,1029.0,1030.0,1748382309,1696375,343,D,1022.0,1030.0
24,Sina.Fin..Ins.,20071031,1050.0,1038.0,1048.0,449766314,428829,85,D,1030.0,1048.0
25,Sina.Fin..Ins.,20071103,1068.0,1028.0,1055.0,888030856,841553,169,D,1048.0,1055.0
26,Sina.Fin..Ins.,20071104,1076.0,1034.0,1039.0,1631990614,1569947,265,D,1055.0,1039.0
27,Sina.Fin..Ins.,20071105,1041.0,1025.0,1035.0,346125190,334643,76,D,1039.0,1035.0
28,Sina.Fin..Ins.,20071107,1055.0,1032.0,1050.0,711827040,677362,141,D,1035.0,1050.0
29,Sina.Fin..Ins.,20071110,1070.0,1050.0,1057.0,1664963339,1580551,118,D,1050.0,1057.0
30,Sina.Fin..Ins.,20071111,1061.0,1040.0,1051.0,1474217135,1412597,82,D,1057.0,1051.0
31,Sina.Fin..Ins.,20071112,1055.0,1034.0,1048.0,1632961959,1568658,61,D,1051.0,1048.0
32,Sina.Fin..Ins.,20071113,1054.0,1036.0,1041.0,791178170,759503,147,D,1048.0,1041.0
33,Sina.Fin..Ins.,20071114,1033.0,1022.0,1027.0,798440498,777035,153,D,1041.0,1027.0
34,Sina.Fin..Ins.,20071117,1047.0,1012.0,1036.0,562350714,542292,76,D,1027.0,1036.0
35,Sina.Fin..Ins.,20071118,1045.0,1021.0,1035.0,97154694,94237,26,D,1036.0,1035.0
36,Sina.Fin..Ins.,20071119,1035.0,1015.0,1032.0,102356020,100095,33,D,1035.0,1032.0
37,Sina.Fin..Ins.,20071120,1031.0,1013.0,1024.0,190102732,187232,45,D,1032.0,1024.0
38,Sina.Fin..Ins.,20071121,1021.0,1004.0,1008.0,588064502,582907,120,D,1024.0,1008.0
39,Sina.Fin..Ins.,20071124,1026.0,988.0,1013.0,749925856,739736,129,D,1008.0,1013.0
40,Sina.Fin..Ins.,20071125,1021.0,1003.0,1014.0,504272398,496984,80,D,1013.0,1014.0
41,Sina.Fin..Ins.,20071126,1019.0,1001.0,1014.0,418255945,412281,76,D,1014.0,1014.0
42,Sina.Fin..Ins.,20071127,1016.0,994.0,1000.0,553115376,552607,95,D,1014.0,1000.0
43,Sina.Fin..Ins.,20071128,1017.0,1000.0,1003.0,457757630,456132,82,D,1000.0,1003.0
44,Sina.Fin..Ins.,20071201,1001.0,990.0,999.0,506737542,506828,93,D,1003.0,999.0
45,Sina.Fin..Ins.,20071202,1000.0,980.0,993.0,727761617,732615,142,D,999.0,993.0
46,Sina.Fin..Ins.,20071203,999.0,974.0,993.0,787144049,792691,152,D,993.0,993.0
47,Sina.Fin..Ins.,20071204,1000.0,974.0,993.0,1603324791,1614092,258,D,993.0,993.0
48,Sina.Fin..Ins.,20071205,1012.0,999.0,1005.0,818398514,813663,151,D,993.0,1005.0
