,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Yasa.Tire,20030922,21500.0,21500.0,21500.0,1053500000,49000,18,D,21500.0,21500.0
1,Iran.Yasa.Tire,20030923,21500.0,21500.0,21500.0,129000000,6000,2,D,21500.0,21500.0
2,Iran.Yasa.Tire,20031007,21500.0,21500.0,21500.0,5375000,250,1,D,21500.0,21500.0
3,Iran.Yasa.Tire,20031008,21500.0,21500.0,21500.0,9890000,460,4,D,21500.0,21500.0
4,Iran.Yasa.Tire,20031014,21500.0,21500.0,21500.0,817000,38,1,D,21500.0,21500.0
5,Iran.Yasa.Tire,20031015,21500.0,21500.0,21500.0,53750000,2500,1,D,21500.0,21500.0
6,Iran.Yasa.Tire,20031019,21500.0,21500.0,21500.0,430000000,20000,5,D,21500.0,21500.0
7,Iran.Yasa.Tire,20031020,21500.0,21500.0,21500.0,2150000,100,1,D,21500.0,21500.0
8,Iran.Yasa.Tire,20031021,21500.0,21500.0,21500.0,198875000,9250,2,D,21500.0,21500.0
9,Iran.Yasa.Tire,20031022,21500.0,21500.0,21500.0,26875000,1250,3,D,21500.0,21500.0
10,Iran.Yasa.Tire,20031026,21503.0,21503.0,21503.0,279539000,13000,2,D,21500.0,21503.0
11,Iran.Yasa.Tire,20031028,21503.0,21500.0,21502.0,21715920,1010,4,D,21503.0,21502.0
12,Iran.Yasa.Tire,20031029,22575.0,22500.0,22557.0,237075570,10510,5,D,21502.0,22557.0
13,Iran.Yasa.Tire,20031102,22557.0,22557.0,22557.0,5639250,250,1,D,22557.0,22557.0
14,Iran.Yasa.Tire,20031103,22558.0,22557.0,22557.0,5865070,260,2,D,22557.0,22557.0
15,Iran.Yasa.Tire,20031108,22557.0,22557.0,22557.0,16917750,750,3,D,22557.0,22557.0
16,Iran.Yasa.Tire,20031109,22557.0,22557.0,22557.0,22557000,1000,2,D,22557.0,22557.0
17,Iran.Yasa.Tire,20031117,22557.0,22557.0,22557.0,11278500,500,3,D,22557.0,22557.0
18,Iran.Yasa.Tire,20031130,22566.0,22557.0,22557.0,5867070,260,2,D,22557.0,22557.0
19,Iran.Yasa.Tire,20031203,22558.0,22557.0,22557.0,11504120,510,3,D,22557.0,22557.0
20,Iran.Yasa.Tire,20040111,9000.0,9000.0,9000.0,18000000,2000,1,D,22557.0,9000.0
21,Iran.Yasa.Tire,20040114,9000.0,9000.0,9000.0,2250000,250,1,D,9000.0,9000.0
22,Iran.Yasa.Tire,20040128,8999.0,8999.0,8999.0,116987000,13000,2,D,9000.0,8999.0
23,Iran.Yasa.Tire,20040215,8998.0,8990.0,8998.0,5507364280,612610,3,D,8999.0,8998.0
24,Iran.Yasa.Tire,20040222,8996.0,8982.0,8996.0,5049034,562,5,D,8998.0,8996.0
25,Iran.Yasa.Tire,20040225,8995.0,8986.0,8995.0,5706200,635,2,D,8996.0,8995.0
26,Iran.Yasa.Tire,20040307,8994.0,8987.0,8994.0,2336690,260,2,D,8995.0,8994.0
27,Iran.Yasa.Tire,20040315,8545.0,8545.0,8545.0,111085000,13000,2,D,8994.0,8545.0
28,Iran.Yasa.Tire,20040316,8118.0,8118.0,8118.0,81180000,10000,1,D,8545.0,8118.0
29,Iran.Yasa.Tire,20040328,8118.0,7713.0,7713.0,77316714,10023,2,D,8118.0,7713.0
30,Iran.Yasa.Tire,20040404,8098.0,7761.0,7761.0,10200110,1260,2,D,7713.0,7761.0
31,Iran.Yasa.Tire,20040407,8149.0,8100.0,8100.0,71384750,8760,3,D,7761.0,8100.0
32,Iran.Yasa.Tire,20040410,8149.0,8102.0,8102.0,4237010,520,2,D,8100.0,8102.0
33,Iran.Yasa.Tire,20040413,8102.0,8102.0,8102.0,32408000,4000,2,D,8102.0,8102.0
34,Iran.Yasa.Tire,20040414,8148.0,8104.0,8104.0,4155040,510,2,D,8102.0,8104.0
35,Iran.Yasa.Tire,20040417,8104.0,8104.0,8104.0,5672800,700,1,D,8104.0,8104.0
36,Iran.Yasa.Tire,20040426,8146.0,7699.0,8108.0,4627627080,601010,3,D,8104.0,8108.0
37,Iran.Yasa.Tire,20040427,8147.0,7703.0,8108.0,4631455540,601190,4,D,8108.0,8108.0
38,Iran.Yasa.Tire,20040428,8108.0,8108.0,8108.0,2975636,367,1,D,8108.0,8108.0
39,Iran.Yasa.Tire,20040501,8106.0,7703.0,8106.0,4629971060,601010,3,D,8108.0,8106.0
40,Iran.Yasa.Tire,20040502,8104.0,7701.0,8104.0,4628771040,601010,4,D,8106.0,8104.0
41,Iran.Yasa.Tire,20040503,8103.0,7699.0,8103.0,3528975125,458365,3,D,8104.0,8103.0
42,Iran.Yasa.Tire,20040525,7712.0,7698.0,7712.0,74339726,9657,8,D,8103.0,7712.0
43,Iran.Yasa.Tire,20040526,7327.0,7327.0,7327.0,73270000,10000,1,D,7712.0,7327.0
44,Iran.Yasa.Tire,20040606,7326.0,7318.0,7326.0,1902760,260,2,D,7327.0,7326.0
45,Iran.Yasa.Tire,20040607,7317.0,7000.0,7317.0,1823170,260,2,D,7326.0,7317.0
46,Iran.Yasa.Tire,20040724,6999.0,6999.0,6999.0,3499500,500,1,D,7317.0,6999.0
47,Iran.Yasa.Tire,20041206,5000.0,5000.0,5000.0,10000000,2000,1,D,6999.0,5000.0
48,Iran.Yasa.Tire,20041207,5250.0,5250.0,5250.0,157500000,30000,10,D,5000.0,5250.0
49,Iran.Yasa.Tire,20041211,5512.0,5512.0,5512.0,165360000,30000,15,D,5250.0,5512.0
50,Iran.Yasa.Tire,20041212,5787.0,5787.0,5787.0,202955877,35071,7,D,5512.0,5787.0
51,Iran.Yasa.Tire,20041213,6076.0,6076.0,6076.0,1063300000,175000,23,D,5787.0,6076.0
52,Iran.Yasa.Tire,20041214,6077.0,5787.0,5864.0,142120599,24235,15,D,6076.0,5864.0
53,Iran.Yasa.Tire,20041215,6001.0,5889.0,5889.0,17909890,2985,8,D,5864.0,5889.0
54,Iran.Yasa.Tire,20041218,6050.0,6000.0,6011.0,100469758,16713,14,D,5889.0,6011.0
55,Iran.Yasa.Tire,20041219,6050.0,6014.0,6014.0,8608790,1423,3,D,6011.0,6014.0
56,Iran.Yasa.Tire,20041220,6018.0,5998.0,6009.0,31619691,5269,5,D,6014.0,6009.0
57,Iran.Yasa.Tire,20041226,6003.0,5860.0,6003.0,3576030,610,2,D,6009.0,6003.0
58,Iran.Yasa.Tire,20050103,5946.0,5703.0,5946.0,17168460,3010,2,D,6003.0,5946.0
59,Iran.Yasa.Tire,20050117,6500.0,5946.0,5946.0,23139591460,3559938,2,D,5946.0,5946.0
60,Iran.Yasa.Tire,20050213,5926.0,5649.0,5926.0,5911624,1046,2,D,5946.0,5926.0
61,Iran.Yasa.Tire,20050412,5630.0,5630.0,5630.0,33577320,5964,3,D,5926.0,5630.0
62,Iran.Yasa.Tire,20050413,5349.0,5349.0,5349.0,534900,100,1,D,5630.0,5349.0
63,Iran.Yasa.Tire,20050417,5082.0,5082.0,5082.0,762300,150,2,D,5349.0,5082.0
64,Iran.Yasa.Tire,20050423,4828.0,4828.0,4828.0,2414000,500,1,D,5082.0,4828.0
65,Iran.Yasa.Tire,20050521,4587.0,4587.0,4587.0,1376100,300,1,D,4828.0,4587.0
66,Iran.Yasa.Tire,20050618,4358.0,4358.0,4358.0,2179000,500,1,D,4587.0,4358.0
67,Iran.Yasa.Tire,20050620,4141.0,4141.0,4141.0,2070500,500,1,D,4358.0,4141.0
68,Iran.Yasa.Tire,20050622,3934.0,3934.0,3934.0,1967000,500,1,D,4141.0,3934.0
69,Iran.Yasa.Tire,20051105,3930.0,3738.0,3930.0,1033608,276,2,D,3934.0,3930.0
70,Iran.Yasa.Tire,20060101,3349.0,3349.0,3349.0,2009400,600,1,D,3930.0,3349.0
71,Iran.Yasa.Tire,20060103,3338.0,3182.0,3338.0,3215380,1010,2,D,3349.0,3338.0
72,Iran.Yasa.Tire,20060108,3172.0,3172.0,3172.0,50752000,16000,6,D,3338.0,3172.0
73,Iran.Yasa.Tire,20060109,3014.0,3014.0,3014.0,48224000,16000,4,D,3172.0,3014.0
74,Iran.Yasa.Tire,20060110,2864.0,2864.0,2864.0,171840000,60000,8,D,3014.0,2864.0
75,Iran.Yasa.Tire,20060114,2721.0,2721.0,2721.0,43536000,16000,4,D,2864.0,2721.0
76,Iran.Yasa.Tire,20060115,2710.0,2591.0,2710.0,3265850,1260,3,D,2721.0,2710.0
77,Iran.Yasa.Tire,20060117,2703.0,2599.0,2703.0,2626030,1010,2,D,2710.0,2703.0
78,Iran.Yasa.Tire,20060122,2682.0,2575.0,2682.0,6636845,2577,2,D,2703.0,2682.0
79,Iran.Yasa.Tire,20060123,2681.0,2677.0,2681.0,294510,110,2,D,2682.0,2681.0
80,Iran.Yasa.Tire,20060128,2672.0,2548.0,2672.0,2574720,1010,2,D,2681.0,2672.0
81,Iran.Yasa.Tire,20060130,2647.0,2540.0,2647.0,7646470,3010,4,D,2672.0,2647.0
82,Iran.Yasa.Tire,20060207,2647.0,2515.0,2647.0,277970,110,3,D,2647.0,2647.0
83,Iran.Yasa.Tire,20060426,2515.0,2515.0,2515.0,40240000,16000,5,D,2647.0,2515.0
84,Iran.Yasa.Tire,20060429,2465.0,2465.0,2465.0,39440000,16000,5,D,2515.0,2465.0
85,Iran.Yasa.Tire,20060501,2416.0,2416.0,2416.0,38656000,16000,3,D,2465.0,2416.0
86,Iran.Yasa.Tire,20060503,2368.0,2368.0,2368.0,37888000,16000,4,D,2416.0,2368.0
87,Iran.Yasa.Tire,20060506,2368.0,2368.0,2368.0,236800,100,1,D,2368.0,2368.0
88,Iran.Yasa.Tire,20060524,2367.0,2321.0,2367.0,139720,60,2,D,2368.0,2367.0
89,Iran.Yasa.Tire,20060612,2351.0,2320.0,2351.0,11976510,5160,4,D,2367.0,2351.0
90,Iran.Yasa.Tire,20060731,2398.0,2380.0,2380.0,24003800,10010,5,D,2351.0,2380.0
91,Iran.Yasa.Tire,20060805,2427.0,2380.0,2380.0,509200,210,2,D,2380.0,2380.0
92,Iran.Yasa.Tire,20060806,2427.0,2403.0,2403.0,19440030,8010,3,D,2380.0,2403.0
93,Iran.Yasa.Tire,20060812,2427.0,2404.0,2404.0,2101552,866,2,D,2403.0,2404.0
94,Iran.Yasa.Tire,20060813,2452.0,2407.0,2407.0,2476070,1010,3,D,2404.0,2407.0
95,Iran.Yasa.Tire,20060819,2455.0,2449.0,2449.0,34394490,14010,5,D,2407.0,2449.0
96,Iran.Yasa.Tire,20060820,2497.0,2497.0,2497.0,39952000,16000,4,D,2449.0,2497.0
97,Iran.Yasa.Tire,20060821,2546.0,2498.0,2498.0,1297980,510,2,D,2497.0,2498.0
98,Iran.Yasa.Tire,20060823,2547.0,2547.0,2547.0,40752000,16000,4,D,2498.0,2547.0
99,Iran.Yasa.Tire,20060826,2597.0,2597.0,2597.0,41552000,16000,5,D,2547.0,2597.0
100,Iran.Yasa.Tire,20060827,2648.0,2648.0,2648.0,42368000,16000,6,D,2597.0,2648.0
101,Iran.Yasa.Tire,20060828,2700.0,2699.0,2699.0,43224290,16009,9,D,2648.0,2699.0
102,Iran.Yasa.Tire,20060829,2752.0,2732.0,2732.0,27544568,10009,3,D,2699.0,2732.0
103,Iran.Yasa.Tire,20060830,2786.0,2786.0,2786.0,48785646,17511,4,D,2732.0,2786.0
104,Iran.Yasa.Tire,20060902,2841.0,2811.0,2811.0,21335610,7510,4,D,2786.0,2811.0
105,Iran.Yasa.Tire,20060903,2867.0,2839.0,2839.0,22964390,8010,2,D,2811.0,2839.0
106,Iran.Yasa.Tire,20060904,2895.0,2800.0,2880.0,96229430,33404,14,D,2839.0,2880.0
107,Iran.Yasa.Tire,20060906,2851.0,2823.0,2851.0,22612510,8010,2,D,2880.0,2851.0
108,Iran.Yasa.Tire,20060910,2800.0,2794.0,2794.0,70150740,25104,11,D,2851.0,2794.0
109,Iran.Yasa.Tire,20060911,2739.0,2739.0,2739.0,312922533,114247,28,D,2794.0,2739.0
110,Iran.Yasa.Tire,20060912,2739.0,2739.0,2739.0,1750221,639,2,D,2739.0,2739.0
111,Iran.Yasa.Tire,20060918,2728.0,2685.0,2728.0,8082280,3010,2,D,2739.0,2728.0
112,Iran.Yasa.Tire,20060927,2724.0,2690.0,2724.0,4062240,1510,2,D,2728.0,2724.0
113,Iran.Yasa.Tire,20061001,2777.0,2727.0,2727.0,2804270,1010,2,D,2724.0,2727.0
114,Iran.Yasa.Tire,20061219,2852.0,2727.0,2814.0,60476940,21490,8,D,2727.0,2814.0
115,Iran.Yasa.Tire,20061220,2870.0,2870.0,2870.0,74711840,26032,9,D,2814.0,2870.0
116,Iran.Yasa.Tire,20061224,2900.0,2870.0,2871.0,4642750,1611,3,D,2870.0,2871.0
117,Iran.Yasa.Tire,20061227,2928.0,2900.0,2900.0,23933192,8174,3,D,2871.0,2900.0
118,Iran.Yasa.Tire,20061230,2958.0,2915.0,2915.0,11861150,4010,2,D,2900.0,2915.0
119,Iran.Yasa.Tire,20070102,2973.0,2937.0,2937.0,17867370,6010,2,D,2915.0,2937.0
120,Iran.Yasa.Tire,20070103,2995.0,2995.0,2995.0,59900000,20000,3,D,2937.0,2995.0
121,Iran.Yasa.Tire,20070106,3054.0,3054.0,3054.0,61080000,20000,3,D,2995.0,3054.0
122,Iran.Yasa.Tire,20070107,3115.0,3115.0,3115.0,54201000,17400,4,D,3054.0,3115.0
123,Iran.Yasa.Tire,20070109,3177.0,3177.0,3177.0,142965000,45000,16,D,3115.0,3177.0
124,Iran.Yasa.Tire,20070110,3177.0,3115.0,3176.0,5513058,1742,4,D,3177.0,3176.0
125,Iran.Yasa.Tire,20070114,3212.0,3130.0,3174.0,29790294,9386,6,D,3176.0,3174.0
126,Iran.Yasa.Tire,20070116,3174.0,3174.0,3174.0,190440,60,1,D,3174.0,3174.0
127,Iran.Yasa.Tire,20070120,3171.0,3130.0,3171.0,3046770,973,3,D,3174.0,3171.0
128,Iran.Yasa.Tire,20070304,3108.0,3108.0,3108.0,77516628,24941,11,D,3171.0,3108.0
129,Iran.Yasa.Tire,20070305,3108.0,3046.0,3108.0,210794,69,2,D,3108.0,3108.0
130,Iran.Yasa.Tire,20070306,3069.0,3046.0,3069.0,30490690,10010,9,D,3108.0,3069.0
131,Iran.Yasa.Tire,20070307,3069.0,3046.0,3069.0,575924,189,2,D,3069.0,3069.0
132,Iran.Yasa.Tire,20070424,3069.0,3068.0,3069.0,184090,60,2,D,3069.0,3069.0
