,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Yasa.Tire-R,20090727,1.0,1.0,1.0,733516,733516,76,D,1000.0,1.0
1,Iran.Yasa.Tire-R,20110725,4000.0,3700.0,3803.0,57771421,15193,10,D,1000.0,3700.0
2,Iran.Yasa.Tire-R,20110726,3764.0,3552.0,3597.0,127651751,35487,14,D,3803.0,3600.0
3,Iran.Yasa.Tire-R,20110727,3759.0,3759.0,3759.0,563850,150,1,D,3597.0,3759.0
4,Iran.Yasa.Tire-R,20110730,3700.0,3690.0,3690.0,5572000,1510,2,D,3759.0,3690.0
5,Iran.Yasa.Tire-R,20110731,3670.0,3400.0,3458.0,124574692,36027,29,D,3690.0,3670.0
6,Iran.Yasa.Tire-R,20110801,3660.0,3550.0,3568.0,30332260,8502,6,D,3458.0,3570.0
7,Iran.Yasa.Tire-R,20110802,3640.0,3554.0,3594.0,50738594,14117,15,D,3568.0,3609.0
8,Iran.Yasa.Tire-R,20110803,3628.0,3513.0,3545.0,28390412,8009,9,D,3594.0,3551.0
9,Iran.Yasa.Tire-R,20110806,3530.0,3530.0,3530.0,6354000,1800,2,D,3545.0,3530.0
10,Iran.Yasa.Tire-R,20110807,3505.0,3500.0,3501.0,99630735,28458,17,D,3530.0,3503.0
11,Iran.Yasa.Tire-R,20110808,3455.0,3455.0,3455.0,9235215,2673,4,D,3501.0,3455.0
12,Iran.Yasa.Tire-R,20110809,3462.0,3456.0,3459.0,14316825,4139,4,D,3455.0,3456.0
13,Iran.Yasa.Tire-R,20110810,3599.0,3599.0,3599.0,1799500,500,1,D,3459.0,3599.0
14,Iran.Yasa.Tire-R,20110813,3611.0,3422.0,3530.0,142055794,40241,28,D,3599.0,3611.0
15,Iran.Yasa.Tire-R,20110814,3812.0,3610.0,3800.0,365427607,96173,52,D,3530.0,3611.0
16,Iran.Yasa.Tire-R,20110815,3798.0,3795.0,3797.0,501240,132,2,D,3800.0,3795.0
17,Iran.Yasa.Tire-R,20110816,3650.0,3650.0,3650.0,3650000,1000,1,D,3797.0,3650.0
18,Iran.Yasa.Tire-R,20110817,3650.0,3650.0,3650.0,7300000,2000,1,D,3650.0,3650.0
19,Iran.Yasa.Tire-R,20110820,3778.0,3500.0,3507.0,49267250,14050,7,D,3650.0,3501.0
20,Iran.Yasa.Tire-R,20110821,3510.0,3460.0,3500.0,204734201,58501,10,D,3507.0,3460.0
21,Iran.Yasa.Tire-R,20110823,3722.0,3714.0,3719.0,111560,30,3,D,3500.0,3714.0
22,Iran.Yasa.Tire-R,20110824,3501.0,3500.0,3501.0,3850900,1100,2,D,3719.0,3500.0
23,Iran.Yasa.Tire-R,20110830,3453.0,3453.0,3453.0,1985475,575,1,D,3501.0,3453.0
24,Iran.Yasa.Tire-R,20110903,3598.0,3452.0,3490.0,481700925,138035,24,D,3453.0,3500.0
25,Iran.Yasa.Tire-R,20110904,3579.0,3410.0,3446.0,153090010,44420,17,D,3490.0,3410.0
26,Iran.Yasa.Tire-R,20110905,3528.0,3251.0,3520.0,89164630,25331,9,D,3446.0,3470.0
27,Iran.Yasa.Tire-R,20110906,3620.0,3500.0,3543.0,1203521898,339685,56,D,3520.0,3600.0
28,Iran.Yasa.Tire-R,20120318,4200.0,4100.0,4160.0,3130663800,752539,38,D,3543.0,4200.0
29,Iran.Yasa.Tire-R,20130728,15200.0,15000.0,15003.0,1044785400,69639,30,D,4160.0,15200.0
30,Iran.Yasa.Tire-R,20130729,15950.0,14650.0,14982.0,1090197068,72768,24,D,15003.0,15229.0
31,Iran.Yasa.Tire-R,20130731,16000.0,15022.0,15785.0,202585427,12834,13,D,14982.0,16000.0
32,Iran.Yasa.Tire-R,20130803,17047.0,16000.0,16250.0,270117140,16623,14,D,15785.0,17047.0
33,Iran.Yasa.Tire-R,20130804,17002.0,16601.0,16993.0,1116501696,65704,16,D,16250.0,17000.0
34,Iran.Yasa.Tire-R,20130805,15999.0,15712.0,15718.0,80002197,5090,5,D,16993.0,15999.0
35,Iran.Yasa.Tire-R,20130806,16600.0,15700.0,15722.0,131227904,8347,4,D,15718.0,16600.0
36,Iran.Yasa.Tire-R,20130807,16000.0,15722.0,15890.0,67295462,4235,7,D,15722.0,16000.0
37,Iran.Yasa.Tire-R,20130811,16499.0,15901.0,16450.0,107469233,6533,6,D,15890.0,15901.0
38,Iran.Yasa.Tire-R,20130812,17745.0,16082.0,17602.0,18235648,1036,4,D,16450.0,16082.0
39,Iran.Yasa.Tire-R,20130813,18265.0,17000.0,17013.0,154762745,9097,7,D,17602.0,17000.0
40,Iran.Yasa.Tire-R,20130814,18000.0,18000.0,18000.0,10530000,585,2,D,17013.0,18000.0
41,Iran.Yasa.Tire-R,20130817,17996.0,16560.0,16621.0,157933360,9502,10,D,18000.0,17500.0
42,Iran.Yasa.Tire-R,20130818,17360.0,16500.0,16704.0,530252218,31744,16,D,16621.0,16500.0
43,Iran.Yasa.Tire-R,20130819,16999.0,16200.0,16478.0,22904834,1390,5,D,16704.0,16999.0
44,Iran.Yasa.Tire-R,20130820,17352.0,16200.0,16639.0,97323639,5849,7,D,16478.0,16200.0
45,Iran.Yasa.Tire-R,20130821,17000.0,17000.0,17000.0,4930000,290,1,D,16639.0,17000.0
46,Iran.Yasa.Tire-R,20130824,16201.0,16200.0,16200.0,198077900,12227,2,D,17000.0,16200.0
47,Iran.Yasa.Tire-R,20130825,16500.0,16500.0,16500.0,165000,10,1,D,16200.0,16500.0
48,Iran.Yasa.Tire-R,20130827,17820.0,16000.0,16122.0,440649406,27332,19,D,16500.0,16000.0
